Exred_mean,Saturatoin_mean,field19
-19.777779,0.32042044,negative
-35.333332,0.20012376,negative
-1.3333334,0.41666666,negative
-13.555555,0.2634666,negative
-20.88889,0.31446242,negative
-22.666666,0.29780185,negative
-7.888889,0.25840873,negative
-13.666667,0.2938097,negative
-36,0.20590083,negative
-9.555555,0.7900112,negative
-13.888889,0.4486757,negative
-8.444445,0.94074076,negative
-9.555555,0.4560301,negative
-13.444445,0.465278,negative
-10.444445,0.40993193,negative
-23.222221,0.31158692,negative
-26,0.30628127,negative
4.7777777,0.5438712,positive
-21,0.32763156,negative
-10.444445,0.35316142,negative
-40.88889,0.25818166,negative
-10.111111,0.40090325,negative
-12.666667,0.7547033,negative
-2.8888888,0.1760659,negative
-1.8888888,0.4162386,positive
-1.3333334,0.8888889,negative
-33,0.18402189,negative
-1.4444444,1,negative
-18.88889,0.334876,negative
-5.888889,0.5,negative
-17.333334,0.31827116,negative
-10.555555,0.48521596,negative
-6.7777777,0.36550307,negative
-11.111111,0.26327455,negative
-12.888889,0.2641149,negative
-4.2222223,0.40896538,negative
-34.444443,0.20332612,negative
-3,0.93703705,negative
-12.333333,0.475,negative
-4.6666665,0.27027062,negative
-4.3333335,0.5229992,negative
-10.888889,0.34671864,negative
-10.111111,0.28296396,negative
-28.444445,0.15582462,negative
-42,0.29458332,negative
-10.222222,0.36714104,negative
0,0,negative
-3.8888888,0.9814815,negative
-8.555555,0.4043918,negative
-6.2222223,0.42312294,negative
-6,0.5358197,negative
-14.555555,0.29477406,negative
4.111111,0.5456349,positive
-8.555555,0.8644824,negative
-12.111111,0.19713038,negative
-13.333333,0.27804413,negative
-0.5555556,0.40250653,positive
5.7777777,0.57363313,positive
-27.555555,0.15349694,negative
-12,0.38675025,negative
-12,0.3273826,negative
-21.555555,0.44313568,negative
-12.777778,0.26818594,negative
-14,0.29230747,negative
-39.22222,0.24428888,negative
-5.5555553,0.4132174,positive
-26.666666,0.26973316,negative
-38,0.23589359,negative
-15.222222,0.35004318,negative
4,0.51036155,positive
-6.4444447,0.33051255,negative
-4.111111,0.52543694,negative
-10.222222,0.44601154,negative
-39.88889,0.27240252,negative
-24.555555,0.30597952,negative
-3.5555556,0.4205985,positive
0,0,negative
-24.666666,0.3229307,negative
-15.888889,0.096352234,negative
2.5555556,0.35672373,positive
-9.888889,0.71189785,negative
-20.222221,0.3480217,negative
-7.888889,0.37534603,negative
-31.222221,0.18239816,negative
-20.333334,0.29951125,negative
3.1111112,0.56415343,positive
-12.666667,0.4093088,negative
-16.444445,0.29470626,negative
-3.7777777,0.33066535,negative
5.111111,0.52006173,positive
-30.88889,0.18356538,negative
-10.444445,0.49614197,negative
4,0.5582011,positive
-21.222221,0.31602636,negative
-26,0.31713998,negative
-0.11111111,0.11111111,negative
5.3333335,0.59589946,positive
-0.6666667,0.33333334,negative
-5.7777777,0.42217422,negative
-13.888889,0.42982522,negative
-9.222222,0.2758629,negative
-41.11111,0.24633974,negative
-14.333333,0.3133975,negative
-1.7777778,0.40196496,positive
-23.666666,0.13383016,negative
-9.333333,0.7607343,negative
-4.111111,0.4213954,positive
-3.1111112,0.9777778,negative
-28.777779,0.170091,negative
-3.4444444,1,negative
-44.444443,0.34293815,negative
-18.444445,0.3213451,negative
-14.333333,0.29405567,negative
-16.555555,0.10965454,negative
4.5555553,0.5793651,positive
-13.222222,0.70008737,negative
-14.888889,0.3496519,negative
-13,0.54723245,negative
-5.111111,0.48480532,negative
-17.555555,0.3175664,negative
-20.555555,0.30307138,negative
-0.6666667,0.6666667,negative
-7.888889,0.88955027,negative
-6.888889,0.68080807,negative
-15,0.35354832,negative
-33.333332,0.19453695,negative
-4.7777777,0.43595982,positive
-3.6666667,0.534151,negative
4,0.38875645,positive
-5.3333335,0.43507022,positive
-28.666666,0.16963542,negative
-10.444445,0.28575617,negative
-21,0.31279564,negative
-2.7777777,0.92777777,negative
-16.88889,0.3003628,negative
-6.888889,0.547103,negative
-9.666667,0.27672648,negative
-3.4444444,1,negative
-9.444445,0.4592879,negative
-13.666667,0.43888178,negative
-24,0.31068987,negative
-0.8888889,0.39879107,positive
-20.88889,0.31446242,negative
-13.111111,0.39645794,negative
-13.111111,0.35127252,negative
-12.555555,0.29743084,negative
4.4444447,0.5500441,positive
-0.8888889,0.41952246,positive
-21.11111,0.3411113,negative
-5.888889,0.5,negative
5,0.57539684,positive
-12.555555,0.77528197,negative
-0.11111111,0.11111111,negative
-13.111111,0.4727645,negative
-12,0.7672355,negative
-38.333332,0.2228557,negative
-16.444445,0.33502588,negative
-7.7777777,0.35929558,negative
-11.555555,0.4816013,negative
-18.333334,0.29928485,negative
-1.4444444,0.40479085,positive
-39.333332,0.23449263,negative
-15.888889,0.30085307,negative
-31.444445,0.1764939,negative
-19.444445,0.29238248,negative
-5.7777777,0.9861111,negative
-26.777779,0.15181188,negative
-3.3333333,0.984127,negative
-33,0.18889166,negative
-9.666667,0.38572726,negative
-14.111111,0.59959364,negative
4.4444447,0.53571427,positive
-33.88889,0.19245563,negative
-37.666668,0.2101616,negative
-19.333334,0.105074264,negative
-16.666666,0.32576838,negative
-18.777779,0.26677614,negative
-25.666666,0.31323463,negative
-14.444445,0.39392713,negative
-4.2222223,0.5881634,positive
-16.222221,0.33911672,negative
-11,0.43169576,negative
-10.444445,0.28575617,negative
-37.333332,0.2367968,negative
-16.444445,0.27503988,negative
-13.555555,0.294787,negative
-4.6666665,0.9777778,negative
-11.555555,0.42521268,negative
5.2222223,0.5654762,positive
-11.666667,0.40352198,negative
-9.666667,0.31418663,negative
-16.444445,0.27005577,negative
-10.888889,0.3721296,negative
-4.111111,0.55723476,negative
-46.22222,0.32001477,negative
-43.666668,0.5490324,negative
-10.333333,0.28241062,negative
2.6666667,0.39173108,positive
-11.333333,0.26415184,negative
1.7777778,0.4010419,positive
-6.5555553,0.6749559,negative
-14.888889,0.28449497,negative
4.6666665,0.6084656,positive
-12.111111,0.82735026,negative
-6,0.5708515,negative
4.3333335,0.6116402,positive
4.4444447,0.54960316,positive
-11.777778,0.28914437,negative
-12,0.296365,negative
-1.3333334,0.4369392,positive
-19.777779,0.30885938,negative
3.4444444,0.57539684,positive
-6.4444447,0.74090356,negative
-3.2222223,0.17887476,negative
-26.88889,0.32455578,negative
-44.666668,0.2546684,negative
-13,0.51092404,negative
-9.888889,0.33502117,negative
-9.444445,0.43286037,negative
-38.77778,0.2481359,negative
-14.666667,0.2585428,negative
-16.11111,0.2918749,negative
-44.11111,0.2609661,negative
-10.888889,0.4850439,negative
-3,0.9861111,negative
4.5555553,0.6472222,positive
1.4444444,0.41030994,positive
-34.22222,0.19520037,negative
-20.777779,0.29643956,negative
-33.77778,0.19475445,negative
-19,0.33047688,negative
-20.333334,0.11953241,negative
-13.111111,0.45902446,negative
-2.3333333,0.93333334,negative
-3.3333333,0.88148147,negative
-30.666666,0.17948268,negative
-11.111111,0.33112764,negative
-5,0.40888458,negative
-10.222222,0.37847343,negative
-4.3333335,0.50308645,negative
-4.888889,0.42569095,positive
-19.11111,0.3026711,negative
-5.5555553,0.6652397,negative
-22.555555,0.12657078,negative
-10.222222,0.44601154,negative
5.3333335,0.57760143,positive
-41.444443,0.29250294,negative
-27.88889,0.31715608,negative
-5.2222223,0.9702381,negative
-43.444443,0.2540513,negative
-0.44444445,0.33333334,negative
-27.666666,0.15361586,negative
-28.444445,0.16648434,negative
-16.555555,0.3016008,negative
-22.222221,0.4450395,negative
-0.8888889,0.5343915,negative
-5.111111,0.86277056,negative
-15,0.28042978,negative
-11.888889,0.47554862,negative
-11.111111,0.41959706,negative
-21.555555,0.12513736,negative
-44.77778,0.31949878,negative
3.4444444,0.57539684,positive
-4.111111,1,negative
3,0.5535714,positive
-23.11111,0.317014,negative
-1.3333334,0.41924807,positive
-22.777779,0.3031787,negative
-18.11111,0.28710723,negative
-9.888889,0.24524052,negative
-10.777778,0.27090696,negative
-2,0.40413755,positive
-18,0.30081734,negative
-14.444445,0.44151622,negative
-39.333332,0.25860354,negative
-8.888889,0.44724658,negative
-12.666667,0.44538036,negative
-0.22222222,0.22222222,negative
-27.555555,0.34236288,negative
-11.888889,0.5448579,negative
-5.111111,0.96031743,negative
-19.11111,0.34714225,negative
-13.111111,0.35127252,negative
-7.111111,0.5094597,negative
-4.6666665,0.54320127,negative
-12,0.40087178,negative
-4.7777777,0.18499897,negative
-5.4444447,0.42490423,positive
-20.444445,0.35403678,negative
-33.555557,0.2241392,negative
-14.333333,0.53911555,negative
-17.88889,0.29870403,negative
-4.888889,0.9691358,negative
-38.444443,0.25142038,negative
-17.222221,0.101526454,negative
-6.111111,0.4799313,negative
-11.888889,0.33166277,negative
-17.777779,0.54582953,negative
-20.777779,0.3130033,negative
-2.7777777,0.59973544,negative
-14.444445,0.44057688,negative
-10.555555,0.29184964,negative
-13.333333,0.437078,negative
-13.888889,0.45946908,negative
-2.2222223,1,negative
-13.444445,0.33727008,negative
-22,0.12570898,negative
-1.2222222,0.75,negative
-7.6666665,0.86781305,negative
-18.11111,0.32273299,negative
4.5555553,0.52623457,positive
-6.7777777,0.9261464,negative
-0.11111111,0.10119048,negative
0,0,negative
-7.4444447,0.4398524,negative
-14,0.41374576,negative
-2.1111112,1,negative
-17.444445,0.29418743,negative
-10,0.39868945,negative
-26.88889,0.32455578,negative
-9.888889,0.4254409,negative
-14.888889,0.2807703,negative
-16.222221,0.25245842,negative
-18.88889,0.4318249,negative
-1.3333334,0.4369392,positive
-4.7777777,0.34230694,negative
-6,0.69660497,negative
-10.333333,0.47678283,negative
-9.666667,0.3017472,negative
-11.666667,0.28108954,negative
-35.333332,0.20392033,negative
-29.88889,0.17420864,negative
-17,0.3108182,negative
-5.888889,0.9404762,negative
-19,0.31489635,negative
-21.88889,0.30540445,negative
-39.11111,0.26602298,negative
-18.222221,0.3081043,negative
-9.888889,0.28686288,negative
-33,0.19716202,negative
-42.666668,0.29451475,negative
-6.4444447,0.7404762,negative
-6.2222223,0.40555555,negative
-16.444445,0.42442176,negative
-10.777778,0.39643326,negative
-11.333333,0.352606,negative
-18.222221,0.30882537,negative
-11.888889,0.56104016,negative
-4.111111,0.41874644,positive
-0.7777778,0.7777778,negative
-11.777778,0.48272505,negative
-0.5555556,0.5555556,negative
-5.3333335,0.7794973,negative
-49.444443,0.35934293,negative
-22.11111,0.45744765,negative
-4.111111,1,negative
-9,0.84772927,negative
-6.5555553,0.3876632,negative
-1.6666666,0.5555556,negative
-0.6666667,0.06888328,negative
-10.111111,0.42167473,negative
-22.222221,0.32026085,negative
-18.666666,0.5094622,negative
-19.222221,0.28551513,negative
-17.444445,0.2692176,negative
3.4444444,0.58002645,positive
-13,0.28924206,negative
-15.777778,0.3197136,negative
-4.4444447,0.8833333,negative
-22.777779,0.17969723,negative
-1.1111112,0.6522477,positive
-15.444445,0.2986217,negative
-4.4444447,0.4192332,positive
-19.444445,0.3175422,negative
-19.666666,0.09277301,negative
-25,0.696178,negative
-7.6666665,0.42529303,negative
-32.666668,0.18729347,negative
-6.7777777,0.9126984,negative
-2.3333333,1,negative
-8.666667,0.5888227,negative
-17.222221,0.30064347,negative
-18.11111,0.30841646,negative
-10.111111,0.45334122,negative
0.22222222,0.38105944,positive
-29.88889,0.16939692,negative
-23,0.31460637,negative
-2.8888888,1,negative
