Lenght,Eccen,P_black,P_and,Wb_trans,Class
8,1.143,0.357,1,7,negative
9,1.286,0.317,0.984,9,negative
4,0.571,0.357,0.571,2,negative
32,4.571,0.339,0.786,52,negative
29,3.222,0.234,0.709,47,negative
4,0.8,0.35,0.85,4,negative
8,1.6,0.425,0.975,11,negative
11,2.75,0.364,0.955,12,negative
50,8.333,0.213,0.577,49,negative
28,4.667,0.149,0.375,17,negative
43,8.6,0.233,0.8,37,negative
75,15,0.259,0.867,82,negative
18,4.5,0.333,0.667,14,negative
16,1.778,0.222,0.479,24,negative
79,7.9,0.163,0.42,103,negative
158,17.556,0.217,0.535,212,negative
114,114,0.939,1,5,positive
41,41,0.927,1,3,positive
6,1.5,0.333,0.792,4,negative
49,8.167,0.241,0.633,50,negative
32,5.333,0.292,0.698,41,negative
37,5.286,0.243,0.71,47,negative
19,3.167,0.254,0.956,25,negative
28,4.667,0.292,0.875,38,negative
12,2,0.319,0.653,11,negative
28,7,0.455,1,40,negative
33,33,0.667,1,6,positive
29,2.071,0.14,0.502,35,negative
106,106,0.858,1,6,positive
12,1.2,0.183,0.392,10,negative
16,1.778,0.16,0.5,12,negative
16,1.778,0.208,0.542,14,negative
11,1.375,0.159,0.477,8,negative
27,3.857,0.164,0.397,12,negative
6,1,0.306,0.556,3,negative
13,2.167,0.295,0.897,14,negative
41,5.857,0.209,0.652,44,negative
41,5.857,0.22,0.756,43,negative
7,1.167,0.405,0.833,9,negative
13,2.167,0.295,0.872,16,negative
41,6.833,0.232,0.927,44,negative
40,6.667,0.221,0.983,42,negative
7,1.167,0.31,0.786,7,negative
12,3,0.146,1,7,negative
41,5.857,0.213,0.861,46,negative
40,6.667,0.313,0.996,59,negative
12,12,0.583,1,4,negative
11,1.833,0.333,0.803,13,negative
12,3,0.292,1,10,negative
41,6.833,0.224,0.85,46,negative
40,5.714,0.229,0.686,50,negative
23,2.556,0.213,0.507,28,negative
23,2.556,0.246,0.57,28,negative
17,2.125,0.265,0.566,21,negative
37,5.286,0.301,0.691,43,negative
54,7.714,0.267,0.619,71,negative
32,6.4,0.431,0.988,47,negative
13,2.6,0.415,0.938,16,negative
17,2.833,0.255,0.745,22,negative
13,2.167,0.308,0.872,15,negative
14,2.333,0.274,0.893,14,negative
14,2.333,0.274,0.929,18,negative
17,2.833,0.382,0.951,24,negative
13,2.6,0.262,0.692,12,negative
13,2.6,0.246,0.831,12,negative
14,3.5,0.268,0.732,9,negative
24,4,0.257,0.771,26,negative
13,2.167,0.282,0.936,14,negative
41,5.857,0.185,0.638,35,negative
41,5.857,0.226,0.784,44,negative
27,27,0.407,1,6,positive
41,41,0.78,1,7,positive
12,1.2,0.225,0.558,10,negative
21,2.333,0.175,0.513,20,negative
15,1.667,0.178,0.556,15,negative
17,1.889,0.183,0.529,16,negative
19,1.9,0.142,0.326,9,negative
12,1.2,0.142,0.317,6,negative
16,2,0.242,0.602,16,negative
16,2.286,0.25,0.527,14,negative
22,22,0.5,1,6,positive
9,3,0.296,1,6,negative
58,5.8,0.081,0.224,29,negative
182,26,0.203,0.62,204,negative
73,8.111,0.174,0.434,79,negative
107,11.889,0.204,0.683,138,negative
18,2,0.278,0.716,27,negative
125,17.857,0.27,0.858,168,negative
53,5.3,0.215,0.781,79,negative
43,5.375,0.212,0.721,52,negative
8,1.143,0.375,0.964,13,negative
30,3.75,0.233,0.833,45,negative
59,9.833,0.268,0.692,75,negative
7,1.167,0.262,0.786,6,negative
17,3.4,0.4,0.965,26,negative
3,0.6,0.6,1,2,negative
6,0.857,0.476,0.881,11,negative
33,4.714,0.342,0.74,53,negative
19,2.714,0.406,1,32,negative
17,2.429,0.395,0.782,26,negative
16,2.286,0.304,0.696,25,negative
19,2.111,0.269,0.643,34,negative
18,2.571,0.27,0.714,25,negative
6,1,0.361,0.778,8,negative
11,2.2,0.345,0.873,13,negative
16,3.2,0.425,1,25,negative
8,1.6,0.6,0.975,11,negative
29,4.143,0.286,0.67,34,negative
21,2.333,0.243,0.757,35,negative
46,5.111,0.242,0.737,68,negative
8,0.889,0.264,1,15,negative
55,6.111,0.251,0.808,87,negative
23,2.875,0.277,0.832,30,negative
49,7,0.318,0.735,71,negative
17,3.4,0.412,0.941,20,negative
3,0.6,0.6,0.867,2,negative
26,3.25,0.25,0.808,38,negative
27,3.375,0.208,0.852,31,negative
14,2,0.327,1,20,negative
18,2.571,0.206,0.651,12,negative
9,1.286,0.349,0.905,10,negative
4,0.571,0.286,0.964,1,negative
14,2,0.296,0.898,18,negative
19,2.714,0.331,0.767,31,negative
27,3.375,0.269,0.764,45,negative
4,0.571,0.321,1,3,negative
38,5.429,0.301,0.85,55,negative
33,4.714,0.299,0.848,48,negative
9,1.286,0.365,0.857,13,negative
6,0.857,0.452,1,10,negative
30,4.286,0.352,0.79,48,negative
8,1.143,0.286,0.732,9,negative
46,5.111,0.242,0.575,70,negative
220,24.444,0.23,0.758,316,negative
38,4.75,0.25,0.73,55,negative
251,27.889,0.187,0.672,317,negative
151,15.1,0.193,0.77,197,negative
29,4.143,0.305,0.837,42,negative
13,1.857,0.264,0.648,17,negative
54,7.714,0.254,0.608,69,negative
7,1,0.408,0.857,9,negative
11,1.571,0.312,0.844,16,negative
49,5.444,0.265,0.744,73,negative
27,3.857,0.28,0.947,40,negative
21,3,0.354,0.939,32,negative
19,2.714,0.346,1,32,negative
41,5.125,0.232,0.527,49,negative
63,7.875,0.256,0.694,85,negative
47,5.875,0.221,0.702,66,negative
56,6.222,0.21,0.603,84,negative
22,2.444,0.192,0.697,29,negative
5,0.556,0.244,0.867,5,negative
22,3.667,0.326,1,33,negative
16,2.286,0.259,0.705,21,negative
81,10.125,0.221,0.591,111,negative
15,3,0.36,0.933,20,negative
5,1,0.44,1,7,negative
135,15,0.249,0.626,193,negative
21,3,0.34,0.85,37,negative
87,12.429,0.232,0.589,111,negative
8,1.143,0.375,1,13,negative
35,5,0.31,1,49,negative
14,2,0.388,0.847,23,negative
11,1.571,0.364,0.922,16,negative
13,1.857,0.297,0.835,16,negative
9,1.286,0.317,0.81,13,negative
41,5.857,0.345,0.777,64,negative
46,6.571,0.354,1,78,negative
20,2.857,0.35,0.757,31,negative
14,2.8,0.414,0.943,21,negative
262,26.2,0.179,0.606,344,negative
49,4.9,0.196,0.751,76,negative
21,3,0.327,0.728,34,negative
49,5.444,0.231,0.685,70,negative
23,3.286,0.248,0.944,33,negative
5,0.714,0.257,0.571,4,negative
37,4.111,0.213,0.706,46,negative
17,2.833,0.275,0.824,21,negative
11,1.833,0.303,0.712,13,negative
6,1,0.417,0.944,10,negative
214,23.778,0.23,0.748,307,negative
43,6.143,0.246,0.947,56,negative
56,6.222,0.196,0.617,80,negative
11,1.571,0.312,0.987,20,negative
33,4.714,0.342,0.848,40,negative
23,2.875,0.31,0.88,31,negative
23,3.286,0.329,1,38,negative
11,1.571,0.351,0.922,17,negative
20,2.857,0.364,0.871,35,negative
49,7,0.3,0.72,77,negative
38,3.8,0.195,0.55,50,negative
15,2.143,0.314,1,21,negative
66,9.429,0.294,0.924,93,negative
54,6,0.27,0.852,88,negative
49,5.444,0.272,0.791,87,negative
11,1.375,0.25,0.83,17,negative
36,5.143,0.365,0.96,55,negative
29,4.143,0.36,0.936,52,negative
11,1.571,0.351,0.961,20,negative
26,3.714,0.352,1,47,negative
9,1.286,0.286,0.968,15,negative
31,4.429,0.276,0.788,48,negative
9,1.286,0.381,0.952,13,negative
27,3.375,0.236,0.685,39,negative
4,0.5,0.375,1,5,negative
5,0.625,0.375,0.95,9,negative
5,1,0.52,1,6,negative
15,2.143,0.229,0.981,17,negative
37,5.286,0.305,1,54,negative
9,1.286,0.302,0.905,13,negative
11,1.571,0.364,1,21,negative
19,2.714,0.361,0.917,32,negative
8,1.143,0.357,0.893,9,negative
55,6.111,0.259,0.699,87,negative
29,4.143,0.365,0.946,37,negative
4,0.571,0.25,0.857,3,negative
14,2,0.337,0.98,18,negative
17,2.429,0.286,0.916,26,negative
38,5.429,0.226,0.639,43,negative
23,2.875,0.239,0.554,25,negative
41,4.556,0.244,0.661,68,negative
33,5.5,0.268,0.848,38,negative
4,0.667,0.458,1,5,negative
19,3.167,0.36,0.711,26,negative
49,8.167,0.286,0.694,61,negative
13,1.857,0.297,0.857,23,negative
13,1.857,0.374,0.978,19,negative
30,4.286,0.305,0.871,39,negative
14,2,0.378,1,19,negative
14,2,0.337,0.786,24,negative
18,2.571,0.365,0.968,23,negative
7,1,0.245,1,7,negative
26,3.714,0.269,0.929,40,negative
17,2.833,0.324,1,25,negative
9,1.5,0.296,0.796,13,negative
26,4.333,0.34,0.974,40,negative
5,1,0.36,1,7,negative
48,5.333,0.273,0.685,83,negative
31,4.429,0.313,0.853,43,negative
42,6,0.333,0.844,67,negative
46,6.571,0.304,0.745,64,negative
11,2.2,0.455,1,15,negative
21,2.333,0.206,0.778,32,negative
58,6.444,0.203,0.531,79,negative
49,5.444,0.265,0.653,86,negative
8,0.889,0.222,0.736,9,negative
22,2.444,0.227,0.934,28,negative
32,4.571,0.232,0.804,40,negative
19,2.111,0.222,0.673,29,negative
18,3,0.306,0.787,25,negative
15,2.143,0.333,0.838,24,negative
16,2.286,0.304,0.955,30,negative
32,3.556,0.24,0.913,46,negative
56,8,0.227,0.602,71,negative
16,2,0.234,0.922,19,negative
7,1.167,0.262,0.786,8,negative
33,5.5,0.247,0.813,41,negative
10,1.667,0.333,0.75,13,negative
25,4.167,0.273,0.787,35,negative
19,2.111,0.251,0.977,32,negative
29,3.222,0.234,0.889,44,negative
49,5.444,0.247,0.721,72,negative
13,1.857,0.363,0.934,15,negative
57,7.125,0.268,0.798,84,negative
54,6.75,0.275,0.778,87,negative
11,1.375,0.318,1,20,negative
24,3.429,0.274,0.661,31,negative
38,5.429,0.259,0.688,46,negative
23,2.556,0.222,0.816,34,negative
49,5.444,0.222,0.687,77,negative
43,6.143,0.249,0.807,58,negative
8,1.143,0.357,0.804,10,negative
19,2.714,0.398,0.977,30,negative
7,1.4,0.429,0.971,11,negative
6,1.2,0.3,1,5,negative
262,26.2,0.19,0.601,377,negative
17,2.429,0.353,0.79,27,negative
9,1.286,0.349,0.746,12,negative
40,5.714,0.336,0.971,60,negative
48,6.857,0.33,0.821,77,negative
25,3.125,0.285,0.88,42,negative
13,1.857,0.396,1,27,negative
16,2.286,0.339,1,27,negative
38,5.429,0.248,0.955,50,negative
7,1.4,0.457,1,8,negative
9,0.9,0.222,1,16,negative
47,4.7,0.198,0.781,72,negative
16,2,0.258,0.945,28,negative
6,0.75,0.313,0.813,8,negative
26,3.714,0.302,0.912,36,negative
65,7.222,0.222,0.786,96,negative
18,2.571,0.27,0.825,26,negative
21,2.625,0.232,0.643,30,negative
13,2.6,0.4,1,22,negative
93,11.625,0.185,0.538,111,negative
21,3,0.293,0.81,32,negative
27,3.857,0.079,0.175,6,negative
44,6.286,0.218,0.734,53,negative
19,2.714,0.248,0.624,22,negative
24,3.429,0.232,0.851,32,negative
39,5.571,0.253,0.853,52,negative
11,1.571,0.325,0.935,18,negative
15,2.143,0.229,0.886,15,negative
13,1.857,0.363,1,17,negative
4,0.571,0.286,1,4,negative
18,2.571,0.365,0.952,30,negative
13,1.857,0.33,0.835,21,negative
40,5.714,0.336,0.782,64,negative
47,5.222,0.279,0.773,77,negative
7,1,0.347,0.98,8,negative
11,1.571,0.403,0.974,21,negative
30,3.333,0.27,0.796,52,negative
20,2.857,0.257,0.879,32,negative
11,1.571,0.364,0.727,18,negative
23,3.286,0.329,0.845,32,negative
9,1.286,0.333,0.952,15,negative
13,1.857,0.308,0.934,17,negative
19,2.714,0.286,0.669,28,negative
28,5.6,0.307,0.814,33,negative
32,6.4,0.35,0.863,42,negative
24,4.8,0.375,0.95,31,negative
19,3.8,0.442,0.937,28,negative
54,6,0.191,0.741,75,negative
39,4.333,0.239,0.624,55,negative
57,8.143,0.273,0.659,84,negative
10,1.429,0.329,1,13,negative
32,4.571,0.277,0.83,44,negative
6,1,0.361,1,9,negative
21,3.5,0.349,1,33,negative
7,1.167,0.357,0.762,7,negative
5,0.714,0.371,0.829,7,negative
13,1.857,0.319,0.846,18,negative
9,1.286,0.381,0.857,12,negative
35,5,0.302,0.939,50,negative
14,2,0.357,0.969,23,negative
11,1.571,0.39,0.792,19,negative
20,2.857,0.379,1,33,negative
31,4.429,0.318,0.839,51,negative
23,3.286,0.286,0.677,29,negative
39,5.571,0.293,0.733,56,negative
7,1,0.245,0.878,7,negative
39,4.875,0.224,0.824,58,negative
54,7.714,0.235,0.799,58,negative
32,4.571,0.268,0.83,47,negative
51,7.286,0.322,0.784,77,negative
48,6.857,0.268,0.652,56,negative
13,1.857,0.286,0.989,15,negative
8,1.143,0.268,0.679,13,negative
17,2.429,0.227,0.891,18,negative
10,1.429,0.286,0.829,15,negative
11,1.571,0.286,0.909,17,negative
13,1.3,0.231,0.8,17,negative
11,1.833,0.364,0.955,18,negative
19,2.714,0.346,0.842,26,negative
14,2,0.214,0.786,19,negative
20,2.5,0.206,0.813,24,negative
26,4.333,0.288,0.872,35,negative
30,3.75,0.225,0.671,44,negative
10,1.25,0.238,0.925,11,negative
13,1.857,0.341,0.846,17,negative
39,5.571,0.33,0.853,63,negative
18,3.6,0.467,0.867,22,negative
16,2.667,0.198,0.76,8,negative
27,3.857,0.37,0.841,39,negative
8,1.143,0.357,0.786,13,negative
17,2.429,0.261,0.95,17,negative
11,1.571,0.364,0.922,14,negative
11,1.571,0.299,0.779,14,negative
23,3.286,0.342,0.783,38,negative
7,1,0.327,1,12,negative
8,1.143,0.339,0.875,8,negative
13,2.167,0.269,0.667,14,negative
16,2.286,0.286,0.705,17,negative
28,4.667,0.369,0.78,35,negative
34,4.857,0.273,0.584,42,negative
18,2.571,0.286,0.627,23,negative
11,1.571,0.351,0.727,18,negative
21,3,0.327,0.912,28,negative
14,2,0.286,0.755,18,negative
52,7.429,0.272,0.788,81,negative
14,14,0.571,1,3,negative
18,3.6,0.4,0.811,22,negative
36,7.2,0.406,0.961,54,negative
11,1.571,0.377,0.948,21,negative
29,3.222,0.287,0.747,49,negative
37,4.111,0.228,0.586,60,negative
16,2.286,0.295,0.92,28,negative
26,3.25,0.236,0.779,39,negative
11,1.571,0.299,0.727,17,negative
13,2.6,0.477,0.938,21,negative
7,1.4,0.543,1,9,negative
14,2.8,0.457,1,21,negative
30,4.286,0.3,0.886,44,negative
9,1.286,0.238,0.619,10,negative
16,2.286,0.286,0.955,19,negative
11,1.571,0.247,0.61,14,negative
27,3.857,0.286,1,41,negative
7,1,0.265,0.796,9,negative
21,3,0.333,0.789,35,negative
33,4.714,0.368,0.896,54,negative
17,2.429,0.336,0.908,27,negative
12,1.714,0.357,0.81,18,negative
19,2.714,0.406,0.94,31,negative
30,4.286,0.329,1,50,negative
8,1.143,0.268,0.768,14,negative
11,1.571,0.312,0.844,18,negative
24,2.667,0.218,0.588,34,negative
24,3.429,0.244,0.774,28,negative
20,2.857,0.257,0.75,27,negative
30,3.333,0.248,0.937,46,negative
19,3.8,0.389,0.895,28,negative
11,2.2,0.364,1,15,negative
16,2.286,0.241,0.634,14,negative
7,1.4,0.4,1,12,negative
22,3.143,0.247,0.714,31,negative
17,1.889,0.235,0.647,25,negative
33,3.3,0.182,0.564,43,negative
14,2,0.306,0.959,23,negative
18,2.571,0.278,0.976,26,negative
5,0.714,0.257,1,8,negative
41,5.857,0.328,0.774,66,negative
20,2.222,0.294,0.578,35,negative
6,0.857,0.381,1,7,negative
4,0.571,0.25,0.857,4,negative
14,2,0.408,0.98,23,negative
15,1.875,0.267,0.908,26,negative
21,3,0.32,0.714,28,negative
72,8,0.241,0.548,97,negative
21,3,0.279,0.748,27,negative
38,5.429,0.338,0.729,58,negative
11,1.571,0.364,0.935,20,negative
32,4.571,0.308,0.777,55,negative
36,5.143,0.302,0.873,56,negative
63,6.3,0.184,0.617,83,negative
43,6.143,0.292,0.85,66,negative
24,3.429,0.28,0.607,34,negative
19,2.111,0.292,0.684,33,negative
30,4.286,0.338,0.762,46,negative
7,1,0.306,0.898,11,negative
11,1.833,0.348,1,15,negative
28,3.111,0.25,0.77,43,negative
20,2.857,0.229,0.864,27,negative
14,2,0.265,0.827,22,negative
11,1.833,0.364,0.833,15,negative
19,3.167,0.307,0.904,22,negative
32,4.571,0.272,0.862,40,negative
10,1.667,0.317,0.85,16,negative
14,2.333,0.274,1,18,negative
24,2.667,0.213,0.468,36,negative
24,4,0.292,0.778,31,negative
11,1.833,0.303,0.97,15,negative
8,1.6,0.35,0.975,14,negative
20,2.857,0.329,1,31,negative
4,0.571,0.393,0.679,3,negative
51,7.286,0.325,0.871,70,negative
11,1.571,0.416,0.961,20,negative
44,5.5,0.284,0.673,70,negative
24,4,0.264,0.764,26,negative
38,5.429,0.286,0.748,45,negative
4,0.571,0.25,0.893,4,negative
25,3.571,0.189,0.806,27,negative
22,3.143,0.325,0.805,38,negative
21,3,0.388,0.912,31,negative
27,3.375,0.282,0.87,45,negative
13,1.857,0.33,0.835,19,negative
8,1.143,0.393,1,13,negative
33,4.714,0.351,0.987,53,negative
9,1,0.272,0.753,16,negative
11,1.222,0.253,0.778,13,negative
40,5.714,0.311,0.939,61,negative
11,1.571,0.299,1,13,negative
31,3.1,0.197,0.652,47,negative
38,3.8,0.187,0.463,52,negative
43,4.778,0.274,0.605,63,negative
7,1,0.286,1,11,negative
21,3,0.306,0.741,27,negative
11,1.571,0.377,0.974,18,negative
14,2.333,0.286,1,20,negative
13,2.167,0.333,0.91,19,negative
10,1.667,0.4,0.967,16,negative
6,1.2,0.433,0.967,8,negative
12,2.4,0.483,1,21,negative
49,4.9,0.165,0.649,60,negative
13,2.167,0.333,0.846,19,negative
11,1.833,0.394,0.955,17,negative
13,2.167,0.308,1,17,negative
16,2,0.211,0.672,19,negative
11,1.833,0.333,0.788,15,negative
30,5,0.311,0.8,46,negative
20,5,0.388,0.925,22,negative
22,5.5,0.432,0.977,26,negative
21,4.2,0.333,0.79,24,negative
29,3.222,0.23,0.613,46,negative
34,4.857,0.286,0.756,50,negative
6,0.857,0.452,0.976,11,negative
41,5.857,0.341,0.721,62,negative
46,6.571,0.354,0.994,78,negative
8,1,0.219,0.875,9,negative
14,2,0.347,1,17,negative
20,4,0.49,0.99,31,negative
20,2.222,0.233,0.5,26,negative
7,0.875,0.268,0.786,9,negative
17,2.125,0.199,0.603,9,negative
19,2.375,0.178,0.724,18,negative
19,2.375,0.184,0.849,19,negative
14,2,0.327,0.847,22,negative
16,2.286,0.259,1,14,negative
14,2,0.316,0.847,21,negative
11,1.571,0.364,0.896,19,negative
33,4.714,0.264,0.844,51,negative
36,5.143,0.278,0.937,56,negative
251,25.1,0.179,0.515,327,negative
6,0.857,0.333,0.643,8,negative
19,2.714,0.203,0.406,12,negative
15,2.5,0.267,0.833,12,negative
6,1,0.417,1,8,negative
17,2.429,0.311,0.908,24,negative
20,2.857,0.25,0.657,24,negative
24,3.429,0.268,0.708,28,negative
19,2.714,0.278,0.662,27,negative
7,1.167,0.286,0.857,8,negative
11,1.571,0.325,0.831,17,negative
42,6,0.235,0.571,52,negative
14,2.8,0.386,0.857,16,negative
22,3.143,0.247,0.883,32,negative
4,0.5,0.25,0.344,1,negative
11,1.571,0.312,1,18,negative
34,4.857,0.298,0.937,54,negative
6,0.857,0.333,1,10,negative
45,5,0.259,0.805,75,negative
16,2.286,0.313,0.973,20,negative
11,1.571,0.39,0.766,17,negative
74,10.571,0.276,0.683,91,negative
31,4.429,0.286,0.673,40,negative
11,1.571,0.403,0.961,20,negative
47,5.875,0.266,0.604,64,negative
56,8,0.319,0.829,86,negative
24,3.429,0.196,0.762,24,negative
40,5,0.213,0.659,55,negative
27,4.5,0.241,0.988,35,negative
44,7.333,0.254,0.689,40,negative
26,2.889,0.175,0.517,30,negative
20,2.857,0.307,0.85,29,negative
19,3.167,0.333,0.93,30,negative
25,4.167,0.313,1,34,negative
11,1.833,0.333,0.97,14,negative
16,2.286,0.259,0.768,14,negative
33,6.6,0.376,0.903,43,negative
37,3.7,0.154,0.457,41,negative
11,1.1,0.2,0.545,10,negative
17,1.889,0.229,0.582,21,negative
5,0.556,0.244,0.622,6,negative
26,3.714,0.192,0.626,23,negative
21,3,0.259,0.837,26,negative
11,1.571,0.416,0.818,16,negative
86,12.286,0.294,0.701,105,negative
33,4.714,0.346,0.879,59,negative
9,1.286,0.349,0.746,13,negative
11,1.222,0.222,0.737,17,negative
22,2.444,0.212,0.763,26,negative
47,6.714,0.286,0.717,67,negative
11,1.571,0.299,0.649,13,negative
19,2.714,0.331,0.729,26,negative
25,3.571,0.303,0.709,35,negative
207,29.571,0.249,0.771,279,negative
51,7.286,0.283,0.91,75,negative
26,4.333,0.288,0.679,32,negative
28,3.111,0.258,0.607,43,negative
13,2.167,0.359,0.782,21,negative
11,1.833,0.318,0.712,16,negative
30,3.75,0.242,0.667,43,negative
12,2,0.361,0.903,18,negative
11,2.75,0.432,1,14,negative
20,2.857,0.357,0.7,27,negative
43,6.143,0.319,0.801,68,negative
19,2.714,0.338,0.827,27,negative
41,5.857,0.307,0.808,58,negative
11,1.571,0.416,0.974,21,negative
15,2.143,0.343,1,22,negative
65,7.222,0.265,0.73,93,negative
11,1.571,0.377,0.961,20,negative
44,4.889,0.24,0.775,67,negative
7,1,0.306,0.959,9,negative
23,3.286,0.273,0.839,30,negative
7,1,0.327,1,8,negative
11,1.833,0.379,0.818,15,negative
6,1.5,0.542,1,8,negative
4,1,0.563,0.938,2,negative
17,3.4,0.388,0.859,18,negative
40,8,0.44,0.935,63,negative
38,6.333,0.377,0.833,57,negative
19,2.714,0.398,1,31,negative
18,2.571,0.238,0.714,26,negative
23,3.286,0.28,0.783,35,negative
7,1,0.347,1,12,negative
41,4.556,0.263,0.743,69,negative
24,2.667,0.287,0.912,36,negative
39,4.333,0.259,0.695,61,negative
52,5.778,0.306,0.718,86,negative
26,2.889,0.291,0.795,39,negative
45,6.429,0.254,0.708,62,negative
8,1.6,0.55,0.95,12,negative
12,2.4,0.55,0.983,15,negative
9,1.8,0.333,1,8,negative
48,6,0.221,0.557,62,negative
43,8.6,0.456,1,69,negative
40,6.667,0.296,0.729,52,negative
17,2.429,0.336,0.874,23,negative
34,3.778,0.209,0.493,45,negative
59,8.429,0.228,0.659,76,negative
91,10.111,0.206,0.731,123,negative
103,11.444,0.243,0.663,159,negative
13,2.6,0.431,0.923,15,negative
13,2.167,0.308,0.974,17,negative
32,6.4,0.406,1,46,negative
28,5.6,0.321,0.95,31,negative
6,1.2,0.433,1,8,negative
3,0.6,0.533,1,3,negative
23,3.286,0.329,0.938,38,negative
5,0.714,0.429,0.886,6,negative
13,2.167,0.359,0.885,17,negative
12,2,0.375,0.944,18,negative
18,2,0.259,0.71,27,negative
10,1.429,0.3,0.771,14,negative
11,1.571,0.364,0.948,19,negative
30,3.333,0.285,0.6,51,negative
33,4.714,0.364,0.753,50,negative
44,6.286,0.169,0.455,33,negative
157,17.444,0.222,0.54,198,negative
11,1.571,0.364,0.909,16,negative
19,3.167,0.289,0.789,24,negative
18,3,0.315,1,21,negative
16,2.667,0.354,1,23,negative
7,1.4,0.4,0.943,8,negative
4,0.8,0.45,0.8,3,negative
26,3.714,0.374,0.846,41,negative
35,5,0.269,0.939,50,negative
37,5.286,0.282,0.772,54,negative
48,5.333,0.257,0.738,79,negative
86,9.556,0.211,0.517,126,negative
4,0.8,0.6,1,5,negative
27,5.4,0.304,0.889,29,negative
15,2.143,0.371,0.829,22,negative
26,3.714,0.346,0.725,42,negative
20,2.857,0.25,0.593,26,negative
17,2.429,0.361,0.782,26,negative
82,9.111,0.245,0.562,122,negative
65,9.286,0.284,0.846,82,negative
92,10.222,0.24,0.641,129,negative
48,5.333,0.227,0.657,69,negative
52,7.429,0.266,0.959,80,negative
43,8.6,0.372,0.888,55,negative
4,0.8,0.5,0.7,1,negative
20,2.222,0.261,0.617,28,negative
14,2.333,0.298,0.619,14,negative
11,1.571,0.299,1,19,negative
13,1.857,0.374,0.901,20,negative
30,4.286,0.324,0.948,44,negative
31,4.429,0.281,0.682,39,negative
262,26.2,0.185,0.655,369,negative
36,5.143,0.262,0.671,52,negative
18,2.571,0.357,1,29,negative
11,1.571,0.377,1,19,negative
25,3.571,0.371,1,40,negative
33,4.714,0.351,0.957,56,negative
17,1.889,0.307,0.987,34,negative
6,0.75,0.375,1,11,negative
13,1.857,0.308,0.824,21,negative
18,2.571,0.254,0.841,23,negative
38,5.429,0.252,0.628,48,negative
262,29.111,0.209,0.703,356,negative
19,3.167,0.316,0.886,20,negative
32,6.4,0.413,0.994,49,negative
23,4.6,0.322,1,28,negative
5,1,0.28,0.72,4,negative
41,5.125,0.21,0.662,48,negative
10,1.429,0.329,0.814,18,negative
54,7.714,0.286,0.878,77,negative
16,1.778,0.174,0.819,19,negative
8,1.333,0.313,0.875,14,negative
11,1.571,0.299,0.987,17,negative
18,2.571,0.302,0.984,28,negative
53,5.889,0.252,0.677,78,negative
53,7.571,0.299,0.927,86,negative
107,11.889,0.217,0.842,156,negative
17,2.125,0.228,0.882,25,negative
32,4,0.207,0.797,43,negative
33,5.5,0.303,0.874,41,negative
16,1.778,0.208,0.715,20,negative
11,1.222,0.283,0.939,18,negative
25,2.778,0.249,0.911,37,negative
14,1.556,0.238,0.897,22,negative
14,2,0.337,0.898,17,negative
10,1.429,0.314,1,17,negative
50,5.556,0.22,0.691,75,negative
16,1.778,0.215,0.764,20,negative
23,3.286,0.28,0.826,31,negative
16,1.778,0.278,0.917,27,negative
18,2,0.241,0.981,27,negative
31,5.167,0.263,0.812,35,negative
68,11.333,0.257,0.672,91,negative
23,3.286,0.323,0.839,31,negative
41,5.125,0.293,0.872,67,negative
47,6.714,0.258,0.763,66,negative
20,3.333,0.333,0.942,33,negative
13,1.444,0.308,0.88,21,negative
55,6.111,0.255,0.697,91,negative
37,6.167,0.306,0.811,48,negative
9,1.286,0.302,0.841,11,negative
16,2.286,0.25,1,18,negative
17,2.429,0.269,0.899,21,negative
11,1.571,0.338,0.883,16,negative
25,3.571,0.331,0.891,41,negative
7,1,0.388,0.939,10,negative
14,2,0.367,0.786,23,negative
35,5,0.347,0.771,56,negative
23,3.833,0.283,0.891,35,negative
58,9.667,0.276,0.744,82,negative
11,2.2,0.436,0.891,14,negative
47,6.714,0.322,0.833,61,negative
7,1.4,0.457,1,11,negative
40,5.714,0.339,0.936,66,negative
8,1,0.234,0.953,6,negative
11,1.571,0.234,0.675,14,negative
13,1.857,0.286,0.868,19,negative
41,4.556,0.201,0.653,57,negative
18,2.571,0.214,0.929,24,negative
10,1.429,0.286,0.7,16,negative
41,5.857,0.321,0.725,62,negative
45,6.429,0.238,0.67,65,negative
201,22.333,0.152,0.456,216,negative
202,22.444,0.087,0.254,122,negative
9,1.8,0.444,0.956,14,negative
10,1.429,0.343,0.786,18,negative
19,2.111,0.275,0.643,31,negative
19,2.375,0.309,0.98,31,negative
42,4.667,0.198,0.563,65,negative
17,2.833,0.294,0.863,26,negative
7,1.167,0.262,0.929,8,negative
29,4.833,0.305,0.966,42,negative
184,20.444,0.206,0.659,251,negative
35,3.889,0.26,0.924,60,negative
5,0.833,0.367,0.867,4,negative
5,0.833,0.333,0.833,6,negative
32,6.4,0.419,0.981,51,negative
11,2.2,0.4,0.927,14,negative
33,6.6,0.315,0.909,41,negative
42,4.667,0.235,0.603,65,negative
7,0.778,0.286,0.778,9,negative
39,4.333,0.256,0.698,55,negative
8,1.143,0.321,0.786,13,negative
4,0.571,0.321,0.679,1,negative
31,4.429,0.313,0.71,45,negative
54,6.75,0.183,0.734,59,negative
18,2.571,0.27,0.881,25,negative
11,1.571,0.221,0.922,14,negative
54,7.714,0.304,0.876,91,negative
