Lenght,P_and,Class
10,0.913,negative
22,0.818,negative
31,0.722,negative
34,0.815,negative
32,0.889,negative
25,1,negative
23,1,negative
12,0.927,negative
26,0.769,negative
261,0.661,negative
175,0.469,negative
40,0.806,negative
70,0.727,negative
262,0.691,negative
23,0.88,negative
39,0.99,negative
9,1,negative
10,0.913,negative
40,0.68,negative
14,1,negative
30,0.711,negative
25,1,negative
26,0.985,negative
12,0.906,negative
53,0.908,negative
99,0.774,negative
31,0.713,negative
9,0.778,negative
54,0.689,negative
50,0.915,negative
15,0.925,negative
35,0.918,negative
34,0.8,negative
16,0.898,negative
12,0.69,negative
24,0.839,negative
17,0.86,negative
19,0.809,negative
24,0.688,negative
31,0.952,negative
80,0.933,negative
15,0.83,negative
74,0.695,negative
39,0.721,negative
73,0.79,negative
33,0.705,negative
8,0.975,negative
4,0.792,negative
251,0.708,negative
52,0.752,negative
25,0.67,negative
9,0.986,negative
35,0.986,negative
17,0.956,negative
18,0.865,negative
38,0.902,negative
4,1,negative
21,0.667,negative
242,0.579,negative
63,0.795,negative
29,0.893,negative
5,1,negative
25,0.77,negative
9,0.708,negative
56,0.706,negative
14,1,negative
7,0.976,negative
23,0.862,negative
261,0.713,negative
262,0.618,negative
261,0.638,negative
7,1,negative
14,0.884,negative
52,0.675,negative
18,1,negative
17,0.978,negative
12,0.865,negative
23,0.826,negative
31,0.835,negative
13,0.971,negative
4,1,negative
13,0.923,negative
12,0.958,negative
41,0.81,negative
9,0.901,negative
22,0.909,negative
120,0.765,negative
64,0.479,negative
53,0.58,negative
33,0.886,negative
42,0.823,negative
13,0.945,negative
18,0.984,negative
19,0.97,negative
4,1,negative
20,0.929,negative
29,0.648,negative
46,0.857,negative
13,0.933,negative
12,0.698,negative
50,0.728,negative
9,0.698,negative
27,0.644,negative
41,1,negative
18,0.765,negative
7,1,negative
14,0.929,negative
27,1,negative
7,1,negative
15,0.947,negative
32,0.98,negative
5,1,negative
26,0.822,negative
25,0.795,negative
52,0.88,negative
15,0.925,negative
24,0.964,negative
22,1,negative
119,0.665,negative
34,0.8,negative
7,1,negative
63,0.734,negative
8,1,negative
7,1,negative
261,0.596,negative
15,0.95,negative
157,0.565,negative
171,0.452,negative
16,0.925,negative
108,0.868,negative
44,0.957,negative
24,0.969,negative
26,0.563,negative
52,0.85,negative
43,0.892,negative
5,1,negative
6,0.917,negative
9,0.792,negative
12,0.844,negative
20,1,negative
16,0.857,negative
36,0.711,negative
56,0.688,negative
7,0.833,negative
97,0.635,negative
9,0.856,negative
37,0.897,negative
14,0.9,negative
40,0.683,negative
41,0.539,negative
212,0.61,negative
45,0.718,negative
18,1,negative
38,0.766,negative
45,0.771,negative
16,0.844,negative
40,0.875,negative
20,0.855,negative
16,0.93,negative
21,0.958,negative
7,0.964,negative
4,0.781,negative
32,0.895,negative
23,0.791,negative
9,0.841,negative
33,0.818,negative
4,0.75,negative
262,0.677,negative
132,0.44,negative
168,0.909,negative
9,0.5,negative
31,0.734,negative
72,0.845,negative
14,0.786,negative
39,0.709,negative
23,0.83,negative
31,0.862,negative
14,0.939,negative
9,0.667,negative
33,0.83,negative
18,0.952,negative
3,1,negative
28,0.996,negative
16,0.969,negative
6,0.792,negative
39,0.779,negative
22,0.714,negative
262,0.57,negative
29,0.78,negative
45,0.584,negative
6,0.952,negative
31,0.922,negative
15,0.92,negative
261,0.679,negative
100,0.724,negative
93,0.784,negative
59,0.763,negative
78,0.751,negative
25,0.59,negative
43,0.707,negative
10,0.889,negative
3,1,negative
36,0.781,negative
18,0.458,negative
7,0.964,negative
14,1,negative
46,0.957,negative
22,1,negative
20,0.986,negative
48,0.865,negative
9,0.889,negative
35,0.939,negative
8,0.714,negative
11,0.974,negative
25,0.737,negative
119,0.92,negative
39,0.756,negative
20,0.707,negative
4,1,negative
6,1,negative
35,0.157,negative
49,0.612,negative
3,1,negative
23,1,negative
23,0.913,negative
112,0.469,negative
23,0.897,negative
116,0.759,negative
25,0.772,negative
40,0.913,negative
48,0.556,negative
12,0.75,negative
18,0.757,negative
24,0.625,negative
16,0.781,negative
33,0.678,negative
53,0.915,negative
22,0.777,negative
176,0.583,negative
12,0.988,negative
25,0.88,negative
36,0.861,negative
43,0.75,negative
12,0.952,negative
16,0.768,negative
22,0.595,negative
41,0.643,negative
8,0.729,negative
67,0.919,negative
67,0.935,positive
67,0.607,negative
69,0.833,negative
106,0.478,negative
225,0.893,negative
38,0.957,negative
177,0.927,negative
280,0.904,negative
185,0.95,negative
291,0.957,negative
73,0.846,negative
98,0.874,negative
111,0.769,negative
63,0.991,negative
99,0.778,positive
32,0.73,negative
214,0.899,negative
82,0.713,negative
179,0.745,negative
106,0.698,negative
103,0.877,negative
123,0.74,negative
184,0.626,negative
165,0.713,negative
536,0.512,positive
353,0.292,negative
144,0.384,negative
11,0.545,negative
536,0.737,positive
233,0.838,negative
32,0.891,negative
509,0.388,negative
9,0.667,negative
13,1,negative
304,0.749,negative
51,0.969,negative
13,0.934,negative
88,1,negative
132,0.693,negative
13,0.912,negative
268,0.686,negative
509,0.501,negative
13,0.879,negative
535,0.614,positive
81,0.968,negative
347,0.433,negative
150,0.594,negative
12,1,negative
536,0.622,positive
91,0.975,negative
31,0.974,negative
510,0.541,negative
12,0.786,negative
465,0.644,negative
135,0.671,negative
11,0.935,negative
19,0.789,negative
35,1,negative
89,1,negative
40,1,negative
536,0.533,positive
7,0.571,negative
82,0.925,negative
280,0.709,negative
69,0.344,negative
12,0.778,negative
343,0.677,negative
80,0.468,negative
13,0.978,negative
60,1,negative
344,0.838,negative
103,0.62,negative
13,0.808,negative
331,0.527,negative
109,0.508,negative
13,0.846,negative
532,0.642,negative
13,0.662,negative
510,0.636,negative
13,0.974,negative
508,0.69,negative
518,0.429,negative
12,0.792,negative
145,0.773,negative
283,0.727,negative
453,0.363,negative
66,0.903,negative
535,0.92,positive
57,1,negative
226,0.971,negative
38,0.98,negative
60,0.457,positive
98,0.639,negative
4,0.7,negative
176,0.969,negative
280,0.913,negative
4,0.4,negative
5,0.56,negative
186,0.953,negative
291,0.934,negative
73,0.875,negative
100,0.987,negative
63,0.991,negative
110,0.872,negative
31,0.745,positive
214,0.865,negative
4,0.583,negative
4,0.5,negative
82,0.753,negative
4,0.6,negative
180,0.759,negative
107,0.693,negative
102,0.929,negative
123,0.75,negative
4,0.438,negative
185,0.783,negative
166,0.75,negative
4,0.45,negative
536,0.558,positive
31,0.974,negative
84,0.689,negative
240,0.605,negative
272,0.532,negative
148,0.685,negative
535,0.444,negative
508,0.597,negative
519,0.394,negative
535,0.318,negative
508,0.343,negative
163,0.831,negative
101,0.816,negative
508,0.52,negative
520,0.308,negative
535,0.629,positive
81,0.957,negative
148,0.725,negative
534,0.503,negative
306,0.751,negative
174,0.72,negative
534,0.516,negative
534,0.519,negative
267,0.517,negative
196,0.644,negative
534,0.733,negative
534,0.417,negative
101,0.834,negative
275,0.717,negative
197,0.326,negative
536,0.353,positive
106,0.395,positive
298,0.71,negative
38,0.935,negative
468,0.922,negative
491,0.937,negative
75,0.87,negative
95,0.982,negative
61,0.988,negative
108,0.778,negative
32,0.742,positive
214,0.807,negative
83,0.741,negative
107,0.77,negative
180,0.738,negative
248,0.727,negative
103,0.825,negative
169,0.742,negative
185,0.688,negative
470,0.387,positive
64,0.602,positive
29,0.954,negative
150,0.628,negative
275,0.737,negative
245,0.607,negative
508,0.705,negative
256,0.603,negative
249,1,negative
534,0.633,negative
508,0.51,negative
508,0.393,negative
69,0.808,negative
532,0.72,negative
103,0.909,negative
274,0.583,negative
150,0.774,negative
34,0.782,negative
533,0.592,negative
62,0.852,negative
274,0.58,negative
193,0.813,negative
107,0.739,negative
464,0.55,negative
256,0.563,negative
263,1,negative
499,0.631,negative
305,0.501,negative
200,1,negative
277,1,positive
257,1,positive
147,0.956,negative
350,0.402,positive
37,0.992,negative
471,0.886,negative
495,0.952,negative
59,0.873,negative
96,0.988,negative
62,0.869,negative
109,0.779,negative
31,0.726,positive
216,0.856,negative
83,0.866,negative
182,0.789,negative
108,0.691,negative
249,0.636,negative
103,0.933,negative
187,0.786,negative
170,0.766,negative
537,0.528,positive
29,0.937,negative
152,0.677,negative
535,0.6,negative
535,0.667,negative
535,0.788,negative
535,0.634,negative
534,0.518,negative
69,0.683,negative
138,0.717,negative
218,0.582,negative
537,0.655,positive
76,0.961,negative
152,0.73,negative
284,0.601,negative
228,0.548,negative
535,0.482,negative
535,0.458,negative
535,0.681,negative
536,0.602,negative
533,0.803,negative
537,0.405,positive
349,0.453,negative
537,0.534,positive
105,0.456,positive
38,0.844,negative
228,0.942,negative
471,0.921,negative
494,0.93,negative
62,0.877,negative
96,0.883,negative
62,0.948,negative
109,0.774,negative
32,0.743,positive
215,0.997,negative
83,0.687,negative
181,0.74,negative
107,0.734,negative
102,0.895,negative
250,0.737,negative
185,0.686,negative
169,0.696,negative
98,0.653,positive
415,0.578,positive
63,0.508,positive
29,0.966,negative
151,0.5,negative
535,0.6,negative
535,0.676,negative
279,0.339,negative
233,0.665,negative
510,0.537,negative
525,0.444,negative
536,0.813,negative
536,0.358,negative
299,0.574,negative
217,0.686,negative
102,0.804,negative
535,0.498,negative
86,0.831,negative
505,0.626,negative
475,0.544,positive
99,0.616,positive
75,0.973,negative
61,0.803,negative
336,0.623,negative
155,0.614,negative
535,0.636,negative
298,0.592,negative
219,0.798,negative
299,0.687,negative
219,0.538,negative
537,0.621,positive
198,0.832,negative
13,0.723,negative
537,1,positive
105,0.417,positive
228,0.933,negative
37,0.933,negative
178,0.933,negative
282,0.878,negative
294,0.917,negative
186,0.989,negative
101,0.973,negative
96,0.982,negative
61,0.965,negative
109,0.854,negative
32,0.722,positive
215,0.789,negative
83,0.7,negative
181,0.773,negative
108,0.645,negative
103,0.864,negative
250,0.711,negative
186,0.812,negative
169,0.726,negative
63,1,positive
186,1,positive
214,1,positive
29,0.952,negative
151,0.627,negative
251,0.567,negative
262,0.684,negative
207,0.632,negative
262,0.43,negative
280,0.684,negative
209,0.828,negative
103,0.771,negative
270,0.495,negative
198,0.713,negative
343,0.605,negative
175,0.906,negative
492,0.541,negative
174,0.738,negative
143,1,negative
109,1,negative
535,0.47,negative
86,0.637,negative
219,0.601,negative
59,0.576,negative
123,1,negative
62,0.756,negative
314,0.587,negative
80,0.698,negative
62,1,positive
148,1,positive
278,1,positive
75,0.979,negative
151,0.549,negative
251,0.621,negative
141,0.787,negative
60,1,negative
127,0.718,negative
199,0.575,negative
89,1,negative
175,0.882,negative
203,0.767,negative
36,1,negative
69,0.772,negative
318,0.511,negative
141,0.757,negative
250,0.603,negative
198,0.359,negative
26,1,positive
13,1,positive
145,1,positive
36,1,positive
81,1,positive
187,1,positive
148,0.816,negative
37,0.555,positive
57,0.94,negative
138,0.697,negative
104,0.699,negative
38,0.907,negative
178,0.896,negative
187,0.918,negative
84,0.872,negative
187,0.939,negative
294,0.907,negative
86,0.945,negative
101,0.978,negative
63,0.954,negative
108,0.855,negative
32,0.744,negative
215,0.808,negative
84,0.632,negative
183,0.744,negative
110,0.627,negative
105,0.869,negative
249,0.739,negative
191,0.747,negative
168,0.697,negative
538,0.684,positive
511,0.338,negative
14,0.786,negative
538,0.703,positive
32,0.958,negative
176,0.552,negative
510,0.288,negative
15,0.808,negative
309,0.73,negative
187,0.747,negative
14,0.884,negative
511,0.634,negative
14,0.786,negative
40,0.872,negative
511,0.538,negative
15,0.833,negative
511,0.414,negative
15,0.767,negative
83,0.667,negative
474,0.578,negative
45,0.813,negative
14,0.776,negative
137,0.693,negative
375,0.519,negative
38,0.444,negative
129,0.647,negative
15,0.742,negative
73,0.803,negative
510,0.537,negative
15,0.924,negative
107,0.778,negative
511,0.542,negative
15,0.808,negative
537,0.555,positive
83,0.823,negative
175,0.624,negative
511,0.625,negative
15,0.65,negative
508,0.628,negative
490,0.323,negative
14,0.857,negative
41,0.697,negative
510,0.542,negative
195,0.383,negative
195,0.965,negative
13,1,negative
69,0.507,negative
538,0.424,positive
114,0.408,negative
14,0.908,negative
537,0.364,positive
57,0.97,negative
227,0.839,negative
38,0.935,negative
61,0.509,positive
98,0.98,negative
177,0.961,negative
281,0.903,negative
186,0.942,negative
292,0.954,negative
57,0.958,negative
111,0.81,negative
100,0.98,negative
63,0.998,negative
31,0.767,positive
215,0.993,negative
82,0.641,negative
181,0.738,negative
106,0.649,negative
102,0.893,negative
124,0.847,negative
185,0.786,negative
166,0.75,negative
537,0.747,positive
31,0.948,negative
34,0.748,negative
511,0.509,negative
173,0.86,negative
167,1,negative
21,0.643,negative
148,0.77,negative
535,0.658,negative
506,0.589,negative
521,0.386,negative
536,0.493,negative
53,0.679,negative
352,0.692,negative
171,0.574,negative
102,0.768,negative
194,0.691,negative
256,0.446,negative
60,1,negative
537,0.594,positive
80,0.96,negative
148,0.718,negative
510,0.595,negative
218,0.574,negative
279,0.545,negative
301,0.694,negative
218,0.623,negative
534,0.667,negative
213,0.784,negative
143,0.528,negative
317,0.484,negative
205,0.573,negative
194,0.597,negative
245,0.608,negative
65,1,negative
180,0.523,negative
172,0.731,negative
72,0.736,negative
158,0.346,negative
92,0.713,negative
45,1,negative
102,0.884,negative
535,0.688,negative
151,0.434,negative
363,0.532,negative
537,0.655,positive
57,0.951,negative
150,0.681,negative
104,0.639,negative
38,0.937,negative
61,0.483,positive
99,0.942,negative
178,0.873,negative
186,0.868,negative
84,0.82,negative
186,0.988,negative
292,0.915,negative
112,0.835,negative
60,0.842,negative
100,0.863,negative
63,0.941,negative
32,0.72,positive
216,0.747,negative
82,0.75,negative
181,0.737,negative
107,0.65,negative
103,0.831,negative
124,0.705,negative
186,0.786,negative
167,0.727,negative
537,0.609,positive
105,0.41,negative
315,0.248,negative
13,0.923,negative
538,0.596,positive
32,0.76,negative
62,0.645,negative
278,0.594,negative
216,0.511,negative
13,0.835,negative
492,0.781,negative
341,0.305,negative
14,0.905,negative
104,0.529,negative
99,0.745,negative
376,0.875,negative
120,0.752,negative
13,0.987,negative
511,0.798,negative
284,0.456,negative
172,0.678,negative
14,0.949,negative
259,0.697,negative
143,0.526,negative
13,0.846,negative
510,0.531,negative
14,0.939,negative
177,0.75,negative
353,0.634,negative
144,0.612,negative
14,0.881,negative
511,0.529,negative
14,0.814,negative
510,0.695,negative
488,0.343,negative
13,1,negative
99,0.778,negative
306,0.807,negative
163,0.667,negative
13,1,negative
537,0.567,positive
81,0.852,negative
66,0.707,negative
164,0.65,negative
71,0.672,negative
14,0.867,negative
177,1,negative
61,0.683,negative
268,0.637,negative
186,0.814,negative
13,0.923,negative
511,0.557,negative
13,0.857,negative
510,0.592,negative
13,0.923,negative
102,0.708,negative
273,0.808,negative
223,0.527,negative
14,0.827,negative
259,0.749,negative
50,0.96,negative
13,0.769,negative
31,1,negative
535,0.586,positive
58,0.927,negative
227,0.837,negative
38,0.955,negative
61,0.431,positive
98,0.704,negative
178,0.969,negative
280,0.899,negative
187,0.943,negative
292,0.914,negative
111,0.771,negative
99,0.886,negative
64,0.865,negative
100,0.879,negative
32,0.689,positive
215,0.746,negative
82,0.764,negative
180,0.832,negative
107,0.656,negative
102,0.867,negative
123,0.65,negative
186,0.778,negative
166,0.723,negative
500,0.421,positive
32,0.531,positive
31,0.844,negative
148,0.625,negative
457,0.63,negative
40,1,negative
523,0.305,negative
509,0.379,negative
140,0.666,negative
331,0.78,negative
168,0.369,negative
13,0.846,negative
69,0.826,negative
326,0.641,negative
171,0.605,negative
13,0.758,negative
101,0.771,negative
267,0.73,negative
136,0.775,negative
99,1,negative
535,0.697,negative
536,0.688,positive
81,0.932,negative
148,0.558,negative
264,0.656,negative
131,0.471,negative
70,1,negative
332,0.712,negative
190,0.62,negative
71,0.757,negative
310,0.792,negative
169,0.785,negative
241,0.498,negative
68,0.931,negative
104,1,negative
102,0.759,negative
233,0.687,negative
117,0.847,negative
508,0.53,negative
242,0.574,negative
74,1,negative
40,0.707,negative
535,0.594,negative
71,0.784,negative
504,0.665,negative
375,0.428,negative
45,0.944,negative
69,0.754,negative
112,0.667,negative
118,1,negative
50,1,negative
536,0.686,positive
14,0.536,negative
39,0.197,positive
278,0.144,positive
22,1,positive
54,1,positive
16,1,positive
10,0.74,negative
75,0.907,negative
158,0.641,positive
277,0.365,positive
149,0.472,positive
1,1,positive
1,1,positive
40,0.615,negative
38,0.62,negative
155,0.584,negative
1,1,positive
20,0.373,negative
17,0.529,negative
53,0.485,negative
25,1,positive
413,1,positive
15,1,positive
93,0.902,positive
12,0.851,negative
55,0.827,negative
27,0.833,negative
3,0.345,positive
118,0.616,negative
162,0.573,negative
9,0.889,negative
84,0.565,negative
67,0.823,negative
79,0.818,negative
190,0.457,negative
3,0.778,negative
180,1,positive
22,1,positive
11,1,positive
7,1,positive
10,1,positive
1,1,positive
5,0.514,negative
11,0.708,negative
37,0.722,negative
48,0.706,negative
80,0.719,negative
22,0.855,negative
71,0.659,negative
80,0.536,negative
36,0.92,negative
14,0.865,negative
15,0.971,negative
41,0.634,negative
1,1,positive
288,0.5,negative
27,0.709,negative
123,0.656,negative
67,0.517,negative
31,0.774,negative
18,0.656,negative
40,0.592,negative
10,0.69,negative
71,0.757,negative
85,0.614,negative
104,0.611,positive
185,0.772,negative
1,1,positive
331,0.535,negative
11,0.685,negative
12,0.732,negative
1,1,positive
340,0.521,negative
257,0.615,negative
342,0.548,negative
17,0.652,negative
13,0.577,negative
4,0.75,negative
7,1,negative
1,1,positive
379,1,positive
9,0.684,negative
6,0.449,negative
53,0.624,negative
45,0.566,negative
57,0.719,negative
50,0.746,negative
12,0.741,negative
1,1,positive
7,0.959,negative
8,0.972,negative
67,0.83,negative
45,0.694,negative
228,0.621,negative
80,0.435,negative
275,0.637,negative
89,0.496,negative
179,0.733,negative
320,0.514,negative
1,1,positive
14,1,positive
16,0.531,positive
19,1,positive
136,1,positive
11,1,positive
36,0.929,negative
12,1,positive
14,1,positive
15,1,positive
14,1,positive
104,1,positive
29,1,positive
78,1,positive
9,0.611,positive
145,0.963,positive
70,0.971,negative
314,0.671,positive
83,0.727,negative
155,0.642,negative
139,0.692,negative
137,0.622,negative
71,0.904,negative
36,1,positive
18,1,positive
99,0.96,negative
1,1,positive
90,0.718,negative
10,0.53,negative
43,0.86,negative
337,1,negative
402,0.631,negative
20,0.845,negative
1,1,positive
259,0.779,negative
125,0.959,negative
441,0.625,negative
18,0.796,negative
314,0.721,negative
159,0.763,negative
421,0.581,negative
3,0.778,negative
18,0.811,negative
91,0.628,negative
161,0.605,negative
371,0.59,negative
19,0.816,negative
322,0.714,negative
62,0.665,negative
385,0.561,negative
18,0.9,negative
80,0.882,negative
258,0.648,negative
133,0.966,negative
297,0.6,negative
20,0.78,negative
154,0.87,negative
137,0.991,positive
68,0.974,negative
357,0.655,positive
117,1,positive
47,1,positive
170,0.909,negative
82,0.73,negative
154,0.664,negative
72,0.86,negative
157,0.958,negative
183,0.747,negative
9,0.689,negative
141,0.932,negative
407,0.574,negative
10,0.46,negative
82,0.69,negative
435,0.571,negative
17,0.869,negative
430,0.772,negative
372,0.586,negative
18,0.772,negative
143,0.775,negative
336,0.958,negative
321,0.595,negative
18,0.844,negative
156,0.991,negative
124,1,negative
397,0.536,negative
20,0.733,negative
155,0.882,negative
364,0.562,negative
19,0.842,negative
186,0.771,negative
265,0.565,negative
3,0.889,negative
3,0.778,negative
19,0.837,negative
64,0.911,negative
350,0.589,negative
18,0.944,negative
273,0.701,negative
63,0.843,negative
1,1,positive
1,1,positive
547,0.483,positive
74,0.983,negative
40,1,negative
52,1,positive
32,1,negative
169,0.947,positive
82,0.839,negative
155,0.631,negative
71,0.866,negative
27,1,positive
39,1,positive
34,1,positive
107,0.982,negative
184,0.76,negative
9,0.531,negative
52,0.921,negative
399,0.593,negative
9,0.789,negative
126,0.961,negative
359,0.615,negative
18,0.778,negative
245,0.765,negative
124,0.961,negative
367,0.576,negative
19,0.774,negative
141,0.79,negative
344,0.712,negative
18,0.867,negative
153,0.643,negative
167,0.8,negative
419,0.526,negative
4,0.667,negative
17,0.771,negative
292,0.761,negative
326,0.589,negative
18,0.883,negative
253,0.826,negative
251,0.743,negative
269,0.625,negative
3,0.889,negative
18,0.864,negative
201,0.722,negative
246,0.765,negative
106,0.34,positive
28,1,positive
255,1,positive
10,1,positive
9,1,positive
1,1,positive
140,0.649,positive
54,0.951,negative
357,0.644,positive
171,0.912,negative
1,1,positive
83,0.795,negative
155,0.601,negative
72,0.885,negative
1,1,positive
19,1,positive
44,1,positive
14,1,positive
203,0.999,negative
8,0.764,negative
170,0.928,negative
121,0.98,negative
400,0.609,negative
8,0.792,negative
59,0.985,negative
354,0.598,negative
14,0.944,negative
130,0.697,negative
58,0.903,negative
1,1,positive
18,0.852,negative
335,0.677,negative
1,1,positive
222,0.692,negative
280,0.77,negative
106,1,negative
159,0.627,negative
17,0.856,negative
86,0.705,negative
266,1,negative
1,1,positive
349,0.668,negative
18,0.895,negative
1,1,positive
162,0.936,negative
18,0.694,negative
285,0.708,negative
159,0.719,negative
245,0.997,negative
332,0.659,negative
17,0.922,negative
1,1,positive
175,0.774,negative
205,0.708,negative
98,1,negative
17,0.759,negative
252,0.682,negative
151,0.785,negative
433,0.605,negative
17,0.889,negative
1,1,positive
252,0.775,negative
30,1,positive
94,1,positive
193,1,positive
347,0.567,positive
50,0.955,negative
378,0.584,negative
159,1,positive
169,0.971,negative
82,0.798,negative
154,0.639,negative
71,0.872,negative
166,0.98,negative
1,1,positive
183,0.841,negative
16,0.875,negative
240,0.821,negative
419,0.603,negative
3,0.889,negative
16,0.958,negative
136,0.778,negative
161,0.93,negative
19,0.858,negative
203,0.67,negative
62,0.78,negative
19,0.768,negative
390,0.59,negative
3,0.889,negative
123,0.798,negative
327,0.767,negative
371,1,negative
184,0.884,negative
19,0.858,negative
95,0.904,negative
201,0.641,negative
20,0.795,negative
165,0.706,negative
417,0.559,negative
19,0.836,negative
272,0.75,negative
319,0.577,negative
19,0.9,negative
98,0.724,negative
433,0.572,negative
20,0.856,negative
152,0.764,negative
340,0.563,negative
19,0.805,negative
183,0.681,negative
383,0.603,negative
1,1,positive
135,0.904,positive
1,1,positive
54,0.96,negative
315,0.594,positive
1,1,positive
83,0.726,negative
155,0.678,negative
72,0.862,negative
32,1,positive
261,0.945,negative
185,0.883,negative
10,0.53,negative
45,0.984,negative
284,0.54,negative
17,0.915,negative
160,0.763,negative
118,0.742,negative
16,0.963,negative
369,0.662,negative
123,0.962,negative
333,0.65,negative
19,0.816,negative
272,0.848,negative
281,0.551,negative
18,0.815,negative
152,0.765,negative
254,0.569,negative
20,0.68,negative
395,0.658,negative
157,0.874,negative
433,0.706,negative
19,0.871,negative
153,0.97,negative
267,0.662,negative
19,0.768,negative
193,0.829,negative
340,0.926,negative
184,0.885,negative
19,0.895,negative
215,0.792,negative
420,0.571,negative
3,1,negative
20,0.783,negative
140,0.756,negative
191,0.617,negative
19,0.86,negative
369,0.639,negative
14,0.204,positive
472,0.547,positive
72,0.94,negative
15,1,positive
132,1,negative
416,0.617,negative
9,0.689,negative
43,0.973,negative
198,0.983,negative
213,0.658,negative
4,0.75,negative
16,0.794,negative
82,0.669,negative
17,0.918,negative
266,0.579,negative
124,0.722,negative
320,0.585,negative
17,0.853,negative
133,0.721,negative
250,0.733,negative
320,0.561,negative
19,0.895,negative
250,0.768,negative
170,0.999,negative
184,0.796,negative
18,0.894,negative
249,0.77,negative
267,0.674,negative
19,0.874,negative
57,0.797,negative
1,1,positive
471,0.433,positive
72,0.991,negative
7,1,negative
83,0.742,negative
154,0.727,negative
71,0.95,negative
63,1,positive
209,0.992,negative
344,0.572,negative
20,0.909,negative
154,0.731,negative
198,0.932,negative
427,0.632,negative
23,0.826,negative
121,0.611,negative
409,0.604,negative
184,0.886,negative
350,0.577,negative
23,0.79,negative
121,0.761,negative
205,0.717,negative
367,0.575,negative
24,0.727,negative
138,0.75,negative
266,0.667,negative
382,0.567,negative
20,0.895,negative
181,0.759,negative
198,0.773,negative
42,1,positive
1,1,positive
79,0.967,negative
326,0.671,positive
96,0.582,positive
82,0.803,negative
155,0.687,negative
28,1,positive
72,0.938,negative
120,0.972,negative
344,0.662,negative
11,0.735,negative
135,0.833,negative
78,0.89,negative
322,0.753,negative
391,0.674,negative
4,0.917,negative
20,0.918,negative
70,0.639,negative
1,1,positive
353,0.608,negative
415,0.675,negative
20,0.838,negative
205,0.799,negative
195,0.781,negative
170,0.997,negative
359,0.652,negative
22,0.841,negative
341,0.724,negative
70,0.851,negative
203,0.929,negative
408,0.644,negative
22,0.847,negative
222,0.728,negative
59,0.792,negative
161,0.897,positive
80,0.848,negative
314,0.619,positive
82,0.821,negative
155,0.723,negative
71,0.863,negative
309,0.984,negative
356,0.626,negative
19,0.957,negative
389,0.678,negative
56,0.7,negative
22,0.788,negative
424,0.563,negative
4,0.917,negative
96,0.675,negative
87,0.962,negative
120,1,negative
389,0.569,negative
22,0.814,negative
62,0.646,negative
161,0.65,negative
198,0.999,negative
337,0.598,negative
23,0.834,negative
393,0.653,negative
256,0.765,negative
337,0.608,negative
22,0.852,negative
398,0.608,negative
212,0.693,negative
256,0.779,negative
424,0.557,negative
469,0.529,positive
83,0.914,negative
155,0.731,negative
71,0.937,negative
137,0.934,negative
20,0.854,negative
399,0.577,negative
227,0.731,negative
69,0.626,negative
382,0.6,negative
20,0.882,negative
87,0.628,negative
309,0.549,negative
22,0.81,negative
356,0.738,negative
284,0.725,negative
294,0.651,negative
22,0.806,negative
183,0.787,negative
81,0.695,negative
334,0.966,negative
22,0.784,negative
405,0.596,negative
4,0.917,negative
424,0.719,negative
302,0.804,negative
141,0.884,positive
54,0.849,negative
314,0.502,negative
9,1,negative
82,0.695,negative
155,0.722,negative
72,0.918,negative
23,1,positive
14,1,positive
45,1,positive
125,1,negative
376,0.58,negative
10,0.783,negative
352,0.738,negative
236,0.803,negative
4,1,negative
19,0.947,negative
154,0.704,negative
417,0.652,negative
404,0.674,negative
2,0.9,positive
2,0.536,positive
135,0.966,negative
2,0.636,positive
216,0.764,negative
22,0.864,negative
268,0.731,negative
4,0.917,negative
94,0.677,negative
2,1,positive
403,0.521,negative
22,0.88,negative
57,0.739,negative
356,0.576,negative
22,0.837,negative
439,0.724,negative
436,0.755,negative
94,0.922,negative
410,0.569,negative
22,0.888,negative
243,0.709,negative
378,0.684,negative
1,1,positive
57,0.906,negative
104,0.87,negative
64,0.947,negative
271,0.744,negative
268,0.694,negative
230,0.87,negative
150,0.756,negative
13,0.817,negative
157,0.987,negative
232,0.782,negative
13,0.788,negative
248,0.729,negative
177,0.693,negative
13,0.817,negative
171,0.778,negative
48,0.901,negative
13,0.989,negative
316,0.673,negative
281,0.856,negative
13,0.978,negative
268,0.754,negative
276,0.846,negative
278,0.798,negative
13,0.817,negative
358,0.863,negative
170,0.89,negative
19,0.925,negative
269,0.496,negative
398,0.745,negative
80,0.961,negative
12,0.813,negative
238,0.727,negative
88,0.668,negative
13,0.89,negative
279,0.687,negative
80,0.838,negative
19,0.91,negative
268,0.59,negative
162,0.527,negative
162,0.412,negative
109,0.959,negative
163,0.51,negative
162,0.79,negative
163,0.549,negative
163,0.982,negative
162,0.73,negative
104,0.683,negative
184,0.777,negative
5,0.829,negative
130,0.528,negative
17,0.647,negative
1,1,negative
116,0.416,negative
29,0.97,negative
257,0.49,negative
84,0.71,negative
63,0.804,negative
30,0.824,negative
510,0.927,positive
19,0.381,negative
24,0.735,negative
159,0.605,negative
168,0.661,negative
131,0.796,negative
206,0.793,negative
217,0.684,negative
184,0.697,negative
243,0.528,negative
219,0.617,negative
110,0.627,negative
128,0.72,negative
21,0.613,negative
23,0.808,negative
171,0.422,negative
166,0.606,negative
73,0.627,negative
125,0.601,negative
