Lenght,Eccen,P_black,P_and,Class
11,1.571,0.351,0.922,negative
20,2.857,0.364,0.871,negative
49,7,0.3,0.72,negative
38,3.8,0.195,0.55,negative
15,2.143,0.314,1,negative
66,9.429,0.294,0.924,negative
54,6,0.27,0.852,negative
49,5.444,0.272,0.791,negative
11,1.375,0.25,0.83,negative
36,5.143,0.365,0.96,negative
29,4.143,0.36,0.936,negative
11,1.571,0.351,0.961,negative
26,3.714,0.352,1,negative
9,1.286,0.286,0.968,negative
31,4.429,0.276,0.788,negative
9,1.286,0.381,0.952,negative
27,3.375,0.236,0.685,negative
4,0.5,0.375,1,negative
5,0.625,0.375,0.95,negative
5,1,0.52,1,negative
15,2.143,0.229,0.981,negative
37,5.286,0.305,1,negative
9,1.286,0.302,0.905,negative
11,1.571,0.364,1,negative
19,2.714,0.361,0.917,negative
8,1.143,0.357,0.893,negative
55,6.111,0.259,0.699,negative
29,4.143,0.365,0.946,negative
4,0.571,0.25,0.857,negative
14,2,0.337,0.98,negative
17,2.429,0.286,0.916,negative
38,5.429,0.226,0.639,negative
23,2.875,0.239,0.554,negative
41,4.556,0.244,0.661,negative
33,5.5,0.268,0.848,negative
4,0.667,0.458,1,negative
19,3.167,0.36,0.711,negative
49,8.167,0.286,0.694,negative
13,1.857,0.297,0.857,negative
13,1.857,0.374,0.978,negative
30,4.286,0.305,0.871,negative
14,2,0.378,1,negative
14,2,0.337,0.786,negative
18,2.571,0.365,0.968,negative
7,1,0.245,1,negative
26,3.714,0.269,0.929,negative
17,2.833,0.324,1,negative
9,1.5,0.296,0.796,negative
26,4.333,0.34,0.974,negative
5,1,0.36,1,negative
48,5.333,0.273,0.685,negative
31,4.429,0.313,0.853,negative
42,6,0.333,0.844,negative
46,6.571,0.304,0.745,negative
11,2.2,0.455,1,negative
21,2.333,0.206,0.778,negative
58,6.444,0.203,0.531,negative
49,5.444,0.265,0.653,negative
8,0.889,0.222,0.736,negative
22,2.444,0.227,0.934,negative
32,4.571,0.232,0.804,negative
19,2.111,0.222,0.673,negative
18,3,0.306,0.787,negative
15,2.143,0.333,0.838,negative
16,2.286,0.304,0.955,negative
32,3.556,0.24,0.913,negative
56,8,0.227,0.602,negative
16,2,0.234,0.922,negative
7,1.167,0.262,0.786,negative
33,5.5,0.247,0.813,negative
10,1.667,0.333,0.75,negative
25,4.167,0.273,0.787,negative
19,2.111,0.251,0.977,negative
29,3.222,0.234,0.889,negative
49,5.444,0.247,0.721,negative
13,1.857,0.363,0.934,negative
57,7.125,0.268,0.798,negative
54,6.75,0.275,0.778,negative
11,1.375,0.318,1,negative
24,3.429,0.274,0.661,negative
38,5.429,0.259,0.688,negative
23,2.556,0.222,0.816,negative
49,5.444,0.222,0.687,negative
43,6.143,0.249,0.807,negative
8,1.143,0.357,0.804,negative
19,2.714,0.398,0.977,negative
7,1.4,0.429,0.971,negative
6,1.2,0.3,1,negative
262,26.2,0.19,0.601,negative
17,2.429,0.353,0.79,negative
9,1.286,0.349,0.746,negative
40,5.714,0.336,0.971,negative
48,6.857,0.33,0.821,negative
25,3.125,0.285,0.88,negative
13,1.857,0.396,1,negative
16,2.286,0.339,1,negative
38,5.429,0.248,0.955,negative
7,1.4,0.457,1,negative
9,0.9,0.222,1,negative
47,4.7,0.198,0.781,negative
16,2,0.258,0.945,negative
6,0.75,0.313,0.813,negative
26,3.714,0.302,0.912,negative
65,7.222,0.222,0.786,negative
18,2.571,0.27,0.825,negative
21,2.625,0.232,0.643,negative
13,2.6,0.4,1,negative
93,11.625,0.185,0.538,negative
21,3,0.293,0.81,negative
27,3.857,0.079,0.175,negative
44,6.286,0.218,0.734,negative
19,2.714,0.248,0.624,negative
24,3.429,0.232,0.851,negative
39,5.571,0.253,0.853,negative
11,1.571,0.325,0.935,negative
15,2.143,0.229,0.886,negative
13,1.857,0.363,1,negative
4,0.571,0.286,1,negative
18,2.571,0.365,0.952,negative
13,1.857,0.33,0.835,negative
40,5.714,0.336,0.782,negative
47,5.222,0.279,0.773,negative
7,1,0.347,0.98,negative
11,1.571,0.403,0.974,negative
30,3.333,0.27,0.796,negative
20,2.857,0.257,0.879,negative
11,1.571,0.364,0.727,negative
23,3.286,0.329,0.845,negative
9,1.286,0.333,0.952,negative
13,1.857,0.308,0.934,negative
19,2.714,0.286,0.669,negative
28,5.6,0.307,0.814,negative
32,6.4,0.35,0.863,negative
24,4.8,0.375,0.95,negative
19,3.8,0.442,0.937,negative
54,6,0.191,0.741,negative
39,4.333,0.239,0.624,negative
57,8.143,0.273,0.659,negative
10,1.429,0.329,1,negative
32,4.571,0.277,0.83,negative
6,1,0.361,1,negative
21,3.5,0.349,1,negative
7,1.167,0.357,0.762,negative
5,0.714,0.371,0.829,negative
13,1.857,0.319,0.846,negative
9,1.286,0.381,0.857,negative
35,5,0.302,0.939,negative
14,2,0.357,0.969,negative
11,1.571,0.39,0.792,negative
20,2.857,0.379,1,negative
31,4.429,0.318,0.839,negative
23,3.286,0.286,0.677,negative
39,5.571,0.293,0.733,negative
7,1,0.245,0.878,negative
39,4.875,0.224,0.824,negative
54,7.714,0.235,0.799,negative
32,4.571,0.268,0.83,negative
51,7.286,0.322,0.784,negative
48,6.857,0.268,0.652,negative
13,1.857,0.286,0.989,negative
8,1.143,0.268,0.679,negative
17,2.429,0.227,0.891,negative
10,1.429,0.286,0.829,negative
11,1.571,0.286,0.909,negative
13,1.3,0.231,0.8,negative
11,1.833,0.364,0.955,negative
19,2.714,0.346,0.842,negative
14,2,0.214,0.786,negative
20,2.5,0.206,0.813,negative
26,4.333,0.288,0.872,negative
30,3.75,0.225,0.671,negative
10,1.25,0.238,0.925,negative
13,1.857,0.341,0.846,negative
39,5.571,0.33,0.853,negative
18,3.6,0.467,0.867,negative
16,2.667,0.198,0.76,negative
27,3.857,0.37,0.841,negative
8,1.143,0.357,0.786,negative
17,2.429,0.261,0.95,negative
11,1.571,0.364,0.922,negative
11,1.571,0.299,0.779,negative
23,3.286,0.342,0.783,negative
7,1,0.327,1,negative
8,1.143,0.339,0.875,negative
13,2.167,0.269,0.667,negative
16,2.286,0.286,0.705,negative
28,4.667,0.369,0.78,negative
34,4.857,0.273,0.584,negative
18,2.571,0.286,0.627,negative
11,1.571,0.351,0.727,negative
21,3,0.327,0.912,negative
14,2,0.286,0.755,negative
52,7.429,0.272,0.788,negative
14,14,0.571,1,negative
18,3.6,0.4,0.811,negative
36,7.2,0.406,0.961,negative
11,1.571,0.377,0.948,negative
29,3.222,0.287,0.747,negative
37,4.111,0.228,0.586,negative
16,2.286,0.295,0.92,negative
26,3.25,0.236,0.779,negative
11,1.571,0.299,0.727,negative
13,2.6,0.477,0.938,negative
7,1.4,0.543,1,negative
14,2.8,0.457,1,negative
30,4.286,0.3,0.886,negative
9,1.286,0.238,0.619,negative
16,2.286,0.286,0.955,negative
11,1.571,0.247,0.61,negative
27,3.857,0.286,1,negative
7,1,0.265,0.796,negative
21,3,0.333,0.789,negative
33,4.714,0.368,0.896,negative
17,2.429,0.336,0.908,negative
12,1.714,0.357,0.81,negative
19,2.714,0.406,0.94,negative
30,4.286,0.329,1,negative
8,1.143,0.268,0.768,negative
11,1.571,0.312,0.844,negative
24,2.667,0.218,0.588,negative
24,3.429,0.244,0.774,negative
20,2.857,0.257,0.75,negative
30,3.333,0.248,0.937,negative
19,3.8,0.389,0.895,negative
11,2.2,0.364,1,negative
16,2.286,0.241,0.634,negative
7,1.4,0.4,1,negative
22,3.143,0.247,0.714,negative
17,1.889,0.235,0.647,negative
33,3.3,0.182,0.564,negative
14,2,0.306,0.959,negative
18,2.571,0.278,0.976,negative
5,0.714,0.257,1,negative
41,5.857,0.328,0.774,negative
20,2.222,0.294,0.578,negative
6,0.857,0.381,1,negative
4,0.571,0.25,0.857,negative
14,2,0.408,0.98,negative
15,1.875,0.267,0.908,negative
21,3,0.32,0.714,negative
72,8,0.241,0.548,negative
21,3,0.279,0.748,negative
38,5.429,0.338,0.729,negative
11,1.571,0.364,0.935,negative
32,4.571,0.308,0.777,negative
36,5.143,0.302,0.873,negative
63,6.3,0.184,0.617,negative
43,6.143,0.292,0.85,negative
24,3.429,0.28,0.607,negative
19,2.111,0.292,0.684,negative
30,4.286,0.338,0.762,negative
7,1,0.306,0.898,negative
11,1.833,0.348,1,negative
28,3.111,0.25,0.77,negative
20,2.857,0.229,0.864,negative
14,2,0.265,0.827,negative
11,1.833,0.364,0.833,negative
19,3.167,0.307,0.904,negative
32,4.571,0.272,0.862,negative
10,1.667,0.317,0.85,negative
14,2.333,0.274,1,negative
24,2.667,0.213,0.468,negative
24,4,0.292,0.778,negative
11,1.833,0.303,0.97,negative
8,1.6,0.35,0.975,negative
20,2.857,0.329,1,negative
4,0.571,0.393,0.679,negative
51,7.286,0.325,0.871,negative
11,1.571,0.416,0.961,negative
44,5.5,0.284,0.673,negative
24,4,0.264,0.764,negative
38,5.429,0.286,0.748,negative
4,0.571,0.25,0.893,negative
25,3.571,0.189,0.806,negative
22,3.143,0.325,0.805,negative
21,3,0.388,0.912,negative
27,3.375,0.282,0.87,negative
13,1.857,0.33,0.835,negative
8,1.143,0.393,1,negative
33,4.714,0.351,0.987,negative
9,1,0.272,0.753,negative
11,1.222,0.253,0.778,negative
40,5.714,0.311,0.939,negative
11,1.571,0.299,1,negative
31,3.1,0.197,0.652,negative
38,3.8,0.187,0.463,negative
43,4.778,0.274,0.605,negative
7,1,0.286,1,negative
21,3,0.306,0.741,negative
11,1.571,0.377,0.974,negative
14,2.333,0.286,1,negative
13,2.167,0.333,0.91,negative
10,1.667,0.4,0.967,negative
6,1.2,0.433,0.967,negative
12,2.4,0.483,1,negative
49,4.9,0.165,0.649,negative
13,2.167,0.333,0.846,negative
11,1.833,0.394,0.955,negative
13,2.167,0.308,1,negative
16,2,0.211,0.672,negative
11,1.833,0.333,0.788,negative
30,5,0.311,0.8,negative
20,5,0.388,0.925,negative
22,5.5,0.432,0.977,negative
21,4.2,0.333,0.79,negative
29,3.222,0.23,0.613,negative
34,4.857,0.286,0.756,negative
6,0.857,0.452,0.976,negative
41,5.857,0.341,0.721,negative
46,6.571,0.354,0.994,negative
8,1,0.219,0.875,negative
14,2,0.347,1,negative
20,4,0.49,0.99,negative
20,2.222,0.233,0.5,negative
7,0.875,0.268,0.786,negative
17,2.125,0.199,0.603,negative
19,2.375,0.178,0.724,negative
19,2.375,0.184,0.849,negative
14,2,0.327,0.847,negative
16,2.286,0.259,1,negative
14,2,0.316,0.847,negative
11,1.571,0.364,0.896,negative
33,4.714,0.264,0.844,negative
36,5.143,0.278,0.937,negative
251,25.1,0.179,0.515,negative
6,0.857,0.333,0.643,negative
19,2.714,0.203,0.406,negative
15,2.5,0.267,0.833,negative
6,1,0.417,1,negative
17,2.429,0.311,0.908,negative
20,2.857,0.25,0.657,negative
24,3.429,0.268,0.708,negative
19,2.714,0.278,0.662,negative
7,1.167,0.286,0.857,negative
11,1.571,0.325,0.831,negative
42,6,0.235,0.571,negative
14,2.8,0.386,0.857,negative
22,3.143,0.247,0.883,negative
4,0.5,0.25,0.344,negative
11,1.571,0.312,1,negative
34,4.857,0.298,0.937,negative
6,0.857,0.333,1,negative
45,5,0.259,0.805,negative
16,2.286,0.313,0.973,negative
11,1.571,0.39,0.766,negative
74,10.571,0.276,0.683,negative
31,4.429,0.286,0.673,negative
11,1.571,0.403,0.961,negative
47,5.875,0.266,0.604,negative
56,8,0.319,0.829,negative
24,3.429,0.196,0.762,negative
40,5,0.213,0.659,negative
27,4.5,0.241,0.988,negative
44,7.333,0.254,0.689,negative
26,2.889,0.175,0.517,negative
20,2.857,0.307,0.85,negative
19,3.167,0.333,0.93,negative
25,4.167,0.313,1,negative
11,1.833,0.333,0.97,negative
16,2.286,0.259,0.768,negative
33,6.6,0.376,0.903,negative
37,3.7,0.154,0.457,negative
11,1.1,0.2,0.545,negative
17,1.889,0.229,0.582,negative
5,0.556,0.244,0.622,negative
26,3.714,0.192,0.626,negative
21,3,0.259,0.837,negative
11,1.571,0.416,0.818,negative
86,12.286,0.294,0.701,negative
33,4.714,0.346,0.879,negative
9,1.286,0.349,0.746,negative
11,1.222,0.222,0.737,negative
22,2.444,0.212,0.763,negative
47,6.714,0.286,0.717,negative
11,1.571,0.299,0.649,negative
19,2.714,0.331,0.729,negative
25,3.571,0.303,0.709,negative
207,29.571,0.249,0.771,negative
51,7.286,0.283,0.91,negative
26,4.333,0.288,0.679,negative
28,3.111,0.258,0.607,negative
13,2.167,0.359,0.782,negative
11,1.833,0.318,0.712,negative
30,3.75,0.242,0.667,negative
12,2,0.361,0.903,negative
11,2.75,0.432,1,negative
20,2.857,0.357,0.7,negative
43,6.143,0.319,0.801,negative
19,2.714,0.338,0.827,negative
41,5.857,0.307,0.808,negative
11,1.571,0.416,0.974,negative
15,2.143,0.343,1,negative
65,7.222,0.265,0.73,negative
11,1.571,0.377,0.961,negative
44,4.889,0.24,0.775,negative
7,1,0.306,0.959,negative
23,3.286,0.273,0.839,negative
7,1,0.327,1,negative
11,1.833,0.379,0.818,negative
6,1.5,0.542,1,negative
4,1,0.563,0.938,negative
17,3.4,0.388,0.859,negative
40,8,0.44,0.935,negative
38,6.333,0.377,0.833,negative
19,2.714,0.398,1,negative
18,2.571,0.238,0.714,negative
23,3.286,0.28,0.783,negative
7,1,0.347,1,negative
41,4.556,0.263,0.743,negative
24,2.667,0.287,0.912,negative
39,4.333,0.259,0.695,negative
52,5.778,0.306,0.718,negative
26,2.889,0.291,0.795,negative
45,6.429,0.254,0.708,negative
8,1.6,0.55,0.95,negative
12,2.4,0.55,0.983,negative
9,1.8,0.333,1,negative
48,6,0.221,0.557,negative
43,8.6,0.456,1,negative
40,6.667,0.296,0.729,negative
17,2.429,0.336,0.874,negative
34,3.778,0.209,0.493,negative
59,8.429,0.228,0.659,negative
91,10.111,0.206,0.731,negative
103,11.444,0.243,0.663,negative
13,2.6,0.431,0.923,negative
13,2.167,0.308,0.974,negative
32,6.4,0.406,1,negative
28,5.6,0.321,0.95,negative
6,1.2,0.433,1,negative
3,0.6,0.533,1,negative
23,3.286,0.329,0.938,negative
5,0.714,0.429,0.886,negative
13,2.167,0.359,0.885,negative
12,2,0.375,0.944,negative
18,2,0.259,0.71,negative
10,1.429,0.3,0.771,negative
11,1.571,0.364,0.948,negative
30,3.333,0.285,0.6,negative
33,4.714,0.364,0.753,negative
44,6.286,0.169,0.455,negative
157,17.444,0.222,0.54,negative
11,1.571,0.364,0.909,negative
19,3.167,0.289,0.789,negative
18,3,0.315,1,negative
16,2.667,0.354,1,negative
7,1.4,0.4,0.943,negative
4,0.8,0.45,0.8,negative
26,3.714,0.374,0.846,negative
35,5,0.269,0.939,negative
37,5.286,0.282,0.772,negative
48,5.333,0.257,0.738,negative
86,9.556,0.211,0.517,negative
4,0.8,0.6,1,negative
27,5.4,0.304,0.889,negative
15,2.143,0.371,0.829,negative
26,3.714,0.346,0.725,negative
20,2.857,0.25,0.593,negative
17,2.429,0.361,0.782,negative
82,9.111,0.245,0.562,negative
65,9.286,0.284,0.846,negative
92,10.222,0.24,0.641,negative
48,5.333,0.227,0.657,negative
52,7.429,0.266,0.959,negative
43,8.6,0.372,0.888,negative
4,0.8,0.5,0.7,negative
20,2.222,0.261,0.617,negative
14,2.333,0.298,0.619,negative
11,1.571,0.299,1,negative
13,1.857,0.374,0.901,negative
30,4.286,0.324,0.948,negative
31,4.429,0.281,0.682,negative
262,26.2,0.185,0.655,negative
36,5.143,0.262,0.671,negative
18,2.571,0.357,1,negative
11,1.571,0.377,1,negative
25,3.571,0.371,1,negative
33,4.714,0.351,0.957,negative
17,1.889,0.307,0.987,negative
6,0.75,0.375,1,negative
13,1.857,0.308,0.824,negative
18,2.571,0.254,0.841,negative
38,5.429,0.252,0.628,negative
262,29.111,0.209,0.703,negative
19,3.167,0.316,0.886,negative
32,6.4,0.413,0.994,negative
23,4.6,0.322,1,negative
5,1,0.28,0.72,negative
41,5.125,0.21,0.662,negative
10,1.429,0.329,0.814,negative
54,7.714,0.286,0.878,negative
16,1.778,0.174,0.819,negative
8,1.333,0.313,0.875,negative
11,1.571,0.299,0.987,negative
18,2.571,0.302,0.984,negative
53,5.889,0.252,0.677,negative
53,7.571,0.299,0.927,negative
107,11.889,0.217,0.842,negative
17,2.125,0.228,0.882,negative
32,4,0.207,0.797,negative
33,5.5,0.303,0.874,negative
16,1.778,0.208,0.715,negative
11,1.222,0.283,0.939,negative
25,2.778,0.249,0.911,negative
14,1.556,0.238,0.897,negative
14,2,0.337,0.898,negative
10,1.429,0.314,1,negative
50,5.556,0.22,0.691,negative
16,1.778,0.215,0.764,negative
23,3.286,0.28,0.826,negative
16,1.778,0.278,0.917,negative
18,2,0.241,0.981,negative
31,5.167,0.263,0.812,negative
68,11.333,0.257,0.672,negative
23,3.286,0.323,0.839,negative
41,5.125,0.293,0.872,negative
47,6.714,0.258,0.763,negative
20,3.333,0.333,0.942,negative
13,1.444,0.308,0.88,negative
55,6.111,0.255,0.697,negative
37,6.167,0.306,0.811,negative
9,1.286,0.302,0.841,negative
16,2.286,0.25,1,negative
17,2.429,0.269,0.899,negative
11,1.571,0.338,0.883,negative
25,3.571,0.331,0.891,negative
7,1,0.388,0.939,negative
14,2,0.367,0.786,negative
35,5,0.347,0.771,negative
23,3.833,0.283,0.891,negative
58,9.667,0.276,0.744,negative
11,2.2,0.436,0.891,negative
47,6.714,0.322,0.833,negative
7,1.4,0.457,1,negative
40,5.714,0.339,0.936,negative
8,1,0.234,0.953,negative
11,1.571,0.234,0.675,negative
13,1.857,0.286,0.868,negative
41,4.556,0.201,0.653,negative
18,2.571,0.214,0.929,negative
10,1.429,0.286,0.7,negative
41,5.857,0.321,0.725,negative
45,6.429,0.238,0.67,negative
201,22.333,0.152,0.456,negative
202,22.444,0.087,0.254,negative
9,1.8,0.444,0.956,negative
10,1.429,0.343,0.786,negative
19,2.111,0.275,0.643,negative
19,2.375,0.309,0.98,negative
42,4.667,0.198,0.563,negative
17,2.833,0.294,0.863,negative
7,1.167,0.262,0.929,negative
29,4.833,0.305,0.966,negative
184,20.444,0.206,0.659,negative
35,3.889,0.26,0.924,negative
5,0.833,0.367,0.867,negative
5,0.833,0.333,0.833,negative
32,6.4,0.419,0.981,negative
11,2.2,0.4,0.927,negative
33,6.6,0.315,0.909,negative
42,4.667,0.235,0.603,negative
7,0.778,0.286,0.778,negative
39,4.333,0.256,0.698,negative
8,1.143,0.321,0.786,negative
4,0.571,0.321,0.679,negative
31,4.429,0.313,0.71,negative
54,6.75,0.183,0.734,negative
18,2.571,0.27,0.881,negative
11,1.571,0.221,0.922,negative
54,7.714,0.304,0.876,negative
13,1.857,0.407,0.978,negative
23,3.286,0.447,1,negative
31,4.429,0.304,0.843,negative
23,3.286,0.298,0.876,negative
10,1.667,0.267,0.55,negative
20,3.333,0.258,0.975,negative
3,0.6,0.6,0.933,negative
10,2,0.36,1,negative
21,3,0.286,0.857,negative
29,4.143,0.281,0.783,negative
13,1.857,0.275,0.824,negative
53,5.889,0.218,0.591,negative
44,4.889,0.258,0.604,negative
10,1.25,0.288,0.813,negative
19,2.714,0.263,0.662,negative
20,3.333,0.367,0.967,negative
7,1,0.306,0.592,negative
29,3.222,0.188,0.502,negative
4,0.8,0.45,0.75,negative
44,7.333,0.265,0.811,negative
6,1.2,0.433,0.9,negative
43,8.6,0.33,0.819,negative
398,49.75,0.279,0.664,negative
10,1.667,0.45,0.85,negative
65,65,0.646,1,positive
39,3.9,0.285,0.546,negative
15,1.875,0.467,0.783,negative
20,2.5,0.375,0.725,negative
19,2.375,0.382,0.724,negative
46,5.75,0.34,0.611,negative
9,1.125,0.361,0.792,negative
48,6,0.341,0.737,negative
12,1.714,0.417,0.738,negative
7,1.167,0.524,1,negative
8,1.143,0.464,0.768,negative
9,1.125,0.319,0.639,negative
9,1.286,0.429,0.683,negative
6,0.667,0.407,0.519,positive
25,2.273,0.276,0.629,negative
8,1,0.516,1,negative
10,1.25,0.35,1,negative
36,4,0.349,0.707,negative
12,1.5,0.406,0.885,negative
17,2.429,0.429,0.908,negative
35,3.889,0.362,0.825,negative
34,4.857,0.462,0.941,negative
28,3.5,0.393,0.759,negative
7,1.4,0.543,1,negative
12,1.2,0.208,0.583,positive
18,0.75,0.139,0.377,positive
9,1.125,0.375,0.889,negative
10,1.25,0.475,0.888,negative
13,1.625,0.442,0.981,negative
43,5.375,0.398,0.945,negative
29,2.9,0.307,0.855,negative
12,1.2,0.333,0.867,negative
33,3.3,0.321,0.852,negative
12,1.5,0.427,1,negative
18,2.25,0.424,0.889,negative
25,2.5,0.32,0.648,negative
6,0.75,0.458,0.833,negative
17,1.214,0.113,0.387,positive
22,1,0.107,0.473,positive
4,0.25,0.156,0.531,positive
271,22.583,0.248,0.559,negative
1,0.125,0.875,1,positive
21,1.313,0.095,0.515,positive
9,1.125,0.458,1,negative
43,5.375,0.398,0.939,negative
5,0.385,0.123,0.538,positive
26,3.25,0.423,0.851,negative
16,2,0.477,0.875,negative
10,1.25,0.45,0.988,negative
13,1.625,0.423,0.99,negative
16,2,0.383,0.867,negative
37,4.111,0.3,0.694,negative
30,3.75,0.45,0.788,negative
11,1.571,0.117,0.494,positive
8,1.333,0.542,0.938,negative
48,1.333,0.143,0.437,positive
48,0.873,0.142,0.364,positive
271,22.583,0.246,0.615,negative
48,0.906,0.181,0.374,positive
9,1.125,0.431,0.903,negative
25,3.125,0.385,0.615,negative
42,3.818,0.292,0.76,negative
7,0.875,0.375,1,negative
19,2.375,0.388,1,negative
35,4.375,0.443,0.996,negative
20,2.5,0.506,1,negative
13,1.625,0.49,0.933,negative
23,2.3,0.361,0.774,negative
30,3.75,0.433,1,negative
48,1.655,0.116,0.268,positive
57,5.182,0.295,0.719,negative
59,6.556,0.348,0.829,negative
4,0.5,0.469,0.875,negative
79,7.9,0.324,0.671,negative
36,4.5,0.458,0.958,negative
11,1.1,0.473,1,negative
4,0.148,0.333,0.667,positive
32,2.909,0.301,0.895,negative
27,3,0.333,0.918,negative
12,1.333,0.37,1,negative
17,1.889,0.392,0.935,negative
34,3.091,0.324,0.872,negative
60,6,0.365,0.788,negative
12,1.5,0.417,0.938,negative
42,4.2,0.355,0.862,negative
9,1.125,0.389,0.736,negative
36,4.5,0.458,0.875,negative
23,2.556,0.386,0.894,negative
13,1.625,0.529,0.798,negative
29,2.9,0.383,0.834,negative
22,2.75,0.398,0.784,negative
19,2.375,0.401,0.98,negative
16,2.286,0.446,0.946,negative
39,4.333,0.368,0.729,negative
16,2.667,0.49,0.938,negative
4,0.19,0.31,0.643,positive
47,2.474,0.078,0.112,positive
271,22.583,0.238,0.571,negative
46,6.571,0.177,0.304,positive
9,4.5,0.556,0.556,positive
46,23,0.511,0.554,positive
15,1.364,0.358,0.752,negative
94,8.545,0.28,0.675,negative
141,17.625,0.371,0.977,negative
127,127,0.646,1,positive
13,13,0.846,1,positive
22,2,0.277,0.731,negative
16,1.778,0.375,1,negative
15,1.667,0.378,0.963,negative
46,4.182,0.283,0.84,negative
9,1.125,0.403,0.722,negative
19,1.727,0.378,0.9,negative
32,2.909,0.335,0.994,negative
33,3.3,0.391,0.982,negative
4,0.4,0.35,0.9,negative
17,1.7,0.382,1,negative
6,0.6,0.433,1,negative
129,43,0.305,0.377,positive
7,1.4,0.2,0.314,positive
13,0.619,0.168,0.308,negative
9,1.125,0.319,0.667,negative
13,0.684,0.215,0.551,negative
5,0.385,0.323,0.554,positive
91,10.111,0.32,0.773,negative
6,0.75,0.5,0.854,negative
14,1.75,0.455,1,negative
24,3,0.339,0.917,negative
116,12.889,0.339,0.88,negative
9,0.36,0.187,0.436,positive
9,1,0.358,0.914,negative
12,1.333,0.389,0.852,negative
19,1.9,0.379,0.816,negative
18,2,0.414,0.877,negative
35,4.375,0.382,1,negative
9,1.125,0.431,0.958,negative
25,2.5,0.384,0.836,negative
42,5.25,0.414,0.955,negative
23,2.875,0.359,0.94,negative
10,1.25,0.438,0.988,negative
4,0.5,0.438,0.594,positive
18,3,0.5,0.991,negative
9,0.529,0.209,0.497,positive
15,1.667,0.407,0.844,negative
19,2.375,0.368,0.704,negative
4,0.8,0.45,0.65,positive
39,3.545,0.317,0.711,negative
19,2.375,0.355,0.868,negative
4,0.5,0.375,1,negative
25,2.5,0.392,0.904,negative
27,2.7,0.367,0.744,negative
31,3.875,0.427,0.992,negative
27,4.5,0.475,0.809,negative
4,0.444,0.25,0.75,positive
13,2.167,0.551,0.923,negative
4,0.333,0.292,1,positive
5,0.833,0.367,1,positive
32,3.2,0.334,0.797,negative
6,0.75,0.375,0.792,negative
12,1.5,0.417,0.802,negative
33,3.3,0.318,0.758,negative
23,2.875,0.337,0.783,negative
12,1.5,0.427,0.958,negative
18,1.8,0.389,0.817,negative
18,1.8,0.306,0.617,negative
34,4.25,0.371,0.765,negative
35,3.5,0.337,0.711,negative
13,2.167,0.103,0.449,positive
11,2.75,0.159,0.932,positive
20,2.222,0.367,0.9,negative
36,4.5,0.406,1,negative
30,2.727,0.297,0.6,negative
48,0.889,0.143,0.264,positive
48,0.906,0.157,0.269,positive
48,0.923,0.138,0.248,positive
52,4.727,0.28,0.605,negative
87,7.909,0.253,0.662,negative
59,5.9,0.269,0.69,negative
49,6.125,0.406,0.742,negative
4,0.148,0.38,0.75,positive
26,2.889,0.385,0.85,negative
56,6.222,0.339,0.931,negative
47,5.222,0.362,0.905,negative
9,1,0.346,0.877,negative
4,0.444,0.472,0.861,negative
25,2.273,0.327,0.84,negative
38,4.222,0.371,0.874,negative
10,1.25,0.425,0.925,negative
14,2.333,0.571,0.976,negative
1,0.125,1,1,positive
12,1.091,0.455,0.977,negative
45,4.091,0.267,0.733,negative
43,4.778,0.344,0.982,negative
25,2.778,0.378,0.938,negative
41,4.1,0.339,0.832,negative
30,3,0.427,0.78,negative
15,1.875,0.558,1,negative
12,1.5,0.448,0.885,negative
6,1,0.528,0.917,negative
84,7.636,0.279,0.679,negative
53,6.625,0.33,0.906,negative
56,7,0.424,0.942,negative
12,1.5,0.583,0.896,negative
47,6.714,0.38,0.757,negative
1,0.111,1,1,positive
134,12.182,0.286,0.777,negative
36,3.6,0.367,0.844,negative
79,7.182,0.321,0.713,negative
8,1.333,0.646,0.917,negative
47,7.833,0.202,0.202,positive
19,4.75,0.276,0.382,positive
272,24.727,0.275,0.743,negative
47,47,1,1,positive
86,86,0.93,1,positive
17,17,1,1,positive
19,19,0.737,1,positive
271,22.583,0.259,0.689,negative
21,2.625,0.357,0.911,negative
30,3.75,0.383,0.983,negative
11,1,0.388,0.818,negative
240,26.667,0.259,0.714,negative
11,1.1,0.273,0.927,negative
9,0.9,0.344,0.889,negative
29,2.636,0.298,0.752,negative
28,3.5,0.411,0.996,negative
15,1.875,0.475,0.992,negative
7,0.875,0.411,1,negative
29,3.625,0.453,0.996,negative
8,1,0.391,0.781,negative
22,2.444,0.268,0.596,negative
18,3,0.537,0.981,negative
244,27.111,0.237,0.801,negative
23,3.286,0.447,0.764,negative
12,1.5,0.427,0.719,negative
37,4.625,0.375,0.753,negative
9,1.125,0.458,0.986,negative
34,4.25,0.426,0.985,negative
22,2.2,0.377,0.614,negative
25,3.125,0.365,0.73,negative
272,30.222,0.269,0.763,negative
14,1.75,0.42,0.848,negative
16,2,0.375,0.93,negative
35,3.889,0.33,0.835,negative
15,1.875,0.517,0.867,negative
25,3.125,0.405,0.755,negative
10,1.25,0.4,0.825,negative
12,1.5,0.385,0.802,negative
36,4,0.395,0.673,negative
4,0.667,0.667,1,negative
31,5.167,0.5,1,negative
4,0.667,0.625,0.792,negative
271,27.1,0.239,0.615,negative
272,24.727,0.279,0.681,negative
1,0.111,1,1,negative
25,3.125,0.37,0.73,negative
