Height,Lenght,Eccen,P_black,P_and,Blackand,Wb_trans,Class
8,15,1.875,0.5,1,120,28,negative
11,261,23.727,0.257,0.644,1849,368,negative
8,34,4.25,0.419,0.783,213,57,negative
11,32,2.909,0.332,0.815,287,63,negative
11,12,1.091,0.295,0.818,108,13,negative
9,26,2.889,0.316,0.88,206,40,negative
9,16,1.778,0.326,0.792,114,27,negative
11,36,3.273,0.283,0.79,313,54,negative
9,64,7.111,0.345,0.694,400,87,negative
11,245,22.273,0.252,0.829,2235,365,negative
10,21,2.1,0.3,0.81,170,33,negative
6,14,2.333,0.571,1,84,21,negative
6,36,6,0.509,0.991,214,55,negative
11,51,4.636,0.294,0.824,462,80,negative
11,73,6.636,0.27,0.844,678,107,negative
8,21,2.625,0.411,0.786,132,31,negative
8,27,3.375,0.407,1,216,43,negative
11,60,5.455,0.32,0.608,401,105,negative
8,14,1.75,0.446,1,112,23,negative
11,54,4.909,0.258,0.736,437,77,negative
8,7,0.875,0.446,0.768,43,8,negative
11,91,8.273,0.286,0.597,598,123,negative
8,14,1.75,0.446,0.973,109,22,negative
8,7,0.875,0.429,1,56,11,negative
8,12,1.5,0.458,0.927,89,20,negative
8,21,2.625,0.411,0.994,167,27,negative
8,18,2.25,0.396,0.882,127,31,negative
6,9,1.5,0.556,1,54,14,negative
11,24,2.182,0.307,0.795,210,39,negative
8,39,4.875,0.388,0.933,291,55,negative
8,12,1.5,0.438,1,96,21,negative
10,30,3,0.367,0.783,235,48,negative
8,8,1,0.516,1,64,14,negative
8,12,1.5,0.438,1,96,22,negative
8,26,3.25,0.389,1,208,35,negative
8,16,2,0.438,0.891,114,21,negative
11,52,4.727,0.262,0.858,491,84,negative
11,25,2.273,0.335,0.931,256,36,negative
10,32,3.2,0.338,0.816,261,59,negative
10,26,2.6,0.296,0.942,245,35,negative
10,28,2.8,0.293,0.8,224,41,negative
10,19,1.9,0.337,0.911,173,32,negative
10,18,1.8,0.383,1,180,30,negative
9,43,4.778,0.3,0.713,276,65,negative
5,7,1.4,0.6,0.886,31,6,negative
6,32,5.333,0.417,0.964,185,38,negative
6,8,1.333,0.563,0.958,46,8,negative
11,213,19.364,0.264,0.698,1635,317,negative
10,53,5.3,0.306,0.889,471,88,negative
12,271,22.583,0.232,0.548,1782,390,negative
11,96,8.727,0.277,0.68,718,160,negative
10,30,3,0.307,0.94,282,47,negative
11,76,6.909,0.254,0.688,575,102,negative
8,16,2,0.43,0.859,110,25,negative
9,34,3.778,0.356,0.925,283,53,negative
11,61,5.545,0.294,0.735,493,89,negative
8,19,2.375,0.368,1,152,32,negative
10,50,5,0.268,0.764,382,69,negative
10,27,2.7,0.344,0.804,217,39,negative
10,64,6.4,0.189,0.4,256,57,negative
8,55,6.875,0.225,0.645,284,56,negative
8,8,1,0.344,0.922,59,12,negative
8,12,1.5,0.458,0.938,90,17,negative
8,69,8.625,0.366,0.897,495,104,negative
8,14,1.75,0.42,0.759,85,23,negative
8,22,2.75,0.477,1,176,37,negative
8,21,2.625,0.357,0.964,162,29,negative
8,47,5.875,0.34,0.753,283,64,negative
7,15,2.143,0.448,0.829,87,27,negative
11,15,1.364,0.352,0.891,147,28,negative
10,19,1.9,0.311,1,190,35,negative
10,61,6.1,0.305,0.952,581,94,negative
10,50,5,0.326,0.868,434,81,negative
6,36,6,0.495,0.995,215,56,negative
8,22,2.75,0.403,1,176,35,negative
10,36,3.6,0.319,0.817,294,58,negative
9,26,2.889,0.342,0.821,192,34,negative
9,7,0.778,0.365,0.937,59,13,negative
9,24,2.667,0.352,0.722,156,35,negative
8,22,2.75,0.392,0.915,161,27,negative
8,31,3.875,0.415,1,248,55,negative
11,50,4.545,0.255,0.56,308,74,negative
9,54,6,0.391,0.817,397,96,negative
9,12,1.333,0.491,0.889,96,22,negative
10,41,4.1,0.312,0.734,301,66,negative
10,7,0.7,0.329,0.986,69,13,negative
10,52,5.2,0.319,0.802,417,89,negative
8,8,1,0.438,1,64,12,negative
8,12,1.5,0.396,0.75,72,16,negative
8,7,0.875,0.429,1,56,11,negative
8,12,1.5,0.406,0.896,86,21,negative
8,16,2,0.43,1,128,27,negative
8,16,2,0.461,0.93,119,23,negative
8,26,3.25,0.399,0.976,203,43,negative
10,69,6.9,0.277,0.68,469,103,negative
11,122,11.091,0.256,0.656,881,177,negative
10,145,14.5,0.278,0.724,1050,212,negative
11,272,24.727,0.26,0.681,2038,428,negative
9,49,5.444,0.306,0.773,341,74,negative
8,7,0.875,0.411,1,56,11,negative
9,18,2,0.352,0.901,146,31,negative
8,12,1.5,0.417,0.969,93,19,negative
8,42,5.25,0.369,1,336,67,negative
9,59,6.556,0.335,0.821,436,91,negative
10,54,5.4,0.319,0.824,445,94,negative
11,126,11.455,0.273,0.649,900,180,negative
8,39,4.875,0.282,0.747,233,44,negative
11,44,4,0.314,0.75,363,79,negative
8,7,0.875,0.464,1,56,11,negative
10,37,3.7,0.324,0.692,256,65,negative
8,15,1.875,0.433,0.625,75,19,negative
8,32,4,0.352,0.973,249,50,negative
8,45,5.625,0.367,0.783,282,70,negative
9,41,4.556,0.374,0.881,325,61,negative
10,25,2.5,0.268,0.588,147,35,negative
8,16,2,0.344,0.742,95,29,negative
8,10,1.25,0.375,0.85,68,16,negative
5,9,1.8,0.533,0.911,41,12,negative
12,261,21.75,0.223,0.578,1810,364,negative
11,233,21.182,0.245,0.677,1734,349,negative
7,35,5,0.408,0.755,185,42,negative
8,8,1,0.359,0.766,49,14,negative
8,31,3.875,0.371,0.782,194,46,negative
8,22,2.75,0.392,0.778,137,30,negative
8,33,4.125,0.424,0.867,229,50,negative
11,40,3.636,0.27,0.618,272,66,negative
8,8,1,0.359,0.969,62,15,negative
8,12,1.5,0.438,0.927,89,20,negative
9,20,2.222,0.361,0.872,157,35,negative
8,9,1.125,0.361,0.972,70,15,negative
8,15,1.875,0.375,0.85,102,24,negative
8,12,1.5,0.396,0.927,89,23,negative
10,25,2.5,0.328,0.828,207,40,negative
8,10,1.25,0.4,1,80,17,negative
8,4,0.5,0.438,0.656,21,3,negative
8,12,1.5,0.427,0.875,84,16,negative
10,26,2.6,0.3,0.954,248,49,negative
10,6,0.6,0.333,0.817,49,8,negative
11,57,5.182,0.271,0.577,362,91,negative
8,28,3.5,0.406,0.777,174,44,negative
10,23,2.3,0.248,0.678,156,26,negative
11,32,2.909,0.256,0.534,188,45,negative
8,12,1.5,0.385,0.688,66,19,negative
8,17,2.125,0.36,0.831,113,25,negative
11,42,3.818,0.284,0.654,302,68,negative
8,14,1.75,0.375,0.839,94,20,negative
8,37,4.625,0.375,0.922,273,69,negative
8,26,3.25,0.346,0.909,189,39,negative
8,28,3.5,0.46,0.79,177,40,negative
10,44,4.4,0.314,0.623,274,72,negative
10,12,1.2,0.4,0.933,112,21,negative
10,40,4,0.333,0.783,313,73,negative
6,14,2.333,0.56,0.929,78,21,negative
7,33,4.714,0.385,0.922,213,40,negative
8,9,1.125,0.361,0.722,52,14,negative
8,43,5.375,0.343,0.977,336,69,negative
8,13,1.625,0.413,1,104,22,negative
11,33,3,0.278,0.73,265,48,negative
8,37,4.625,0.392,0.753,223,60,negative
11,29,2.636,0.32,0.618,197,46,negative
8,50,6.25,0.405,0.993,397,84,negative
8,38,4.75,0.408,0.964,293,75,negative
8,26,3.25,0.409,0.933,194,39,negative
10,52,5.2,0.306,0.688,358,81,negative
6,39,6.5,0.393,0.927,217,52,negative
6,7,1.167,0.5,0.976,41,10,negative
12,261,21.75,0.207,0.564,1768,358,negative
11,146,13.273,0.238,0.58,932,209,negative
8,19,2.375,0.355,0.954,145,27,negative
10,35,3.5,0.326,0.583,204,51,negative
8,57,7.125,0.309,0.838,382,78,negative
12,272,22.667,0.219,0.589,1922,397,negative
11,26,2.364,0.262,0.804,230,42,negative
9,10,1.111,0.344,0.789,71,15,negative
9,28,3.111,0.317,0.976,246,41,negative
11,25,2.273,0.298,0.811,223,40,negative
8,8,1,0.391,1,64,10,negative
8,27,3.375,0.343,0.778,168,42,negative
8,8,1,0.406,0.953,61,12,negative
10,16,1.6,0.375,0.769,123,28,negative
10,19,1.9,0.3,0.905,172,34,negative
10,7,0.7,0.357,0.871,61,12,negative
10,13,1.3,0.315,0.915,119,17,negative
5,7,1.4,0.457,1,35,11,negative
6,10,1.667,0.433,0.867,52,14,negative
8,13,1.625,0.365,0.808,84,20,negative
8,42,5.25,0.375,0.899,302,61,negative
10,44,4.4,0.318,0.87,383,80,negative
10,26,2.6,0.273,0.815,212,38,negative
10,30,3,0.3,0.73,219,42,negative
11,27,2.455,0.303,0.596,177,37,negative
8,52,6.5,0.325,0.877,365,77,negative
8,76,9.5,0.314,0.711,432,102,negative
10,15,1.5,0.36,0.813,122,26,negative
10,18,1.8,0.294,0.911,164,28,negative
7,15,2.143,0.4,0.752,79,23,negative
7,35,5,0.339,0.833,204,43,negative
7,26,3.714,0.396,1,182,36,negative
7,8,1.143,0.429,0.964,54,13,negative
8,51,6.375,0.306,0.637,260,64,negative
9,114,12.667,0.272,0.741,760,150,negative
8,9,1.125,0.417,1,72,13,negative
8,29,3.625,0.345,0.681,158,40,negative
9,105,11.667,0.236,0.579,547,117,negative
9,101,11.222,0.256,0.688,625,136,negative
8,64,8,0.385,0.912,467,102,negative
10,32,3.2,0.306,0.788,252,58,negative
7,14,2,0.378,0.969,95,19,negative
10,61,6.1,0.29,0.657,401,82,negative
1,25,25,1,1,25,1,negative
6,21,3.5,0.246,0.254,32,1,positive
7,109,15.571,0.283,0.543,414,112,negative
6,221,36.833,0.268,0.536,711,183,negative
6,146,24.333,0.325,0.691,605,156,negative
5,10,2,0.5,0.84,42,12,negative
8,16,2,0.398,0.695,89,20,positive
8,19,2.375,0.388,0.664,101,27,negative
10,46,4.6,0.278,0.583,268,77,negative
8,25,3.125,0.355,0.78,156,41,negative
8,30,3.75,0.354,0.75,180,42,negative
8,14,1.75,0.482,0.759,85,16,negative
8,5,0.625,0.35,0.6,24,4,negative
68,34,0.5,0.224,0.526,1215,213,positive
67,30,0.448,0.169,0.46,924,150,positive
6,12,2,0.486,0.944,68,16,negative
7,7,1,0.286,0.571,28,4,negative
7,7,1,0.265,0.612,30,4,negative
5,12,2.4,0.6,0.9,54,12,negative
11,261,23.727,0.233,0.637,1830,381,negative
11,154,14,0.187,0.522,884,163,negative
10,155,15.5,0.275,0.803,1244,231,negative
20,39,1.95,0.14,0.405,316,34,positive
6,17,2.833,0.137,0.627,64,5,positive
8,24,3,0.417,0.953,183,42,negative
10,41,4.1,0.276,0.693,284,70,negative
10,15,1.5,0.273,0.947,142,29,negative
10,12,1.2,0.35,0.867,104,18,negative
10,55,5.5,0.295,0.756,416,82,negative
7,6,0.857,0.405,0.929,39,9,negative
7,19,2.714,0.398,0.88,117,29,negative
7,8,1.143,0.482,1,56,12,negative
7,7,1,0.592,0.959,47,12,negative
8,29,3.625,0.444,1,232,48,negative
11,53,4.818,0.249,0.734,428,75,negative
9,19,2.111,0.298,0.737,126,19,negative
10,13,1.3,0.285,0.885,115,23,negative
10,144,14.4,0.256,0.625,900,205,negative
7,12,1.714,0.476,0.81,68,19,negative
7,2,0.286,0.857,0.857,12,1,negative
11,54,4.909,0.273,0.781,464,74,negative
10,51,5.1,0.28,0.814,415,86,negative
10,7,0.7,0.314,0.857,60,12,negative
10,37,3.7,0.327,0.954,353,66,negative
10,11,1.1,0.409,0.955,105,18,negative
2,6,3,0.583,0.917,11,1,negative
8,43,5.375,0.387,0.762,262,69,negative
8,28,3.5,0.442,0.795,178,40,negative
3,3,1,0.778,0.778,7,1,negative
1,7,7,1,1,7,1,negative
5,2,0.4,0.7,0.7,7,1,negative
4,2,0.5,0.875,0.875,7,1,negative
4,3,0.75,0.667,0.917,11,3,negative
7,2,0.286,0.714,0.714,10,1,negative
10,72,7.2,0.292,0.667,480,116,negative
10,150,15,0.252,0.585,878,183,negative
10,9,0.9,0.333,0.878,79,12,negative
10,34,3.4,0.321,0.853,290,54,negative
10,10,1,0.35,0.89,89,18,negative
8,9,1.125,0.375,0.681,49,16,negative
7,15,2.143,0.438,0.895,94,20,negative
10,30,3,0.33,0.843,253,52,negative
9,20,2.222,0.322,0.717,129,27,negative
9,13,1.444,0.368,1,117,16,negative
7,10,1.429,0.386,0.914,64,13,negative
7,20,2.857,0.4,1,140,30,negative
6,13,2.167,0.436,0.756,59,15,negative
5,15,3,0.507,0.787,59,12,negative
5,12,2.4,0.467,0.6,36,6,negative
5,13,2.6,0.462,0.677,44,7,negative
6,49,8.167,0.32,0.527,155,32,negative
6,17,2.833,0.451,0.745,76,18,negative
9,41,4.556,0.336,0.694,256,65,negative
9,14,1.556,0.278,1,126,17,negative
8,4,0.5,0.469,0.719,23,4,negative
8,39,4.875,0.378,0.962,300,72,negative
10,23,2.3,0.27,0.648,149,31,negative
8,16,2,0.328,0.961,123,22,negative
8,39,4.875,0.362,0.881,275,65,negative
5,20,4,0.47,0.73,73,20,negative
4,10,2.5,0.5,0.9,36,5,negative
4,10,2.5,0.6,0.8,32,6,negative
5,13,2.6,0.554,0.8,52,14,negative
5,14,2.8,0.329,0.5,35,9,negative
7,20,2.857,0.421,0.829,116,24,negative
5,17,3.4,0.576,0.953,81,21,negative
10,145,14.5,0.268,0.747,1083,213,negative
10,62,6.2,0.265,0.656,407,75,negative
8,16,2,0.328,0.969,124,22,negative
8,24,3,0.297,0.865,166,31,negative
6,9,1.5,0.37,0.722,39,10,negative
10,261,26.1,0.259,0.767,2001,388,negative
8,20,2.5,0.394,0.863,138,30,negative
10,39,3.9,0.295,0.908,354,55,negative
10,61,6.1,0.333,0.954,582,110,negative
2,14,7,0.464,0.536,15,1,positive
9,42,4.667,0.312,0.889,336,60,negative
37,20,0.541,0.131,0.193,143,23,positive
8,32,4,0.375,0.801,205,47,negative
6,14,2.333,0.512,1,84,14,negative
8,23,2.875,0.348,0.723,133,32,negative
34,25,0.735,0.256,0.534,454,106,positive
34,27,0.794,0.219,0.554,509,65,positive
36,43,1.194,0.117,0.183,283,59,positive
9,40,4.444,0.344,0.683,246,60,negative
8,14,1.75,0.411,0.991,111,18,negative
8,32,4,0.395,0.773,198,48,negative
10,31,3.1,0.316,0.752,233,59,negative
8,33,4.125,0.375,0.981,259,62,negative
8,20,2.5,0.406,0.906,145,35,negative
8,12,1.5,0.406,0.917,88,25,negative
16,29,1.813,0.144,0.496,230,26,positive
7,34,4.857,0.403,0.849,202,53,negative
11,109,9.909,0.234,0.62,743,146,negative
10,103,10.3,0.25,0.61,628,146,negative
9,91,10.111,0.161,0.44,360,71,negative
9,9,1,0.358,0.728,59,13,negative
8,12,1.5,0.375,0.927,89,20,negative
8,40,5,0.35,0.906,290,62,negative
10,57,5.7,0.326,0.695,396,94,negative
10,28,2.8,0.343,0.975,273,45,negative
10,8,0.8,0.313,0.9,72,16,negative
10,15,1.5,0.313,0.78,117,21,negative
6,3,0.5,0.556,0.556,10,1,negative
7,20,2.857,0.493,0.979,137,38,negative
7,20,2.857,0.457,0.857,120,26,negative
6,8,1.333,0.604,0.896,43,9,negative
5,3,0.6,0.6,0.6,9,1,negative
9,2,0.222,0.611,0.722,13,1,positive
5,2,0.4,0.7,0.7,7,1,negative
11,221,20.091,0.25,0.544,1323,312,negative
7,35,5,0.445,0.771,189,44,negative
10,33,3.3,0.352,0.745,246,56,negative
8,7,0.875,0.5,0.786,44,9,negative
8,12,1.5,0.531,0.813,78,18,negative
8,16,2,0.422,0.852,109,30,negative
7,20,2.857,0.429,0.993,139,30,negative
7,4,0.571,0.5,1,28,6,negative
7,35,5,0.494,1,245,55,negative
9,33,3.667,0.357,0.63,187,43,negative
6,30,5,0.45,0.833,150,26,negative
6,26,4.333,0.519,0.955,149,36,negative
5,26,5.2,0.492,0.785,102,27,negative
5,22,4.4,0.536,0.909,100,27,negative
6,15,2.5,0.467,0.711,64,13,negative
5,19,3.8,0.505,0.8,76,22,negative
6,37,6.167,0.392,0.757,168,39,negative
5,11,2.2,0.6,0.818,45,12,negative
5,13,2.6,0.554,0.8,52,12,negative
5,14,2.8,0.443,0.743,52,14,negative
9,25,2.778,0.329,0.502,113,29,negative
8,10,1.25,0.35,0.763,61,16,negative
11,54,4.909,0.316,0.697,414,91,negative
10,29,2.9,0.303,0.731,212,42,negative
10,16,1.6,0.288,0.744,119,21,negative
10,39,3.9,0.344,0.59,230,48,negative
8,14,1.75,0.482,0.679,76,18,negative
8,12,1.5,0.458,0.667,64,12,negative
8,35,4.375,0.425,0.843,236,57,negative
8,9,1.125,0.361,0.819,59,15,negative
8,22,2.75,0.295,0.483,85,20,negative
8,36,4.5,0.299,0.531,153,39,negative
6,16,2.667,0.281,0.542,52,11,negative
8,31,3.875,0.351,0.839,208,44,negative
8,45,5.625,0.297,0.564,203,57,negative
5,23,4.6,0.504,0.783,90,24,negative
8,34,4.25,0.36,0.717,195,52,negative
8,12,1.5,0.396,0.99,95,20,negative
10,28,2.8,0.311,0.957,268,49,negative
10,41,4.1,0.356,0.956,392,68,negative
8,15,1.875,0.475,1,120,24,negative
8,12,1.5,0.438,1,96,20,negative
10,9,0.9,0.356,0.933,84,20,negative
10,36,3.6,0.367,0.789,284,58,negative
6,26,4.333,0.423,0.769,120,28,negative
4,24,6,0.573,0.958,92,27,negative
5,30,6,0.587,0.96,144,36,negative
8,71,8.875,0.289,0.574,326,100,negative
10,16,1.6,0.444,1,160,32,negative
10,14,1.4,0.371,0.886,124,18,negative
10,16,1.6,0.3,1,160,26,negative
10,15,1.5,0.3,1,150,24,negative
10,7,0.7,0.357,0.757,53,9,negative
10,74,7.4,0.303,0.708,524,103,negative
8,30,3.75,0.296,0.863,207,34,negative
10,51,5.1,0.337,0.773,394,81,negative
10,79,7.9,0.244,0.742,586,108,negative
11,127,11.545,0.266,0.686,959,166,negative
10,20,2,0.32,0.61,122,30,negative
7,20,2.857,0.464,0.9,126,24,negative
9,18,2,0.321,0.654,106,23,negative
10,35,3.5,0.311,0.72,252,58,negative
8,19,2.375,0.434,0.664,101,22,negative
11,64,5.818,0.25,0.597,420,88,negative
10,33,3.3,0.342,0.927,306,68,negative
10,16,1.6,0.338,0.888,142,26,negative
8,14,1.75,0.438,0.768,86,22,negative
10,76,7.6,0.322,0.689,524,123,negative
8,9,1.125,0.375,0.736,53,11,negative
8,21,2.625,0.435,0.917,154,31,negative
7,5,0.714,0.486,0.943,33,4,negative
7,7,1,0.347,0.633,31,6,negative
7,25,3.571,0.354,0.606,106,29,negative
9,53,5.889,0.335,0.602,287,66,negative
5,5,1,0.52,1,25,6,negative
5,14,2.8,0.557,0.871,61,14,negative
6,12,2,0.375,0.958,69,14,negative
5,20,4,0.54,0.95,95,23,negative
11,19,1.727,0.306,0.789,165,26,negative
8,59,7.375,0.307,0.775,366,79,negative
8,5,0.625,0.375,0.95,38,7,negative
8,6,0.75,0.333,0.979,47,9,negative
8,8,1,0.469,0.844,54,11,negative
10,41,4.1,0.302,0.69,283,60,negative
8,29,3.625,0.401,0.884,205,39,negative
8,19,2.375,0.454,1,152,32,negative
8,33,4.125,0.371,0.795,210,51,negative
7,6,0.857,0.5,1,42,9,negative
8,92,11.5,0.359,0.913,672,151,negative
5,10,2,0.56,0.96,48,12,negative
10,228,22.8,0.26,0.61,1390,316,negative
10,18,1.8,0.311,0.706,127,29,negative
10,12,1.2,0.333,0.958,115,22,negative
10,18,1.8,0.294,0.883,159,27,negative
10,23,2.3,0.348,0.891,205,36,negative
8,24,3,0.318,0.974,187,39,negative
10,66,6.6,0.27,0.638,421,95,negative
7,62,8.857,0.392,0.871,378,91,negative
8,14,1.75,0.393,0.705,79,19,negative
5,7,1.4,0.571,1,35,8,negative
11,262,23.818,0.259,0.788,2271,386,negative
8,15,1.875,0.458,0.908,109,22,negative
10,25,2.5,0.34,0.816,204,45,negative
8,7,0.875,0.482,0.946,53,10,negative
8,12,1.5,0.385,0.896,86,22,negative
8,13,1.625,0.471,1,104,27,negative
8,6,0.75,0.375,0.896,43,10,negative
10,30,3,0.357,0.87,261,50,negative
10,10,1,0.34,0.93,93,18,negative
8,12,1.5,0.396,0.969,93,21,negative
8,20,2.5,0.394,0.944,151,28,negative
8,16,2,0.383,0.742,95,21,negative
6,18,3,0.491,0.88,95,26,negative
6,4,0.667,0.583,1,24,3,negative
8,25,3.125,0.405,0.865,173,44,negative
8,24,3,0.318,0.688,132,23,negative
8,19,2.375,0.395,0.704,107,31,negative
8,8,1,0.438,0.813,52,6,negative
10,262,26.2,0.288,0.742,1945,421,negative
8,39,4.875,0.423,0.955,298,72,negative
10,23,2.3,0.287,0.617,142,30,negative
7,27,3.857,0.402,0.746,141,42,negative
5,27,5.4,0.607,0.993,134,35,negative
7,20,2.857,0.436,0.736,103,26,negative
8,23,2.875,0.364,0.967,178,33,negative
8,20,2.5,0.425,1,160,30,negative
8,35,4.375,0.357,0.921,258,61,negative
10,30,3,0.333,0.93,279,56,negative
10,19,1.9,0.326,0.768,146,39,negative
10,46,4.6,0.317,0.683,314,79,negative
10,28,2.8,0.336,0.85,238,56,negative
8,41,5.125,0.378,0.945,310,77,negative
8,14,1.75,0.429,1,112,20,negative
10,33,3.3,0.345,0.779,257,60,negative
8,40,5,0.372,0.919,294,68,negative
7,20,2.857,0.464,1,140,29,negative
10,45,4.5,0.296,0.558,251,59,negative
6,18,3,0.444,0.991,107,28,negative
6,14,2.333,0.536,1,84,22,negative
5,4,0.8,0.7,1,20,6,negative
9,14,1.556,0.333,0.897,113,17,negative
8,60,7.5,0.335,0.915,439,87,negative
8,5,0.625,0.4,1,40,6,negative
10,41,4.1,0.278,0.632,259,59,negative
8,14,1.75,0.509,0.768,86,19,negative
8,23,2.875,0.451,0.832,153,40,negative
8,9,1.125,0.361,0.903,65,16,negative
8,12,1.5,0.385,0.948,91,25,negative
8,20,2.5,0.363,0.931,149,30,negative
8,16,2,0.359,0.781,100,23,negative
8,12,1.5,0.396,0.969,93,23,negative
8,14,1.75,0.384,0.795,89,25,negative
8,33,4.125,0.345,0.886,234,58,negative
10,46,4.6,0.3,0.604,278,66,negative
6,4,0.667,0.667,1,24,4,negative
8,49,6.125,0.413,0.76,298,84,negative
8,34,4.25,0.357,0.75,204,52,negative
6,10,1.667,0.483,0.933,56,14,negative
5,14,2.8,0.586,0.943,66,18,negative
11,261,23.727,0.243,0.524,1505,361,negative
10,262,26.2,0.274,0.757,1984,399,negative
10,260,26,0.282,0.737,1916,412,negative
10,262,26.2,0.29,0.826,2163,432,negative
8,11,1.375,0.477,0.966,85,21,negative
8,37,4.625,0.334,0.831,246,53,negative
8,24,3,0.26,0.672,129,27,negative
8,19,2.375,0.421,0.974,148,35,negative
8,33,4.125,0.326,0.848,224,43,negative
10,30,3,0.363,0.71,213,45,negative
8,7,0.875,0.482,0.946,53,11,negative
7,41,5.857,0.355,0.857,246,55,negative
8,30,3.75,0.342,0.896,215,41,negative
10,262,26.2,0.273,0.703,1841,391,negative
8,53,6.625,0.347,0.767,325,76,negative
8,30,3.75,0.363,0.85,204,38,negative
8,18,2.25,0.438,0.979,141,23,negative
9,52,5.778,0.286,0.652,305,73,negative
10,29,2.9,0.29,0.803,233,46,negative
8,13,1.625,0.356,0.942,98,21,negative
8,9,1.125,0.361,0.792,57,12,negative
8,12,1.5,0.396,0.99,95,20,negative
10,22,2.2,0.309,0.582,128,29,negative
9,89,9.889,0.3,0.559,448,110,negative
10,26,2.6,0.35,0.819,213,39,negative
9,18,2,0.327,0.914,148,28,negative
9,4,0.444,0.444,1,36,2,negative
10,58,5.8,0.3,0.84,487,80,negative
8,18,2.25,0.389,0.931,134,25,negative
8,61,7.625,0.342,0.875,427,86,negative
8,19,2.375,0.428,0.961,146,37,negative
8,34,4.25,0.379,0.971,264,56,negative
10,27,2.7,0.367,0.83,224,53,negative
10,38,3.8,0.308,0.632,240,55,negative
8,12,1.5,0.479,1,96,21,negative
8,20,2.5,0.413,0.981,157,32,negative
8,16,2,0.422,0.992,127,29,negative
8,10,1.25,0.325,0.913,73,17,negative
8,22,2.75,0.398,0.818,144,34,negative
8,31,3.875,0.375,0.722,179,46,negative
10,34,3.4,0.303,0.815,277,56,negative
9,32,3.556,0.33,0.889,256,53,negative
8,25,3.125,0.415,1,200,44,negative
8,23,2.875,0.462,1,184,45,negative
8,12,1.5,0.417,0.927,89,23,negative
10,26,2.6,0.354,0.769,200,44,negative
11,261,23.727,0.251,0.661,1898,361,negative
11,175,15.909,0.21,0.469,902,205,negative
8,40,5,0.363,0.806,258,69,negative
8,70,8.75,0.279,0.727,407,93,negative
10,262,26.2,0.281,0.691,1811,390,negative
8,23,2.875,0.375,0.88,162,33,negative
8,39,4.875,0.369,0.99,309,56,negative
8,9,1.125,0.431,1,72,13,negative
8,10,1.25,0.363,0.913,73,9,negative
10,40,4,0.295,0.68,272,62,negative
7,14,2,0.5,1,98,18,negative
9,30,3.333,0.304,0.711,192,44,negative
7,25,3.571,0.434,1,175,42,negative
5,26,5.2,0.523,0.985,128,36,negative
8,12,1.5,0.427,0.906,87,19,negative
10,53,5.3,0.294,0.908,481,89,negative
10,99,9.9,0.264,0.774,766,136,negative
10,31,3.1,0.339,0.713,221,49,negative
10,9,0.9,0.3,0.778,70,12,negative
10,54,5.4,0.306,0.689,372,85,negative
8,50,6.25,0.378,0.915,366,89,negative
8,15,1.875,0.417,0.925,111,23,negative
8,35,4.375,0.393,0.918,257,56,negative
10,34,3.4,0.279,0.8,272,51,negative
8,16,2,0.344,0.898,115,23,negative
7,12,1.714,0.393,0.69,58,14,negative
8,24,3,0.438,0.839,161,43,negative
8,17,2.125,0.382,0.86,117,21,negative
8,19,2.375,0.388,0.809,123,30,negative
8,24,3,0.323,0.688,132,28,negative
10,31,3.1,0.329,0.952,295,49,negative
8,80,10,0.347,0.933,597,127,negative
9,15,1.667,0.244,0.83,112,21,negative
11,74,6.727,0.247,0.695,566,102,negative
10,39,3.9,0.308,0.721,281,71,negative
10,73,7.3,0.273,0.79,577,108,negative
8,33,4.125,0.356,0.705,186,47,negative
5,8,1.6,0.675,0.975,39,9,negative
6,4,0.667,0.583,0.792,19,4,negative
10,251,25.1,0.281,0.708,1776,398,negative
10,52,5.2,0.298,0.752,391,74,negative
8,25,3.125,0.31,0.67,134,38,negative
8,9,1.125,0.375,0.986,71,13,negative
8,35,4.375,0.396,0.986,276,59,negative
8,17,2.125,0.419,0.956,130,27,negative
7,18,2.571,0.357,0.865,109,21,negative
7,38,5.429,0.353,0.902,240,46,negative
6,4,0.667,0.542,1,24,7,negative
7,21,3,0.313,0.667,98,22,negative
10,242,24.2,0.26,0.579,1401,303,negative
10,63,6.3,0.298,0.795,501,109,negative
9,29,3.222,0.318,0.893,233,48,negative
8,5,0.625,0.425,1,40,11,negative
8,25,3.125,0.335,0.77,154,40,negative
8,9,1.125,0.389,0.708,51,12,negative
9,56,6.222,0.343,0.706,356,88,negative
7,14,2,0.286,1,98,15,negative
6,7,1.167,0.476,0.976,41,9,negative
6,23,3.833,0.377,0.862,119,22,negative
10,261,26.1,0.269,0.713,1860,388,negative
11,262,23.818,0.242,0.618,1781,364,negative
11,261,23.727,0.246,0.638,1833,366,negative
8,7,0.875,0.429,1,56,9,negative
8,14,1.75,0.339,0.884,99,22,negative
10,52,5.2,0.294,0.675,351,72,negative
7,18,2.571,0.468,1,126,21,negative
8,17,2.125,0.441,0.978,133,36,negative
8,12,1.5,0.458,0.865,83,21,negative
8,23,2.875,0.353,0.826,152,34,negative
10,31,3.1,0.284,0.835,259,52,negative
8,13,1.625,0.452,0.971,101,24,negative
8,4,0.5,0.594,1,32,7,negative
8,13,1.625,0.423,0.923,96,25,negative
8,12,1.5,0.521,0.958,92,20,negative
10,41,4.1,0.324,0.81,332,71,negative
9,9,1,0.296,0.901,73,15,negative
