Lenght,P_black,P_and,Class
10,0.329,0.814,negative
54,0.286,0.878,negative
16,0.174,0.819,negative
8,0.313,0.875,negative
11,0.299,0.987,negative
18,0.302,0.984,negative
53,0.252,0.677,negative
53,0.299,0.927,negative
107,0.217,0.842,negative
17,0.228,0.882,negative
32,0.207,0.797,negative
33,0.303,0.874,negative
16,0.208,0.715,negative
11,0.283,0.939,negative
25,0.249,0.911,negative
14,0.238,0.897,negative
14,0.337,0.898,negative
10,0.314,1,negative
50,0.22,0.691,negative
16,0.215,0.764,negative
23,0.28,0.826,negative
16,0.278,0.917,negative
18,0.241,0.981,negative
31,0.263,0.812,negative
68,0.257,0.672,negative
23,0.323,0.839,negative
41,0.293,0.872,negative
47,0.258,0.763,negative
20,0.333,0.942,negative
13,0.308,0.88,negative
55,0.255,0.697,negative
37,0.306,0.811,negative
9,0.302,0.841,negative
16,0.25,1,negative
17,0.269,0.899,negative
11,0.338,0.883,negative
25,0.331,0.891,negative
7,0.388,0.939,negative
14,0.367,0.786,negative
35,0.347,0.771,negative
23,0.283,0.891,negative
58,0.276,0.744,negative
11,0.436,0.891,negative
47,0.322,0.833,negative
7,0.457,1,negative
40,0.339,0.936,negative
8,0.234,0.953,negative
11,0.234,0.675,negative
13,0.286,0.868,negative
41,0.201,0.653,negative
18,0.214,0.929,negative
10,0.286,0.7,negative
41,0.321,0.725,negative
45,0.238,0.67,negative
201,0.152,0.456,negative
202,0.087,0.254,negative
9,0.444,0.956,negative
10,0.343,0.786,negative
19,0.275,0.643,negative
19,0.309,0.98,negative
42,0.198,0.563,negative
17,0.294,0.863,negative
7,0.262,0.929,negative
29,0.305,0.966,negative
184,0.206,0.659,negative
35,0.26,0.924,negative
5,0.367,0.867,negative
5,0.333,0.833,negative
32,0.419,0.981,negative
11,0.4,0.927,negative
33,0.315,0.909,negative
42,0.235,0.603,negative
7,0.286,0.778,negative
39,0.256,0.698,negative
8,0.321,0.786,negative
4,0.321,0.679,negative
31,0.313,0.71,negative
54,0.183,0.734,negative
18,0.27,0.881,negative
11,0.221,0.922,negative
54,0.304,0.876,negative
13,0.407,0.978,negative
23,0.447,1,negative
31,0.304,0.843,negative
23,0.298,0.876,negative
10,0.267,0.55,negative
20,0.258,0.975,negative
3,0.6,0.933,negative
10,0.36,1,negative
21,0.286,0.857,negative
29,0.281,0.783,negative
13,0.275,0.824,negative
53,0.218,0.591,negative
44,0.258,0.604,negative
10,0.288,0.813,negative
19,0.263,0.662,negative
20,0.367,0.967,negative
7,0.306,0.592,negative
29,0.188,0.502,negative
4,0.45,0.75,negative
44,0.265,0.811,negative
6,0.433,0.9,negative
43,0.33,0.819,negative
398,0.279,0.664,negative
10,0.45,0.85,negative
65,0.646,1,positive
39,0.285,0.546,negative
15,0.467,0.783,negative
20,0.375,0.725,negative
19,0.382,0.724,negative
46,0.34,0.611,negative
9,0.361,0.792,negative
48,0.341,0.737,negative
12,0.417,0.738,negative
7,0.524,1,negative
8,0.464,0.768,negative
9,0.319,0.639,negative
9,0.429,0.683,negative
6,0.407,0.519,positive
25,0.276,0.629,negative
8,0.516,1,negative
10,0.35,1,negative
36,0.349,0.707,negative
12,0.406,0.885,negative
17,0.429,0.908,negative
35,0.362,0.825,negative
34,0.462,0.941,negative
28,0.393,0.759,negative
7,0.543,1,negative
12,0.208,0.583,positive
18,0.139,0.377,positive
9,0.375,0.889,negative
10,0.475,0.888,negative
13,0.442,0.981,negative
43,0.398,0.945,negative
29,0.307,0.855,negative
12,0.333,0.867,negative
33,0.321,0.852,negative
12,0.427,1,negative
18,0.424,0.889,negative
25,0.32,0.648,negative
6,0.458,0.833,negative
17,0.113,0.387,positive
22,0.107,0.473,positive
4,0.156,0.531,positive
271,0.248,0.559,negative
1,0.875,1,positive
21,0.095,0.515,positive
9,0.458,1,negative
43,0.398,0.939,negative
5,0.123,0.538,positive
26,0.423,0.851,negative
16,0.477,0.875,negative
10,0.45,0.988,negative
13,0.423,0.99,negative
16,0.383,0.867,negative
37,0.3,0.694,negative
30,0.45,0.788,negative
11,0.117,0.494,positive
8,0.542,0.938,negative
48,0.143,0.437,positive
48,0.142,0.364,positive
271,0.246,0.615,negative
48,0.181,0.374,positive
9,0.431,0.903,negative
25,0.385,0.615,negative
42,0.292,0.76,negative
7,0.375,1,negative
19,0.388,1,negative
35,0.443,0.996,negative
20,0.506,1,negative
13,0.49,0.933,negative
23,0.361,0.774,negative
30,0.433,1,negative
48,0.116,0.268,positive
57,0.295,0.719,negative
59,0.348,0.829,negative
4,0.469,0.875,negative
79,0.324,0.671,negative
36,0.458,0.958,negative
11,0.473,1,negative
4,0.333,0.667,positive
32,0.301,0.895,negative
27,0.333,0.918,negative
12,0.37,1,negative
17,0.392,0.935,negative
34,0.324,0.872,negative
60,0.365,0.788,negative
12,0.417,0.938,negative
42,0.355,0.862,negative
9,0.389,0.736,negative
36,0.458,0.875,negative
23,0.386,0.894,negative
13,0.529,0.798,negative
29,0.383,0.834,negative
22,0.398,0.784,negative
19,0.401,0.98,negative
16,0.446,0.946,negative
39,0.368,0.729,negative
16,0.49,0.938,negative
4,0.31,0.643,positive
47,0.078,0.112,positive
271,0.238,0.571,negative
46,0.177,0.304,positive
9,0.556,0.556,positive
46,0.511,0.554,positive
15,0.358,0.752,negative
94,0.28,0.675,negative
141,0.371,0.977,negative
127,0.646,1,positive
13,0.846,1,positive
22,0.277,0.731,negative
16,0.375,1,negative
15,0.378,0.963,negative
46,0.283,0.84,negative
9,0.403,0.722,negative
19,0.378,0.9,negative
32,0.335,0.994,negative
33,0.391,0.982,negative
4,0.35,0.9,negative
17,0.382,1,negative
6,0.433,1,negative
129,0.305,0.377,positive
7,0.2,0.314,positive
13,0.168,0.308,negative
9,0.319,0.667,negative
13,0.215,0.551,negative
5,0.323,0.554,positive
91,0.32,0.773,negative
6,0.5,0.854,negative
14,0.455,1,negative
24,0.339,0.917,negative
116,0.339,0.88,negative
9,0.187,0.436,positive
9,0.358,0.914,negative
12,0.389,0.852,negative
19,0.379,0.816,negative
18,0.414,0.877,negative
35,0.382,1,negative
9,0.431,0.958,negative
25,0.384,0.836,negative
42,0.414,0.955,negative
23,0.359,0.94,negative
10,0.438,0.988,negative
4,0.438,0.594,positive
18,0.5,0.991,negative
9,0.209,0.497,positive
15,0.407,0.844,negative
19,0.368,0.704,negative
4,0.45,0.65,positive
39,0.317,0.711,negative
19,0.355,0.868,negative
4,0.375,1,negative
25,0.392,0.904,negative
27,0.367,0.744,negative
31,0.427,0.992,negative
27,0.475,0.809,negative
4,0.25,0.75,positive
13,0.551,0.923,negative
4,0.292,1,positive
5,0.367,1,positive
32,0.334,0.797,negative
6,0.375,0.792,negative
12,0.417,0.802,negative
33,0.318,0.758,negative
23,0.337,0.783,negative
12,0.427,0.958,negative
18,0.389,0.817,negative
18,0.306,0.617,negative
34,0.371,0.765,negative
35,0.337,0.711,negative
13,0.103,0.449,positive
11,0.159,0.932,positive
20,0.367,0.9,negative
36,0.406,1,negative
30,0.297,0.6,negative
48,0.143,0.264,positive
48,0.157,0.269,positive
48,0.138,0.248,positive
52,0.28,0.605,negative
87,0.253,0.662,negative
59,0.269,0.69,negative
49,0.406,0.742,negative
4,0.38,0.75,positive
26,0.385,0.85,negative
56,0.339,0.931,negative
47,0.362,0.905,negative
9,0.346,0.877,negative
4,0.472,0.861,negative
25,0.327,0.84,negative
38,0.371,0.874,negative
10,0.425,0.925,negative
14,0.571,0.976,negative
1,1,1,positive
12,0.455,0.977,negative
45,0.267,0.733,negative
43,0.344,0.982,negative
25,0.378,0.938,negative
41,0.339,0.832,negative
30,0.427,0.78,negative
15,0.558,1,negative
12,0.448,0.885,negative
6,0.528,0.917,negative
84,0.279,0.679,negative
53,0.33,0.906,negative
56,0.424,0.942,negative
12,0.583,0.896,negative
47,0.38,0.757,negative
1,1,1,positive
134,0.286,0.777,negative
36,0.367,0.844,negative
79,0.321,0.713,negative
8,0.646,0.917,negative
47,0.202,0.202,positive
19,0.276,0.382,positive
272,0.275,0.743,negative
47,1,1,positive
86,0.93,1,positive
17,1,1,positive
19,0.737,1,positive
271,0.259,0.689,negative
21,0.357,0.911,negative
30,0.383,0.983,negative
11,0.388,0.818,negative
240,0.259,0.714,negative
11,0.273,0.927,negative
9,0.344,0.889,negative
29,0.298,0.752,negative
28,0.411,0.996,negative
15,0.475,0.992,negative
7,0.411,1,negative
29,0.453,0.996,negative
8,0.391,0.781,negative
22,0.268,0.596,negative
18,0.537,0.981,negative
244,0.237,0.801,negative
23,0.447,0.764,negative
12,0.427,0.719,negative
37,0.375,0.753,negative
9,0.458,0.986,negative
34,0.426,0.985,negative
22,0.377,0.614,negative
25,0.365,0.73,negative
272,0.269,0.763,negative
14,0.42,0.848,negative
16,0.375,0.93,negative
35,0.33,0.835,negative
15,0.517,0.867,negative
25,0.405,0.755,negative
10,0.4,0.825,negative
12,0.385,0.802,negative
36,0.395,0.673,negative
4,0.667,1,negative
31,0.5,1,negative
4,0.625,0.792,negative
271,0.239,0.615,negative
272,0.279,0.681,negative
1,1,1,negative
25,0.37,0.73,negative
32,0.344,0.767,negative
21,0.435,1,negative
10,0.425,0.913,negative
31,0.411,0.742,negative
49,0.441,0.997,negative
23,0.38,0.989,negative
18,0.403,0.931,negative
12,0.464,1,negative
27,0.358,0.856,negative
14,0.464,0.768,negative
12,0.375,0.792,negative
32,0.367,0.688,negative
25,0.32,0.707,negative
86,0.297,0.748,negative
12,0.427,0.927,negative
17,0.429,0.748,negative
98,0.276,0.602,negative
50,0.428,0.74,negative
28,0.375,0.657,negative
37,0.333,0.655,negative
51,0.37,0.743,negative
6,0.396,0.813,negative
8,0.484,1,negative
5,0.45,1,negative
44,0.308,0.818,negative
38,0.401,0.747,negative
25,0.36,0.909,negative
51,0.308,0.841,negative
35,0.381,0.806,negative
12,0.51,0.844,negative
35,0.418,0.929,negative
38,0.414,0.846,negative
25,0.515,0.815,negative
7,0.375,1,negative
4,0.406,1,negative
14,0.357,0.67,negative
16,0.382,0.743,negative
31,0.323,0.83,negative
20,0.385,0.87,negative
19,0.392,0.83,negative
25,0.408,0.68,negative
16,0.453,0.68,negative
52,0.359,0.827,negative
36,0.427,1,negative
24,0.406,0.818,negative
17,0.463,0.735,negative
13,0.404,0.99,negative
53,0.344,0.884,negative
47,0.338,0.698,negative
31,0.461,0.991,negative
5,0.514,0.8,negative
18,0.689,1,negative
4,0.7,0.8,negative
150,0.186,0.533,negative
202,0.313,0.689,negative
272,0.249,0.602,negative
185,0.295,0.826,negative
82,0.402,0.991,negative
13,0.35,0.783,negative
12,0.479,0.938,negative
38,0.461,0.803,negative
10,0.388,0.913,negative
12,0.448,0.896,negative
13,0.385,0.823,negative
16,0.398,0.828,negative
16,0.516,1,negative
9,0.528,0.958,negative
4,0.469,0.719,negative
18,0.361,0.944,negative
26,0.445,0.978,negative
7,0.657,0.886,negative
4,0.65,0.85,negative
271,0.278,0.728,negative
240,0.27,0.634,negative
26,0.37,0.654,negative
272,0.281,0.68,negative
17,0.451,0.941,negative
17,0.346,1,negative
48,0.36,0.863,negative
47,0.336,0.891,negative
8,0.5,1,negative
27,0.435,0.963,negative
20,0.35,0.728,negative
13,0.394,0.913,negative
34,0.386,0.706,negative
15,0.433,0.975,negative
26,0.394,1,negative
67,0.321,0.81,negative
23,0.362,0.831,negative
36,0.427,0.924,negative
12,0.469,0.948,negative
25,0.392,0.808,negative
272,0.283,0.703,negative
33,0.52,0.995,negative
20,0.361,0.7,negative
29,0.414,0.966,negative
19,0.386,0.912,negative
20,0.456,1,negative
18,0.403,0.896,negative
7,0.411,0.875,negative
13,0.49,0.913,negative
34,0.356,0.744,negative
15,0.5,1,negative
261,0.257,0.644,negative
34,0.419,0.783,negative
32,0.332,0.815,negative
12,0.295,0.818,negative
26,0.316,0.88,negative
16,0.326,0.792,negative
36,0.283,0.79,negative
64,0.345,0.694,negative
245,0.252,0.829,negative
21,0.3,0.81,negative
14,0.571,1,negative
36,0.509,0.991,negative
51,0.294,0.824,negative
73,0.27,0.844,negative
21,0.411,0.786,negative
27,0.407,1,negative
60,0.32,0.608,negative
14,0.446,1,negative
54,0.258,0.736,negative
7,0.446,0.768,negative
91,0.286,0.597,negative
14,0.446,0.973,negative
7,0.429,1,negative
12,0.458,0.927,negative
21,0.411,0.994,negative
18,0.396,0.882,negative
9,0.556,1,negative
24,0.307,0.795,negative
39,0.388,0.933,negative
12,0.438,1,negative
30,0.367,0.783,negative
8,0.516,1,negative
12,0.438,1,negative
26,0.389,1,negative
16,0.438,0.891,negative
52,0.262,0.858,negative
25,0.335,0.931,negative
32,0.338,0.816,negative
26,0.296,0.942,negative
28,0.293,0.8,negative
19,0.337,0.911,negative
18,0.383,1,negative
43,0.3,0.713,negative
7,0.6,0.886,negative
32,0.417,0.964,negative
8,0.563,0.958,negative
213,0.264,0.698,negative
53,0.306,0.889,negative
271,0.232,0.548,negative
96,0.277,0.68,negative
30,0.307,0.94,negative
76,0.254,0.688,negative
16,0.43,0.859,negative
34,0.356,0.925,negative
61,0.294,0.735,negative
19,0.368,1,negative
50,0.268,0.764,negative
27,0.344,0.804,negative
64,0.189,0.4,negative
55,0.225,0.645,negative
8,0.344,0.922,negative
12,0.458,0.938,negative
69,0.366,0.897,negative
14,0.42,0.759,negative
22,0.477,1,negative
21,0.357,0.964,negative
47,0.34,0.753,negative
15,0.448,0.829,negative
15,0.352,0.891,negative
19,0.311,1,negative
61,0.305,0.952,negative
50,0.326,0.868,negative
36,0.495,0.995,negative
22,0.403,1,negative
36,0.319,0.817,negative
26,0.342,0.821,negative
7,0.365,0.937,negative
24,0.352,0.722,negative
22,0.392,0.915,negative
31,0.415,1,negative
50,0.255,0.56,negative
54,0.391,0.817,negative
12,0.491,0.889,negative
41,0.312,0.734,negative
7,0.329,0.986,negative
52,0.319,0.802,negative
8,0.438,1,negative
12,0.396,0.75,negative
7,0.429,1,negative
12,0.406,0.896,negative
16,0.43,1,negative
16,0.461,0.93,negative
26,0.399,0.976,negative
69,0.277,0.68,negative
122,0.256,0.656,negative
145,0.278,0.724,negative
272,0.26,0.681,negative
49,0.306,0.773,negative
7,0.411,1,negative
18,0.352,0.901,negative
12,0.417,0.969,negative
42,0.369,1,negative
59,0.335,0.821,negative
54,0.319,0.824,negative
126,0.273,0.649,negative
39,0.282,0.747,negative
44,0.314,0.75,negative
7,0.464,1,negative
37,0.324,0.692,negative
15,0.433,0.625,negative
32,0.352,0.973,negative
45,0.367,0.783,negative
41,0.374,0.881,negative
25,0.268,0.588,negative
16,0.344,0.742,negative
10,0.375,0.85,negative
9,0.533,0.911,negative
261,0.223,0.578,negative
233,0.245,0.677,negative
35,0.408,0.755,negative
8,0.359,0.766,negative
31,0.371,0.782,negative
22,0.392,0.778,negative
33,0.424,0.867,negative
40,0.27,0.618,negative
8,0.359,0.969,negative
12,0.438,0.927,negative
20,0.361,0.872,negative
9,0.361,0.972,negative
15,0.375,0.85,negative
12,0.396,0.927,negative
25,0.328,0.828,negative
10,0.4,1,negative
4,0.438,0.656,negative
12,0.427,0.875,negative
26,0.3,0.954,negative
6,0.333,0.817,negative
57,0.271,0.577,negative
28,0.406,0.777,negative
23,0.248,0.678,negative
32,0.256,0.534,negative
12,0.385,0.688,negative
17,0.36,0.831,negative
42,0.284,0.654,negative
14,0.375,0.839,negative
37,0.375,0.922,negative
26,0.346,0.909,negative
28,0.46,0.79,negative
44,0.314,0.623,negative
12,0.4,0.933,negative
40,0.333,0.783,negative
14,0.56,0.929,negative
33,0.385,0.922,negative
9,0.361,0.722,negative
43,0.343,0.977,negative
13,0.413,1,negative
33,0.278,0.73,negative
37,0.392,0.753,negative
29,0.32,0.618,negative
50,0.405,0.993,negative
38,0.408,0.964,negative
26,0.409,0.933,negative
52,0.306,0.688,negative
39,0.393,0.927,negative
7,0.5,0.976,negative
261,0.207,0.564,negative
146,0.238,0.58,negative
19,0.355,0.954,negative
35,0.326,0.583,negative
57,0.309,0.838,negative
272,0.219,0.589,negative
26,0.262,0.804,negative
10,0.344,0.789,negative
28,0.317,0.976,negative
25,0.298,0.811,negative
8,0.391,1,negative
27,0.343,0.778,negative
8,0.406,0.953,negative
16,0.375,0.769,negative
19,0.3,0.905,negative
7,0.357,0.871,negative
13,0.315,0.915,negative
7,0.457,1,negative
10,0.433,0.867,negative
13,0.365,0.808,negative
42,0.375,0.899,negative
44,0.318,0.87,negative
26,0.273,0.815,negative
30,0.3,0.73,negative
27,0.303,0.596,negative
52,0.325,0.877,negative
76,0.314,0.711,negative
15,0.36,0.813,negative
18,0.294,0.911,negative
15,0.4,0.752,negative
35,0.339,0.833,negative
26,0.396,1,negative
8,0.429,0.964,negative
51,0.306,0.637,negative
114,0.272,0.741,negative
9,0.417,1,negative
29,0.345,0.681,negative
105,0.236,0.579,negative
101,0.256,0.688,negative
64,0.385,0.912,negative
32,0.306,0.788,negative
14,0.378,0.969,negative
61,0.29,0.657,negative
25,1,1,negative
21,0.246,0.254,positive
109,0.283,0.543,negative
221,0.268,0.536,negative
146,0.325,0.691,negative
10,0.5,0.84,negative
16,0.398,0.695,positive
19,0.388,0.664,negative
46,0.278,0.583,negative
25,0.355,0.78,negative
30,0.354,0.75,negative
14,0.482,0.759,negative
5,0.35,0.6,negative
34,0.224,0.526,positive
30,0.169,0.46,positive
12,0.486,0.944,negative
7,0.286,0.571,negative
7,0.265,0.612,negative
12,0.6,0.9,negative
261,0.233,0.637,negative
154,0.187,0.522,negative
155,0.275,0.803,negative
39,0.14,0.405,positive
17,0.137,0.627,positive
24,0.417,0.953,negative
41,0.276,0.693,negative
15,0.273,0.947,negative
12,0.35,0.867,negative
55,0.295,0.756,negative
6,0.405,0.929,negative
19,0.398,0.88,negative
8,0.482,1,negative
7,0.592,0.959,negative
29,0.444,1,negative
53,0.249,0.734,negative
19,0.298,0.737,negative
13,0.285,0.885,negative
144,0.256,0.625,negative
12,0.476,0.81,negative
2,0.857,0.857,negative
54,0.273,0.781,negative
51,0.28,0.814,negative
7,0.314,0.857,negative
37,0.327,0.954,negative
11,0.409,0.955,negative
6,0.583,0.917,negative
43,0.387,0.762,negative
28,0.442,0.795,negative
3,0.778,0.778,negative
7,1,1,negative
2,0.7,0.7,negative
2,0.875,0.875,negative
3,0.667,0.917,negative
2,0.714,0.714,negative
72,0.292,0.667,negative
150,0.252,0.585,negative
9,0.333,0.878,negative
34,0.321,0.853,negative
10,0.35,0.89,negative
9,0.375,0.681,negative
15,0.438,0.895,negative
30,0.33,0.843,negative
20,0.322,0.717,negative
13,0.368,1,negative
10,0.386,0.914,negative
20,0.4,1,negative
13,0.436,0.756,negative
15,0.507,0.787,negative
12,0.467,0.6,negative
13,0.462,0.677,negative
49,0.32,0.527,negative
17,0.451,0.745,negative
41,0.336,0.694,negative
14,0.278,1,negative
4,0.469,0.719,negative
39,0.378,0.962,negative
23,0.27,0.648,negative
16,0.328,0.961,negative
39,0.362,0.881,negative
20,0.47,0.73,negative
10,0.5,0.9,negative
10,0.6,0.8,negative
13,0.554,0.8,negative
14,0.329,0.5,negative
20,0.421,0.829,negative
17,0.576,0.953,negative
145,0.268,0.747,negative
62,0.265,0.656,negative
16,0.328,0.969,negative
24,0.297,0.865,negative
9,0.37,0.722,negative
261,0.259,0.767,negative
20,0.394,0.863,negative
39,0.295,0.908,negative
61,0.333,0.954,negative
14,0.464,0.536,positive
42,0.312,0.889,negative
20,0.131,0.193,positive
32,0.375,0.801,negative
14,0.512,1,negative
23,0.348,0.723,negative
25,0.256,0.534,positive
27,0.219,0.554,positive
43,0.117,0.183,positive
40,0.344,0.683,negative
14,0.411,0.991,negative
32,0.395,0.773,negative
31,0.316,0.752,negative
33,0.375,0.981,negative
20,0.406,0.906,negative
12,0.406,0.917,negative
29,0.144,0.496,positive
34,0.403,0.849,negative
109,0.234,0.62,negative
103,0.25,0.61,negative
91,0.161,0.44,negative
9,0.358,0.728,negative
12,0.375,0.927,negative
40,0.35,0.906,negative
57,0.326,0.695,negative
28,0.343,0.975,negative
8,0.313,0.9,negative
15,0.313,0.78,negative
3,0.556,0.556,negative
20,0.493,0.979,negative
20,0.457,0.857,negative
8,0.604,0.896,negative
3,0.6,0.6,negative
2,0.611,0.722,positive
2,0.7,0.7,negative
221,0.25,0.544,negative
35,0.445,0.771,negative
33,0.352,0.745,negative
7,0.5,0.786,negative
12,0.531,0.813,negative
16,0.422,0.852,negative
20,0.429,0.993,negative
4,0.5,1,negative
35,0.494,1,negative
33,0.357,0.63,negative
30,0.45,0.833,negative
26,0.519,0.955,negative
26,0.492,0.785,negative
22,0.536,0.909,negative
15,0.467,0.711,negative
19,0.505,0.8,negative
37,0.392,0.757,negative
11,0.6,0.818,negative
13,0.554,0.8,negative
14,0.443,0.743,negative
25,0.329,0.502,negative
10,0.35,0.763,negative
54,0.316,0.697,negative
29,0.303,0.731,negative
16,0.288,0.744,negative
39,0.344,0.59,negative
14,0.482,0.679,negative
12,0.458,0.667,negative
35,0.425,0.843,negative
9,0.361,0.819,negative
22,0.295,0.483,negative
36,0.299,0.531,negative
16,0.281,0.542,negative
31,0.351,0.839,negative
45,0.297,0.564,negative
23,0.504,0.783,negative
34,0.36,0.717,negative
12,0.396,0.99,negative
28,0.311,0.957,negative
41,0.356,0.956,negative
15,0.475,1,negative
12,0.438,1,negative
9,0.356,0.933,negative
36,0.367,0.789,negative
26,0.423,0.769,negative
24,0.573,0.958,negative
30,0.587,0.96,negative
71,0.289,0.574,negative
16,0.444,1,negative
14,0.371,0.886,negative
16,0.3,1,negative
15,0.3,1,negative
7,0.357,0.757,negative
74,0.303,0.708,negative
30,0.296,0.863,negative
51,0.337,0.773,negative
79,0.244,0.742,negative
127,0.266,0.686,negative
20,0.32,0.61,negative
20,0.464,0.9,negative
18,0.321,0.654,negative
35,0.311,0.72,negative
19,0.434,0.664,negative
64,0.25,0.597,negative
33,0.342,0.927,negative
16,0.338,0.888,negative
14,0.438,0.768,negative
76,0.322,0.689,negative
9,0.375,0.736,negative
21,0.435,0.917,negative
5,0.486,0.943,negative
7,0.347,0.633,negative
25,0.354,0.606,negative
53,0.335,0.602,negative
5,0.52,1,negative
14,0.557,0.871,negative
12,0.375,0.958,negative
20,0.54,0.95,negative
19,0.306,0.789,negative
59,0.307,0.775,negative
5,0.375,0.95,negative
6,0.333,0.979,negative
8,0.469,0.844,negative
41,0.302,0.69,negative
29,0.401,0.884,negative
19,0.454,1,negative
33,0.371,0.795,negative
6,0.5,1,negative
92,0.359,0.913,negative
10,0.56,0.96,negative
228,0.26,0.61,negative
18,0.311,0.706,negative
12,0.333,0.958,negative
18,0.294,0.883,negative
23,0.348,0.891,negative
24,0.318,0.974,negative
66,0.27,0.638,negative
62,0.392,0.871,negative
14,0.393,0.705,negative
7,0.571,1,negative
262,0.259,0.788,negative
15,0.458,0.908,negative
25,0.34,0.816,negative
7,0.482,0.946,negative
12,0.385,0.896,negative
13,0.471,1,negative
6,0.375,0.896,negative
30,0.357,0.87,negative
10,0.34,0.93,negative
12,0.396,0.969,negative
20,0.394,0.944,negative
16,0.383,0.742,negative
18,0.491,0.88,negative
4,0.583,1,negative
25,0.405,0.865,negative
24,0.318,0.688,negative
19,0.395,0.704,negative
8,0.438,0.813,negative
262,0.288,0.742,negative
39,0.423,0.955,negative
23,0.287,0.617,negative
27,0.402,0.746,negative
27,0.607,0.993,negative
20,0.436,0.736,negative
23,0.364,0.967,negative
20,0.425,1,negative
35,0.357,0.921,negative
30,0.333,0.93,negative
19,0.326,0.768,negative
46,0.317,0.683,negative
28,0.336,0.85,negative
41,0.378,0.945,negative
14,0.429,1,negative
33,0.345,0.779,negative
40,0.372,0.919,negative
20,0.464,1,negative
45,0.296,0.558,negative
18,0.444,0.991,negative
14,0.536,1,negative
4,0.7,1,negative
14,0.333,0.897,negative
60,0.335,0.915,negative
5,0.4,1,negative
41,0.278,0.632,negative
14,0.509,0.768,negative
23,0.451,0.832,negative
9,0.361,0.903,negative
12,0.385,0.948,negative
20,0.363,0.931,negative
16,0.359,0.781,negative
12,0.396,0.969,negative
14,0.384,0.795,negative
33,0.345,0.886,negative
46,0.3,0.604,negative
4,0.667,1,negative
49,0.413,0.76,negative
34,0.357,0.75,negative
10,0.483,0.933,negative
14,0.586,0.943,negative
261,0.243,0.524,negative
262,0.274,0.757,negative
260,0.282,0.737,negative
262,0.29,0.826,negative
11,0.477,0.966,negative
37,0.334,0.831,negative
24,0.26,0.672,negative
19,0.421,0.974,negative
33,0.326,0.848,negative
30,0.363,0.71,negative
7,0.482,0.946,negative
41,0.355,0.857,negative
30,0.342,0.896,negative
262,0.273,0.703,negative
53,0.347,0.767,negative
30,0.363,0.85,negative
18,0.438,0.979,negative
52,0.286,0.652,negative
29,0.29,0.803,negative
13,0.356,0.942,negative
9,0.361,0.792,negative
12,0.396,0.99,negative
22,0.309,0.582,negative
89,0.3,0.559,negative
26,0.35,0.819,negative
18,0.327,0.914,negative
4,0.444,1,negative
58,0.3,0.84,negative
18,0.389,0.931,negative
61,0.342,0.875,negative
19,0.428,0.961,negative
34,0.379,0.971,negative
27,0.367,0.83,negative
38,0.308,0.632,negative
12,0.479,1,negative
20,0.413,0.981,negative
16,0.422,0.992,negative
10,0.325,0.913,negative
22,0.398,0.818,negative
31,0.375,0.722,negative
34,0.303,0.815,negative
32,0.33,0.889,negative
25,0.415,1,negative
23,0.462,1,negative
12,0.417,0.927,negative
26,0.354,0.769,negative
261,0.251,0.661,negative
175,0.21,0.469,negative
40,0.363,0.806,negative
70,0.279,0.727,negative
262,0.281,0.691,negative
23,0.375,0.88,negative
39,0.369,0.99,negative
9,0.431,1,negative
10,0.363,0.913,negative
40,0.295,0.68,negative
14,0.5,1,negative
30,0.304,0.711,negative
25,0.434,1,negative
26,0.523,0.985,negative
12,0.427,0.906,negative
53,0.294,0.908,negative
99,0.264,0.774,negative
31,0.339,0.713,negative
9,0.3,0.778,negative
54,0.306,0.689,negative
50,0.378,0.915,negative
15,0.417,0.925,negative
35,0.393,0.918,negative
34,0.279,0.8,negative
16,0.344,0.898,negative
12,0.393,0.69,negative
24,0.438,0.839,negative
17,0.382,0.86,negative
19,0.388,0.809,negative
24,0.323,0.688,negative
31,0.329,0.952,negative
80,0.347,0.933,negative
15,0.244,0.83,negative
74,0.247,0.695,negative
39,0.308,0.721,negative
73,0.273,0.79,negative
33,0.356,0.705,negative
8,0.675,0.975,negative
4,0.583,0.792,negative
251,0.281,0.708,negative
52,0.298,0.752,negative
25,0.31,0.67,negative
9,0.375,0.986,negative
35,0.396,0.986,negative
17,0.419,0.956,negative
18,0.357,0.865,negative
38,0.353,0.902,negative
4,0.542,1,negative
21,0.313,0.667,negative
242,0.26,0.579,negative
63,0.298,0.795,negative
29,0.318,0.893,negative
5,0.425,1,negative
25,0.335,0.77,negative
9,0.389,0.708,negative
56,0.343,0.706,negative
14,0.286,1,negative
7,0.476,0.976,negative
23,0.377,0.862,negative
261,0.269,0.713,negative
262,0.242,0.618,negative
261,0.246,0.638,negative
7,0.429,1,negative
14,0.339,0.884,negative
52,0.294,0.675,negative
18,0.468,1,negative
17,0.441,0.978,negative
12,0.458,0.865,negative
23,0.353,0.826,negative
31,0.284,0.835,negative
13,0.452,0.971,negative
4,0.594,1,negative
13,0.423,0.923,negative
12,0.521,0.958,negative
41,0.324,0.81,negative
9,0.296,0.901,negative
22,0.375,0.909,negative
120,0.279,0.765,negative
64,0.177,0.479,negative
53,0.342,0.58,negative
33,0.436,0.886,negative
42,0.325,0.823,negative
13,0.429,0.945,negative
18,0.397,0.984,negative
19,0.451,0.97,negative
4,0.536,1,negative
20,0.407,0.929,negative
29,0.307,0.648,negative
46,0.316,0.857,negative
13,0.365,0.933,negative
