Height,Lenght,Eccen,P_black,P_and,Blackpix,Blackand,Wb_trans,Class
6,12,2,0.486,0.944,35,68,16,negative
7,7,1,0.286,0.571,14,28,4,negative
7,7,1,0.265,0.612,13,30,4,negative
5,12,2.4,0.6,0.9,36,54,12,negative
11,261,23.727,0.233,0.637,668,1830,381,negative
11,154,14,0.187,0.522,317,884,163,negative
10,155,15.5,0.275,0.803,427,1244,231,negative
20,39,1.95,0.14,0.405,109,316,34,positive
6,17,2.833,0.137,0.627,14,64,5,positive
8,24,3,0.417,0.953,80,183,42,negative
10,41,4.1,0.276,0.693,113,284,70,negative
10,15,1.5,0.273,0.947,41,142,29,negative
10,12,1.2,0.35,0.867,42,104,18,negative
10,55,5.5,0.295,0.756,162,416,82,negative
7,6,0.857,0.405,0.929,17,39,9,negative
7,19,2.714,0.398,0.88,53,117,29,negative
7,8,1.143,0.482,1,27,56,12,negative
7,7,1,0.592,0.959,29,47,12,negative
8,29,3.625,0.444,1,103,232,48,negative
11,53,4.818,0.249,0.734,145,428,75,negative
9,19,2.111,0.298,0.737,51,126,19,negative
10,13,1.3,0.285,0.885,37,115,23,negative
10,144,14.4,0.256,0.625,368,900,205,negative
7,12,1.714,0.476,0.81,40,68,19,negative
7,2,0.286,0.857,0.857,12,12,1,negative
11,54,4.909,0.273,0.781,162,464,74,negative
10,51,5.1,0.28,0.814,143,415,86,negative
10,7,0.7,0.314,0.857,22,60,12,negative
10,37,3.7,0.327,0.954,121,353,66,negative
10,11,1.1,0.409,0.955,45,105,18,negative
2,6,3,0.583,0.917,7,11,1,negative
8,43,5.375,0.387,0.762,133,262,69,negative
8,28,3.5,0.442,0.795,99,178,40,negative
3,3,1,0.778,0.778,7,7,1,negative
1,7,7,1,1,7,7,1,negative
5,2,0.4,0.7,0.7,7,7,1,negative
4,2,0.5,0.875,0.875,7,7,1,negative
4,3,0.75,0.667,0.917,8,11,3,negative
7,2,0.286,0.714,0.714,10,10,1,negative
10,72,7.2,0.292,0.667,210,480,116,negative
10,150,15,0.252,0.585,378,878,183,negative
10,9,0.9,0.333,0.878,30,79,12,negative
10,34,3.4,0.321,0.853,109,290,54,negative
10,10,1,0.35,0.89,35,89,18,negative
8,9,1.125,0.375,0.681,27,49,16,negative
7,15,2.143,0.438,0.895,46,94,20,negative
10,30,3,0.33,0.843,99,253,52,negative
9,20,2.222,0.322,0.717,58,129,27,negative
9,13,1.444,0.368,1,43,117,16,negative
7,10,1.429,0.386,0.914,27,64,13,negative
7,20,2.857,0.4,1,56,140,30,negative
6,13,2.167,0.436,0.756,34,59,15,negative
5,15,3,0.507,0.787,38,59,12,negative
5,12,2.4,0.467,0.6,28,36,6,negative
5,13,2.6,0.462,0.677,30,44,7,negative
6,49,8.167,0.32,0.527,94,155,32,negative
6,17,2.833,0.451,0.745,46,76,18,negative
9,41,4.556,0.336,0.694,124,256,65,negative
9,14,1.556,0.278,1,35,126,17,negative
8,4,0.5,0.469,0.719,15,23,4,negative
8,39,4.875,0.378,0.962,118,300,72,negative
10,23,2.3,0.27,0.648,62,149,31,negative
8,16,2,0.328,0.961,42,123,22,negative
8,39,4.875,0.362,0.881,113,275,65,negative
5,20,4,0.47,0.73,47,73,20,negative
4,10,2.5,0.5,0.9,20,36,5,negative
4,10,2.5,0.6,0.8,24,32,6,negative
5,13,2.6,0.554,0.8,36,52,14,negative
5,14,2.8,0.329,0.5,23,35,9,negative
7,20,2.857,0.421,0.829,59,116,24,negative
5,17,3.4,0.576,0.953,49,81,21,negative
10,145,14.5,0.268,0.747,389,1083,213,negative
10,62,6.2,0.265,0.656,164,407,75,negative
8,16,2,0.328,0.969,42,124,22,negative
8,24,3,0.297,0.865,57,166,31,negative
6,9,1.5,0.37,0.722,20,39,10,negative
10,261,26.1,0.259,0.767,676,2001,388,negative
8,20,2.5,0.394,0.863,63,138,30,negative
10,39,3.9,0.295,0.908,115,354,55,negative
10,61,6.1,0.333,0.954,203,582,110,negative
2,14,7,0.464,0.536,13,15,1,positive
9,42,4.667,0.312,0.889,118,336,60,negative
37,20,0.541,0.131,0.193,97,143,23,positive
8,32,4,0.375,0.801,96,205,47,negative
6,14,2.333,0.512,1,43,84,14,negative
8,23,2.875,0.348,0.723,64,133,32,negative
34,25,0.735,0.256,0.534,218,454,106,positive
34,27,0.794,0.219,0.554,201,509,65,positive
36,43,1.194,0.117,0.183,181,283,59,positive
9,40,4.444,0.344,0.683,124,246,60,negative
8,14,1.75,0.411,0.991,46,111,18,negative
8,32,4,0.395,0.773,101,198,48,negative
10,31,3.1,0.316,0.752,98,233,59,negative
8,33,4.125,0.375,0.981,99,259,62,negative
8,20,2.5,0.406,0.906,65,145,35,negative
8,12,1.5,0.406,0.917,39,88,25,negative
16,29,1.813,0.144,0.496,67,230,26,positive
7,34,4.857,0.403,0.849,96,202,53,negative
11,109,9.909,0.234,0.62,281,743,146,negative
10,103,10.3,0.25,0.61,258,628,146,negative
9,91,10.111,0.161,0.44,132,360,71,negative
9,9,1,0.358,0.728,29,59,13,negative
8,12,1.5,0.375,0.927,36,89,20,negative
8,40,5,0.35,0.906,112,290,62,negative
10,57,5.7,0.326,0.695,186,396,94,negative
10,28,2.8,0.343,0.975,96,273,45,negative
10,8,0.8,0.313,0.9,25,72,16,negative
10,15,1.5,0.313,0.78,47,117,21,negative
6,3,0.5,0.556,0.556,10,10,1,negative
7,20,2.857,0.493,0.979,69,137,38,negative
7,20,2.857,0.457,0.857,64,120,26,negative
6,8,1.333,0.604,0.896,29,43,9,negative
5,3,0.6,0.6,0.6,9,9,1,negative
9,2,0.222,0.611,0.722,11,13,1,positive
5,2,0.4,0.7,0.7,7,7,1,negative
11,221,20.091,0.25,0.544,607,1323,312,negative
7,35,5,0.445,0.771,109,189,44,negative
10,33,3.3,0.352,0.745,116,246,56,negative
8,7,0.875,0.5,0.786,28,44,9,negative
8,12,1.5,0.531,0.813,51,78,18,negative
8,16,2,0.422,0.852,54,109,30,negative
7,20,2.857,0.429,0.993,60,139,30,negative
7,4,0.571,0.5,1,14,28,6,negative
7,35,5,0.494,1,121,245,55,negative
9,33,3.667,0.357,0.63,106,187,43,negative
6,30,5,0.45,0.833,81,150,26,negative
6,26,4.333,0.519,0.955,81,149,36,negative
5,26,5.2,0.492,0.785,64,102,27,negative
5,22,4.4,0.536,0.909,59,100,27,negative
6,15,2.5,0.467,0.711,42,64,13,negative
5,19,3.8,0.505,0.8,48,76,22,negative
6,37,6.167,0.392,0.757,87,168,39,negative
5,11,2.2,0.6,0.818,33,45,12,negative
5,13,2.6,0.554,0.8,36,52,12,negative
5,14,2.8,0.443,0.743,31,52,14,negative
9,25,2.778,0.329,0.502,74,113,29,negative
8,10,1.25,0.35,0.763,28,61,16,negative
11,54,4.909,0.316,0.697,188,414,91,negative
10,29,2.9,0.303,0.731,88,212,42,negative
10,16,1.6,0.288,0.744,46,119,21,negative
10,39,3.9,0.344,0.59,134,230,48,negative
8,14,1.75,0.482,0.679,54,76,18,negative
8,12,1.5,0.458,0.667,44,64,12,negative
8,35,4.375,0.425,0.843,119,236,57,negative
8,9,1.125,0.361,0.819,26,59,15,negative
8,22,2.75,0.295,0.483,52,85,20,negative
8,36,4.5,0.299,0.531,86,153,39,negative
6,16,2.667,0.281,0.542,27,52,11,negative
8,31,3.875,0.351,0.839,87,208,44,negative
8,45,5.625,0.297,0.564,107,203,57,negative
5,23,4.6,0.504,0.783,58,90,24,negative
8,34,4.25,0.36,0.717,98,195,52,negative
8,12,1.5,0.396,0.99,38,95,20,negative
10,28,2.8,0.311,0.957,87,268,49,negative
10,41,4.1,0.356,0.956,146,392,68,negative
8,15,1.875,0.475,1,57,120,24,negative
8,12,1.5,0.438,1,42,96,20,negative
10,9,0.9,0.356,0.933,32,84,20,negative
10,36,3.6,0.367,0.789,132,284,58,negative
6,26,4.333,0.423,0.769,66,120,28,negative
4,24,6,0.573,0.958,55,92,27,negative
5,30,6,0.587,0.96,88,144,36,negative
8,71,8.875,0.289,0.574,164,326,100,negative
10,16,1.6,0.444,1,71,160,32,negative
10,14,1.4,0.371,0.886,52,124,18,negative
10,16,1.6,0.3,1,48,160,26,negative
10,15,1.5,0.3,1,45,150,24,negative
10,7,0.7,0.357,0.757,25,53,9,negative
10,74,7.4,0.303,0.708,224,524,103,negative
8,30,3.75,0.296,0.863,71,207,34,negative
10,51,5.1,0.337,0.773,172,394,81,negative
10,79,7.9,0.244,0.742,193,586,108,negative
11,127,11.545,0.266,0.686,371,959,166,negative
10,20,2,0.32,0.61,64,122,30,negative
7,20,2.857,0.464,0.9,65,126,24,negative
9,18,2,0.321,0.654,52,106,23,negative
10,35,3.5,0.311,0.72,109,252,58,negative
8,19,2.375,0.434,0.664,66,101,22,negative
11,64,5.818,0.25,0.597,176,420,88,negative
10,33,3.3,0.342,0.927,113,306,68,negative
10,16,1.6,0.338,0.888,54,142,26,negative
8,14,1.75,0.438,0.768,49,86,22,negative
10,76,7.6,0.322,0.689,245,524,123,negative
8,9,1.125,0.375,0.736,27,53,11,negative
8,21,2.625,0.435,0.917,73,154,31,negative
7,5,0.714,0.486,0.943,17,33,4,negative
7,7,1,0.347,0.633,17,31,6,negative
7,25,3.571,0.354,0.606,62,106,29,negative
9,53,5.889,0.335,0.602,160,287,66,negative
5,5,1,0.52,1,13,25,6,negative
5,14,2.8,0.557,0.871,39,61,14,negative
6,12,2,0.375,0.958,27,69,14,negative
5,20,4,0.54,0.95,54,95,23,negative
11,19,1.727,0.306,0.789,64,165,26,negative
8,59,7.375,0.307,0.775,145,366,79,negative
8,5,0.625,0.375,0.95,15,38,7,negative
8,6,0.75,0.333,0.979,16,47,9,negative
8,8,1,0.469,0.844,30,54,11,negative
10,41,4.1,0.302,0.69,124,283,60,negative
8,29,3.625,0.401,0.884,93,205,39,negative
8,19,2.375,0.454,1,69,152,32,negative
8,33,4.125,0.371,0.795,98,210,51,negative
7,6,0.857,0.5,1,21,42,9,negative
8,92,11.5,0.359,0.913,264,672,151,negative
5,10,2,0.56,0.96,28,48,12,negative
10,228,22.8,0.26,0.61,592,1390,316,negative
10,18,1.8,0.311,0.706,56,127,29,negative
10,12,1.2,0.333,0.958,40,115,22,negative
10,18,1.8,0.294,0.883,53,159,27,negative
10,23,2.3,0.348,0.891,80,205,36,negative
8,24,3,0.318,0.974,61,187,39,negative
10,66,6.6,0.27,0.638,178,421,95,negative
7,62,8.857,0.392,0.871,170,378,91,negative
8,14,1.75,0.393,0.705,44,79,19,negative
5,7,1.4,0.571,1,20,35,8,negative
11,262,23.818,0.259,0.788,747,2271,386,negative
8,15,1.875,0.458,0.908,55,109,22,negative
10,25,2.5,0.34,0.816,85,204,45,negative
8,7,0.875,0.482,0.946,27,53,10,negative
8,12,1.5,0.385,0.896,37,86,22,negative
8,13,1.625,0.471,1,49,104,27,negative
8,6,0.75,0.375,0.896,18,43,10,negative
10,30,3,0.357,0.87,107,261,50,negative
10,10,1,0.34,0.93,34,93,18,negative
8,12,1.5,0.396,0.969,38,93,21,negative
8,20,2.5,0.394,0.944,63,151,28,negative
8,16,2,0.383,0.742,49,95,21,negative
6,18,3,0.491,0.88,53,95,26,negative
6,4,0.667,0.583,1,14,24,3,negative
8,25,3.125,0.405,0.865,81,173,44,negative
8,24,3,0.318,0.688,61,132,23,negative
8,19,2.375,0.395,0.704,60,107,31,negative
8,8,1,0.438,0.813,28,52,6,negative
10,262,26.2,0.288,0.742,754,1945,421,negative
8,39,4.875,0.423,0.955,132,298,72,negative
10,23,2.3,0.287,0.617,66,142,30,negative
7,27,3.857,0.402,0.746,76,141,42,negative
5,27,5.4,0.607,0.993,82,134,35,negative
7,20,2.857,0.436,0.736,61,103,26,negative
8,23,2.875,0.364,0.967,67,178,33,negative
8,20,2.5,0.425,1,68,160,30,negative
8,35,4.375,0.357,0.921,100,258,61,negative
10,30,3,0.333,0.93,100,279,56,negative
10,19,1.9,0.326,0.768,62,146,39,negative
10,46,4.6,0.317,0.683,146,314,79,negative
10,28,2.8,0.336,0.85,94,238,56,negative
8,41,5.125,0.378,0.945,124,310,77,negative
8,14,1.75,0.429,1,48,112,20,negative
10,33,3.3,0.345,0.779,114,257,60,negative
8,40,5,0.372,0.919,119,294,68,negative
7,20,2.857,0.464,1,65,140,29,negative
10,45,4.5,0.296,0.558,133,251,59,negative
6,18,3,0.444,0.991,48,107,28,negative
6,14,2.333,0.536,1,45,84,22,negative
5,4,0.8,0.7,1,14,20,6,negative
9,14,1.556,0.333,0.897,42,113,17,negative
8,60,7.5,0.335,0.915,161,439,87,negative
8,5,0.625,0.4,1,16,40,6,negative
10,41,4.1,0.278,0.632,114,259,59,negative
8,14,1.75,0.509,0.768,57,86,19,negative
8,23,2.875,0.451,0.832,83,153,40,negative
8,9,1.125,0.361,0.903,26,65,16,negative
8,12,1.5,0.385,0.948,37,91,25,negative
8,20,2.5,0.363,0.931,58,149,30,negative
8,16,2,0.359,0.781,46,100,23,negative
8,12,1.5,0.396,0.969,38,93,23,negative
8,14,1.75,0.384,0.795,43,89,25,negative
8,33,4.125,0.345,0.886,91,234,58,negative
10,46,4.6,0.3,0.604,138,278,66,negative
6,4,0.667,0.667,1,16,24,4,negative
8,49,6.125,0.413,0.76,162,298,84,negative
8,34,4.25,0.357,0.75,97,204,52,negative
6,10,1.667,0.483,0.933,29,56,14,negative
5,14,2.8,0.586,0.943,41,66,18,negative
11,261,23.727,0.243,0.524,698,1505,361,negative
10,262,26.2,0.274,0.757,719,1984,399,negative
10,260,26,0.282,0.737,732,1916,412,negative
10,262,26.2,0.29,0.826,761,2163,432,negative
8,11,1.375,0.477,0.966,42,85,21,negative
8,37,4.625,0.334,0.831,99,246,53,negative
8,24,3,0.26,0.672,50,129,27,negative
8,19,2.375,0.421,0.974,64,148,35,negative
8,33,4.125,0.326,0.848,86,224,43,negative
10,30,3,0.363,0.71,109,213,45,negative
8,7,0.875,0.482,0.946,27,53,11,negative
7,41,5.857,0.355,0.857,102,246,55,negative
8,30,3.75,0.342,0.896,82,215,41,negative
10,262,26.2,0.273,0.703,716,1841,391,negative
8,53,6.625,0.347,0.767,147,325,76,negative
8,30,3.75,0.363,0.85,87,204,38,negative
8,18,2.25,0.438,0.979,63,141,23,negative
9,52,5.778,0.286,0.652,134,305,73,negative
10,29,2.9,0.29,0.803,84,233,46,negative
8,13,1.625,0.356,0.942,37,98,21,negative
8,9,1.125,0.361,0.792,26,57,12,negative
8,12,1.5,0.396,0.99,38,95,20,negative
10,22,2.2,0.309,0.582,68,128,29,negative
9,89,9.889,0.3,0.559,240,448,110,negative
10,26,2.6,0.35,0.819,91,213,39,negative
9,18,2,0.327,0.914,53,148,28,negative
9,4,0.444,0.444,1,16,36,2,negative
10,58,5.8,0.3,0.84,174,487,80,negative
8,18,2.25,0.389,0.931,56,134,25,negative
8,61,7.625,0.342,0.875,167,427,86,negative
8,19,2.375,0.428,0.961,65,146,37,negative
8,34,4.25,0.379,0.971,103,264,56,negative
10,27,2.7,0.367,0.83,99,224,53,negative
10,38,3.8,0.308,0.632,117,240,55,negative
8,12,1.5,0.479,1,46,96,21,negative
8,20,2.5,0.413,0.981,66,157,32,negative
8,16,2,0.422,0.992,54,127,29,negative
8,10,1.25,0.325,0.913,26,73,17,negative
8,22,2.75,0.398,0.818,70,144,34,negative
8,31,3.875,0.375,0.722,93,179,46,negative
10,34,3.4,0.303,0.815,103,277,56,negative
9,32,3.556,0.33,0.889,95,256,53,negative
8,25,3.125,0.415,1,83,200,44,negative
8,23,2.875,0.462,1,85,184,45,negative
8,12,1.5,0.417,0.927,40,89,23,negative
10,26,2.6,0.354,0.769,92,200,44,negative
11,261,23.727,0.251,0.661,722,1898,361,negative
11,175,15.909,0.21,0.469,405,902,205,negative
8,40,5,0.363,0.806,116,258,69,negative
8,70,8.75,0.279,0.727,156,407,93,negative
10,262,26.2,0.281,0.691,736,1811,390,negative
8,23,2.875,0.375,0.88,69,162,33,negative
8,39,4.875,0.369,0.99,115,309,56,negative
8,9,1.125,0.431,1,31,72,13,negative
8,10,1.25,0.363,0.913,29,73,9,negative
10,40,4,0.295,0.68,118,272,62,negative
7,14,2,0.5,1,49,98,18,negative
9,30,3.333,0.304,0.711,82,192,44,negative
7,25,3.571,0.434,1,76,175,42,negative
5,26,5.2,0.523,0.985,68,128,36,negative
8,12,1.5,0.427,0.906,41,87,19,negative
10,53,5.3,0.294,0.908,156,481,89,negative
10,99,9.9,0.264,0.774,261,766,136,negative
10,31,3.1,0.339,0.713,105,221,49,negative
10,9,0.9,0.3,0.778,27,70,12,negative
10,54,5.4,0.306,0.689,165,372,85,negative
8,50,6.25,0.378,0.915,151,366,89,negative
8,15,1.875,0.417,0.925,50,111,23,negative
8,35,4.375,0.393,0.918,110,257,56,negative
10,34,3.4,0.279,0.8,95,272,51,negative
8,16,2,0.344,0.898,44,115,23,negative
7,12,1.714,0.393,0.69,33,58,14,negative
8,24,3,0.438,0.839,84,161,43,negative
8,17,2.125,0.382,0.86,52,117,21,negative
8,19,2.375,0.388,0.809,59,123,30,negative
8,24,3,0.323,0.688,62,132,28,negative
10,31,3.1,0.329,0.952,102,295,49,negative
8,80,10,0.347,0.933,222,597,127,negative
9,15,1.667,0.244,0.83,33,112,21,negative
11,74,6.727,0.247,0.695,201,566,102,negative
10,39,3.9,0.308,0.721,120,281,71,negative
10,73,7.3,0.273,0.79,199,577,108,negative
8,33,4.125,0.356,0.705,94,186,47,negative
5,8,1.6,0.675,0.975,27,39,9,negative
6,4,0.667,0.583,0.792,14,19,4,negative
10,251,25.1,0.281,0.708,705,1776,398,negative
10,52,5.2,0.298,0.752,155,391,74,negative
8,25,3.125,0.31,0.67,62,134,38,negative
8,9,1.125,0.375,0.986,27,71,13,negative
8,35,4.375,0.396,0.986,111,276,59,negative
8,17,2.125,0.419,0.956,57,130,27,negative
7,18,2.571,0.357,0.865,45,109,21,negative
7,38,5.429,0.353,0.902,94,240,46,negative
6,4,0.667,0.542,1,13,24,7,negative
7,21,3,0.313,0.667,46,98,22,negative
10,242,24.2,0.26,0.579,630,1401,303,negative
10,63,6.3,0.298,0.795,188,501,109,negative
9,29,3.222,0.318,0.893,83,233,48,negative
8,5,0.625,0.425,1,17,40,11,negative
8,25,3.125,0.335,0.77,67,154,40,negative
8,9,1.125,0.389,0.708,28,51,12,negative
9,56,6.222,0.343,0.706,173,356,88,negative
7,14,2,0.286,1,28,98,15,negative
6,7,1.167,0.476,0.976,20,41,9,negative
6,23,3.833,0.377,0.862,52,119,22,negative
10,261,26.1,0.269,0.713,701,1860,388,negative
11,262,23.818,0.242,0.618,697,1781,364,negative
11,261,23.727,0.246,0.638,707,1833,366,negative
8,7,0.875,0.429,1,24,56,9,negative
8,14,1.75,0.339,0.884,38,99,22,negative
10,52,5.2,0.294,0.675,153,351,72,negative
7,18,2.571,0.468,1,59,126,21,negative
8,17,2.125,0.441,0.978,60,133,36,negative
8,12,1.5,0.458,0.865,44,83,21,negative
8,23,2.875,0.353,0.826,65,152,34,negative
10,31,3.1,0.284,0.835,88,259,52,negative
8,13,1.625,0.452,0.971,47,101,24,negative
8,4,0.5,0.594,1,19,32,7,negative
8,13,1.625,0.423,0.923,44,96,25,negative
8,12,1.5,0.521,0.958,50,92,20,negative
10,41,4.1,0.324,0.81,133,332,71,negative
9,9,1,0.296,0.901,24,73,15,negative
8,22,2.75,0.375,0.909,66,160,37,negative
10,120,12,0.279,0.765,335,918,197,negative
9,64,7.111,0.177,0.479,102,276,44,negative
7,53,7.571,0.342,0.58,127,215,53,negative
8,33,4.125,0.436,0.886,115,234,61,negative
9,42,4.667,0.325,0.823,123,311,72,negative
7,13,1.857,0.429,0.945,39,86,19,negative
7,18,2.571,0.397,0.984,50,124,28,negative
7,19,2.714,0.451,0.97,60,129,22,negative
7,4,0.571,0.536,1,15,28,3,negative
7,20,2.857,0.407,0.929,57,130,29,negative
9,29,3.222,0.307,0.648,80,169,41,negative
9,46,5.111,0.316,0.857,131,355,76,negative
8,13,1.625,0.365,0.933,38,97,23,negative
8,12,1.5,0.385,0.698,37,67,15,negative
8,50,6.25,0.36,0.728,144,291,73,negative
7,9,1.286,0.365,0.698,23,44,14,negative
10,27,2.7,0.3,0.644,81,174,41,negative
7,41,5.857,0.422,1,121,287,70,negative
9,18,2,0.327,0.765,53,124,29,negative
5,7,1.4,0.686,1,24,35,8,negative
5,14,2.8,0.543,0.929,38,65,19,negative
5,27,5.4,0.548,1,74,135,34,negative
5,7,1.4,0.6,1,21,35,9,negative
5,15,3,0.547,0.947,41,71,20,negative
8,32,4,0.375,0.98,96,251,46,negative
8,5,0.625,0.525,1,21,40,7,negative
8,26,3.25,0.37,0.822,77,171,44,negative
8,25,3.125,0.38,0.795,76,159,42,negative
8,52,6.5,0.38,0.88,158,366,84,negative
8,15,1.875,0.425,0.925,51,111,26,negative
8,24,3,0.375,0.964,72,185,40,negative
8,22,2.75,0.426,1,75,176,31,negative
10,119,11.9,0.275,0.665,327,791,178,negative
10,34,3.4,0.303,0.8,103,272,57,negative
8,7,0.875,0.518,1,29,56,11,negative
8,63,7.875,0.333,0.734,168,370,106,negative
6,8,1.333,0.5,1,24,48,11,negative
6,7,1.167,0.5,1,21,42,12,negative
11,261,23.727,0.231,0.596,662,1711,354,negative
8,15,1.875,0.458,0.95,55,114,25,negative
10,157,15.7,0.233,0.565,366,887,222,negative
10,171,17.1,0.126,0.452,215,773,121,negative
5,16,3.2,0.563,0.925,45,74,17,negative
8,108,13.5,0.348,0.868,301,750,182,negative
10,44,4.4,0.35,0.957,154,421,81,negative
8,24,3,0.385,0.969,74,186,41,negative
8,26,3.25,0.24,0.563,50,117,20,negative
10,52,5.2,0.269,0.85,140,442,70,negative
8,43,5.375,0.34,0.892,117,307,64,negative
8,5,0.625,0.475,1,19,40,8,negative
8,6,0.75,0.417,0.917,20,44,9,negative
8,9,1.125,0.389,0.792,28,57,14,negative
8,12,1.5,0.396,0.844,38,81,18,negative
7,20,2.857,0.429,1,60,140,31,negative
7,16,2.286,0.438,0.857,49,96,24,negative
10,36,3.6,0.264,0.711,95,256,51,negative
9,56,6.222,0.327,0.688,165,347,85,negative
6,7,1.167,0.452,0.833,19,35,9,negative
11,97,8.818,0.266,0.635,284,678,139,negative
10,9,0.9,0.344,0.856,31,77,18,negative
10,37,3.7,0.33,0.897,122,332,61,negative
10,14,1.4,0.314,0.9,44,126,23,negative
10,40,4,0.295,0.683,118,273,57,negative
10,41,4.1,0.266,0.539,109,221,55,negative
10,212,21.2,0.24,0.61,508,1293,274,negative
10,45,4.5,0.282,0.718,127,323,69,negative
8,18,2.25,0.403,1,58,144,36,negative
8,38,4.75,0.339,0.766,103,233,59,negative
7,45,6.429,0.381,0.771,120,243,54,negative
6,16,2.667,0.49,0.844,47,81,24,negative
9,40,4.444,0.275,0.875,99,315,62,negative
10,20,2,0.375,0.855,75,171,33,negative
8,16,2,0.406,0.93,52,119,31,negative
8,21,2.625,0.417,0.958,70,161,36,negative
8,7,0.875,0.357,0.964,20,54,11,negative
8,4,0.5,0.406,0.781,13,25,6,negative
8,32,4,0.387,0.895,99,229,61,negative
10,23,2.3,0.343,0.791,79,182,42,negative
7,9,1.286,0.397,0.841,25,53,9,negative
9,33,3.667,0.36,0.818,107,243,53,negative
6,4,0.667,0.5,0.75,12,18,2,negative
11,262,23.818,0.251,0.677,722,1951,391,negative
11,132,12,0.189,0.44,274,639,134,negative
8,168,21,0.32,0.909,430,1222,245,negative
8,9,1.125,0.278,0.5,20,36,7,negative
8,31,3.875,0.347,0.734,86,182,48,negative
7,72,10.286,0.405,0.845,204,426,110,negative
8,14,1.75,0.42,0.786,47,88,25,negative
9,39,4.333,0.308,0.709,108,249,64,negative
10,23,2.3,0.37,0.83,85,191,37,negative
7,31,4.429,0.396,0.862,86,187,41,negative
7,14,2,0.408,0.939,40,92,16,negative
7,9,1.286,0.429,0.667,27,42,9,negative
8,33,4.125,0.375,0.83,99,219,52,negative
7,18,2.571,0.413,0.952,52,120,28,negative
7,3,0.429,0.571,1,12,21,4,negative
8,28,3.5,0.397,0.996,89,223,43,negative
8,16,2,0.367,0.969,47,124,25,negative
8,6,0.75,0.313,0.792,15,38,5,negative
10,39,3.9,0.31,0.779,121,304,62,negative
10,22,2.2,0.332,0.714,73,157,34,negative
11,262,23.818,0.238,0.57,685,1643,373,negative
8,29,3.625,0.341,0.78,79,181,41,negative
10,45,4.5,0.296,0.584,133,263,65,negative
7,6,0.857,0.548,0.952,23,40,9,negative
7,31,4.429,0.461,0.922,100,200,47,negative
5,15,3,0.56,0.92,42,69,19,negative
10,261,26.1,0.264,0.679,689,1771,390,negative
10,100,10,0.267,0.724,267,724,147,negative
10,93,9.3,0.268,0.784,249,729,140,negative
10,59,5.9,0.251,0.763,148,450,87,negative
10,78,7.8,0.255,0.751,199,586,113,negative
8,25,3.125,0.3,0.59,60,118,27,negative
10,43,4.3,0.256,0.707,110,304,61,negative
9,10,1.111,0.389,0.889,35,80,18,negative
8,3,0.375,0.5,1,12,24,4,negative
8,36,4.5,0.323,0.781,93,225,50,negative
8,18,2.25,0.174,0.458,25,66,10,negative
8,7,0.875,0.339,0.964,19,54,14,negative
8,14,1.75,0.402,1,45,112,29,negative
8,46,5.75,0.356,0.957,131,352,73,negative
7,22,3.143,0.396,1,61,154,33,negative
7,20,2.857,0.464,0.986,65,138,28,negative
8,48,6,0.354,0.865,136,332,72,negative
7,9,1.286,0.46,0.889,29,56,12,negative
7,35,5,0.404,0.939,99,230,52,negative
7,8,1.143,0.411,0.714,23,40,10,negative
7,11,1.571,0.455,0.974,35,75,20,negative
7,25,3.571,0.349,0.737,61,129,27,negative
8,119,14.875,0.337,0.92,321,876,189,negative
8,39,4.875,0.304,0.756,95,236,69,negative
7,20,2.857,0.336,0.707,47,99,21,negative
7,4,0.571,0.393,1,11,28,5,negative
7,6,0.857,0.357,1,15,42,9,negative
10,35,3.5,0.091,0.157,32,55,12,negative
7,49,7,0.318,0.612,109,210,57,negative
7,3,0.429,0.571,1,12,21,3,negative
7,23,3.286,0.348,1,56,161,41,negative
5,23,4.6,0.452,0.913,52,105,29,negative
11,112,10.182,0.217,0.469,267,578,154,negative
8,23,2.875,0.321,0.897,59,165,39,negative
10,116,11.6,0.246,0.759,285,881,178,negative
10,25,2.5,0.332,0.772,83,193,44,negative
8,40,5,0.347,0.913,111,292,68,negative
10,48,4.8,0.3,0.556,144,267,67,negative
8,12,1.5,0.427,0.75,41,72,20,negative
8,18,2.25,0.354,0.757,51,109,31,negative
8,24,3,0.328,0.625,63,120,36,negative
8,16,2,0.383,0.781,49,100,29,negative
8,33,4.125,0.371,0.678,98,179,52,negative
8,53,6.625,0.38,0.915,161,388,86,negative
10,22,2.2,0.318,0.777,70,171,39,negative
10,176,17.6,0.257,0.583,452,1026,263,negative
7,12,1.714,0.405,0.988,34,83,21,negative
8,25,3.125,0.355,0.88,71,176,41,negative
7,36,5.143,0.409,0.861,103,217,56,negative
8,43,5.375,0.326,0.75,112,258,62,negative
7,12,1.714,0.452,0.952,38,80,19,negative
7,16,2.286,0.42,0.768,47,86,24,negative
10,22,2.2,0.277,0.595,61,131,35,negative
8,41,5.125,0.323,0.643,106,211,64,negative
6,8,1.333,0.458,0.729,22,35,9,negative
22,67,3.045,0.221,0.919,326,1354,112,negative
86,67,0.779,0.164,0.935,947,5386,399,positive
15,67,4.467,0.293,0.607,294,610,82,negative
12,69,5.75,0.407,0.833,337,690,107,negative
27,106,3.926,0.261,0.478,747,1368,137,negative
13,225,17.308,0.253,0.893,740,2612,226,negative
13,38,2.923,0.314,0.957,155,473,43,negative
24,177,7.375,0.508,0.927,2157,3939,268,negative
24,280,11.667,0.449,0.904,3018,6072,389,negative
