Day_Mins,Day_Charge,Eve_Charge,Intl_Mins,Intl_Charge,CustServ_Calls,Class
270.3,45.95,18.29,14.4,3.89,1,positive
156.6,26.62,19.06,11.3,3.05,1,negative
139.4,23.7,19.01,13.6,3.67,1,negative
220.2,37.43,16.01,11.7,3.16,2,negative
214.1,36.4,14.38,10.1,2.73,1,negative
196,33.32,18.14,7.9,2.13,1,negative
106.4,18.09,20.41,5.3,1.43,6,positive
179.4,30.5,23.41,10,2.7,0,negative
216.7,36.84,12.27,10.8,2.92,2,negative
177.3,30.14,12.99,5.1,1.38,0,negative
151.6,25.77,18.65,4,1.08,1,negative
262.2,44.57,14.04,10.6,2.86,0,negative
173.6,29.51,7.79,9.7,2.62,3,negative
106.6,18.12,12.53,9.6,2.59,2,negative
193.3,32.86,10.91,11.6,3.13,5,positive
217.2,36.92,11.79,11.3,3.05,0,negative
209.5,35.62,14.69,8.8,2.38,1,negative
95.4,16.22,17.61,5.6,1.51,1,negative
214.6,36.48,17.44,8.1,2.19,1,negative
131.6,22.37,17.96,11.1,3,4,positive
168.4,28.63,18.45,11.8,3.19,1,negative
146.4,24.89,15.01,7.8,2.11,1,negative
183,31.11,17.57,11.1,3,1,negative
103.3,17.56,20.9,6.4,1.73,0,negative
112.2,19.07,13.16,10.6,2.86,0,negative
170.7,29.02,15.22,8.2,2.21,3,negative
172.5,29.33,12.12,10.9,2.94,0,negative
194.3,33.03,20.67,7.1,1.92,1,negative
187.8,31.93,11.03,12,3.24,2,negative
307.1,52.21,24.6,8,2.16,0,negative
118.2,20.09,14.21,12.2,3.29,3,negative
154,26.18,17.5,12.9,3.48,1,negative
155.5,26.44,18.14,7.6,2.05,1,negative
125.6,21.35,18.11,5.4,1.46,1,negative
199.3,33.88,19.06,15.2,4.1,0,negative
157.9,26.84,15.37,12.8,3.46,1,negative
203.4,34.58,14.25,9.2,2.48,2,negative
222.2,37.77,18.57,10.9,2.94,1,negative
92.8,15.78,23.05,5.8,1.57,1,negative
216.8,36.86,8.69,8.6,2.32,0,negative
193.2,32.84,16.52,9.7,2.62,4,negative
113.2,19.24,16.09,14.1,3.81,3,negative
166.2,28.25,20.3,11.2,3.02,3,negative
262.2,44.57,13.35,7.3,1.97,1,negative
207.8,35.33,16.63,13.1,3.54,0,negative
245.4,41.72,12.6,7.5,2.03,1,negative
287.1,48.81,15.16,14.4,3.89,3,positive
192.3,32.69,14.05,9,2.43,2,negative
194.2,33.01,20.58,9.7,2.62,2,negative
211,35.87,18.45,9.8,2.65,3,negative
141.9,24.12,19.46,8.7,2.35,0,negative
220.5,37.49,20.36,5.9,1.59,2,negative
157.4,26.76,12.33,9.3,2.51,1,negative
143.5,24.4,19,11.2,3.02,0,negative
156,26.52,4.76,8.9,2.4,0,negative
160.1,27.22,17.71,9.2,2.48,2,negative
235.1,39.97,21.4,7.2,1.94,4,positive
160,27.2,17.81,8.7,2.35,5,positive
188.4,32.03,14.1,13.2,3.56,1,negative
194.8,33.12,20,11,2.97,1,negative
247.8,42.13,11.05,6.9,1.86,1,negative
221.2,37.6,18.16,11.9,3.21,4,negative
118.5,20.15,18.18,13.4,3.62,2,negative
231.8,39.41,19.8,7.6,2.05,1,negative
215.9,36.7,21.92,11.6,3.13,1,negative
217.1,36.91,18.77,8,2.16,2,negative
83.5,14.2,18.79,12.6,3.4,0,negative
183.3,31.16,17.43,5.1,1.38,1,negative
236.8,40.26,22.55,9.5,2.57,1,positive
193.8,32.95,16.6,8.5,2.3,1,negative
134,22.78,17.51,9.7,2.62,0,negative
176.6,30.02,14.68,11.3,3.05,2,negative
191.4,32.54,17.46,10.2,2.75,3,negative
174.8,29.72,18.67,12.8,3.46,0,negative
275.2,46.78,15.32,7.9,2.13,1,negative
174,29.58,20.49,7.9,2.13,1,negative
165,28.05,21.22,12.6,3.4,1,negative
228.7,38.88,14.34,11.8,3.19,1,negative
107.9,18.34,20.04,9.5,2.57,2,negative
221.3,37.62,13.41,11.3,3.05,1,negative
141.1,23.99,17.97,5.9,1.59,3,negative
166.4,28.29,20.26,10.7,2.89,4,negative
249.6,42.43,19.31,7.6,2.05,3,negative
178.6,30.36,18.11,10.9,2.94,1,negative
139,23.63,19.12,15.7,4.24,2,negative
134.3,22.83,17.2,12.6,3.4,2,negative
215.9,36.7,20.41,4.9,1.32,3,negative
181.6,30.87,18.12,11.4,3.08,1,negative
178.4,30.33,14.31,9.3,2.51,1,negative
106.4,18.09,11.92,11.4,3.08,1,negative
170.7,29.02,20.42,11.4,3.08,2,negative
184.5,31.37,15.57,12.3,3.32,0,negative
161.2,27.4,17.36,8.9,2.4,1,negative
84.9,14.43,21.89,7.5,2.03,2,negative
217.9,37.04,19.56,10.6,2.86,1,negative
270.9,46.05,19.23,8.8,2.38,0,positive
243,41.31,15.63,15.3,4.13,0,positive
128.2,21.79,4.09,8.9,2.4,0,negative
126.3,21.47,14.35,9.8,2.65,2,negative
178.7,30.38,18.33,10.6,2.86,4,negative
159,27.03,21.68,10.1,2.73,0,negative
150.9,25.65,13.75,11.7,3.16,3,negative
219.9,37.38,17.72,8.1,2.19,3,negative
168,28.56,16.35,10.1,2.73,2,negative
162.1,27.56,14.6,9.6,2.59,4,positive
198.8,33.8,16.62,16.5,4.46,5,negative
256.8,43.66,19.56,9.1,2.46,3,negative
182.8,31.08,18.08,11,2.97,1,negative
196.8,33.46,21.61,7.7,2.08,1,negative
140.1,23.82,19.67,11.2,3.02,2,negative
194.3,33.03,16.14,9,2.43,5,negative
117.6,19.99,18.19,8.8,2.38,1,negative
193.7,32.93,15.86,11.6,3.13,0,negative
243.1,41.33,19.67,7.8,2.11,2,negative
145.4,24.72,10.99,5.2,1.4,1,negative
169.1,28.75,14.44,9.9,2.67,3,negative
229.3,38.98,15.68,8.8,2.38,2,negative
197.2,33.52,17.99,8.3,2.24,4,negative
186.4,31.69,17.09,11.1,3,2,positive
76.1,12.94,24.68,10.8,2.92,0,negative
162.8,27.68,15.73,6,1.62,2,negative
182.3,30.99,16.93,18,4.86,1,negative
194.4,33.05,21.06,11.2,3.02,2,negative
189.3,32.18,10.08,12.5,3.38,2,negative
160.1,27.22,14.34,9.5,2.57,3,negative
145,24.65,20.46,7.1,1.92,3,negative
220.7,37.52,10.14,11.5,3.11,4,negative
224.7,38.2,11.43,7.5,2.03,1,positive
147,24.99,13.8,10.5,2.84,1,negative
260.8,44.34,18.14,10.1,2.73,1,negative
155.4,26.42,13.95,9,2.43,0,negative
166.2,28.25,21.7,5.4,1.46,1,negative
211.8,36.01,22.14,10.8,2.92,0,negative
130.5,22.19,17.71,11,2.97,4,positive
162.7,27.66,24.82,8.7,2.35,0,negative
237.1,40.31,22.46,7.9,2.13,1,negative
166.2,28.25,18.5,13.2,3.56,4,negative
121.7,20.69,10.69,8.3,2.24,6,positive
176.4,29.99,17.09,11.2,3.02,0,negative
67.4,11.46,20.74,11.4,3.08,2,negative
229.7,39.05,28.56,9.6,2.59,1,positive
176,29.92,23.62,14.7,3.97,1,negative
247.7,42.11,22.91,9.6,2.59,0,positive
115.4,19.62,22.32,13.1,3.54,2,negative
112.2,19.07,17.82,13.9,3.75,0,positive
162.6,27.64,13.09,11.5,3.11,0,negative
229.4,39,18.2,10.4,2.81,4,negative
139.6,23.73,10.56,15,4.05,2,negative
263.8,44.85,21.36,8.4,2.27,5,positive
217.5,36.98,19.86,9,2.43,4,negative
114.3,19.43,16.98,7.5,2.03,1,negative
196.3,33.37,11.63,7.7,2.08,2,negative
253.2,43.04,15.98,4.4,1.19,1,negative
98,16.66,20.46,10.5,2.84,0,negative
249.4,42.4,17.98,9.1,2.46,0,negative
129.6,22.03,19.81,14.5,3.92,1,negative
221.3,37.62,22.75,9.3,2.51,0,negative
220.7,37.52,15.11,12.4,3.35,1,negative
87.6,14.89,22.27,9.2,2.48,1,negative
203.6,34.61,13.74,8.4,2.27,0,negative
213.6,36.31,19.97,8.8,2.38,2,negative
181.6,30.87,18.76,12.9,3.48,2,negative
215.4,36.62,27.94,7.8,2.11,1,negative
266.3,45.27,17.66,14,3.78,2,positive
199.2,33.86,14.88,10.2,2.75,3,negative
115,19.55,11.71,7.3,1.97,3,negative
270.5,45.99,19.55,9.6,2.59,1,positive
222.2,37.77,13.01,12.9,3.48,1,negative
61.9,10.52,22.32,8.8,2.38,3,negative
141.1,23.99,21.17,10.8,2.92,2,negative
189.2,32.16,15.67,10.6,2.86,3,positive
196,33.32,15.81,9.8,2.65,3,negative
171.6,29.17,17.43,13.8,3.73,0,negative
174,29.58,13.71,11.4,3.08,2,negative
78.6,13.36,15.92,7.4,2,1,positive
200.9,34.15,13.97,8.9,2.4,1,negative
141.3,24.02,21.56,6.4,1.73,1,negative
235.8,40.09,14.96,7.3,1.97,2,negative
185.1,31.47,14.03,6.3,1.7,3,negative
254.3,43.23,6.71,11.8,3.19,2,negative
183,31.11,18.26,8.7,2.35,2,negative
163.5,27.8,23.36,7.5,2.03,2,negative
207.9,35.34,17.89,7.7,2.08,2,negative
248.6,42.26,14.87,6.1,1.65,3,negative
185.4,31.52,16.8,14.5,3.92,2,negative
197.8,33.63,18.79,8.9,2.4,1,negative
132.1,22.46,11.81,9.1,2.46,2,positive
197.1,33.51,19.36,9.3,2.51,0,negative
154.6,26.28,15.66,12.6,3.4,2,negative
153.1,26.03,15.8,10,2.7,6,positive
211.2,35.9,19.64,6.3,1.7,2,negative
96.8,16.46,12.12,10.9,2.94,2,positive
172,29.24,23.49,10.1,2.73,1,negative
141.1,23.99,12.51,8,2.16,2,negative
151.1,25.69,20.8,13.8,3.73,2,negative
209.6,35.63,19.45,7.6,2.05,3,negative
247,41.99,10.68,10.5,2.84,3,negative
221.4,37.64,14.09,10.8,2.92,1,negative
321.3,54.62,14.27,8,2.16,1,positive
243.7,41.43,5.1,11.3,3.05,0,negative
251.5,42.76,18.21,11.1,3,3,negative
236.9,40.27,13.4,7.3,1.97,0,positive
159.7,27.15,18.42,9.3,2.51,2,negative
148.2,25.19,18.73,9.2,2.48,4,positive
150.9,25.65,22.83,14.7,3.97,1,negative
210.5,35.79,21.29,11.5,3.11,1,negative
170.9,29.05,17.12,4.1,1.11,2,negative
254.7,43.3,7.67,10.6,2.86,0,negative
284.4,48.35,13.35,8.4,2.27,0,positive
0,0,13.57,6.8,1.84,4,positive
133.7,22.73,15.96,10.7,2.89,1,positive
224.9,38.23,16.31,10.3,2.78,0,negative
151.8,25.81,17.84,11.9,3.21,1,negative
141.4,24.04,13.86,5.6,1.51,2,negative
285.7,48.57,19.63,14.8,4,0,positive
58.4,9.93,22.29,11.9,3.21,1,negative
90.4,15.37,17.11,13.1,3.54,0,negative
114.4,19.45,18.41,11,2.97,0,negative
147.7,25.11,18.93,12.8,3.46,2,negative
302.7,51.46,20.44,13.6,3.67,3,negative
136.1,23.14,17.36,11.3,3.05,1,negative
169.7,28.85,14.1,12.8,3.46,3,negative
227.2,38.62,16.52,14.9,4.02,0,negative
217.8,37.03,18.75,10.3,2.78,1,positive
124.2,21.11,10.53,13.1,3.54,2,negative
206.2,35.05,19.75,13.6,3.67,1,negative
132.9,22.59,5.7,9.9,2.67,3,negative
104.9,17.83,20.2,7.7,2.08,3,negative
245,41.65,21.31,13.7,3.7,1,positive
184.5,31.37,19.04,11.6,3.13,1,negative
89.5,15.22,15.24,12.3,3.32,3,negative
235.6,40.05,16.56,8.6,2.32,1,negative
186,31.62,22.3,11.5,3.11,4,negative
223.9,38.06,13.23,7.3,1.97,1,negative
179.5,30.52,13.8,6.6,1.78,1,negative
169.4,28.8,21.55,8.9,2.4,1,negative
118.1,20.08,12.27,8.2,2.21,1,negative
112,19.04,16.46,4.1,1.11,4,positive
168.4,28.63,19.2,8.5,2.3,0,negative
214.3,36.43,16,11.3,3.05,0,negative
245.7,41.77,20.56,4.2,1.13,4,positive
156.6,26.62,6.04,13.4,3.62,1,negative
142.8,24.28,23.15,8.9,2.4,1,negative
202.4,34.41,19.61,10.2,2.75,3,negative
116.8,19.86,10.46,12,3.24,1,negative
155.7,26.47,22.13,11,2.97,1,negative
236.1,40.14,24.58,9.1,2.46,2,negative
138.1,23.48,22.11,8.2,2.21,2,negative
51.9,8.82,13.77,10.1,2.73,3,negative
81.3,13.82,18.75,8.9,2.4,0,negative
171.5,29.16,13.01,7.1,1.92,0,negative
126,21.42,12.27,7.6,2.05,1,negative
197.2,33.52,13.26,9.9,2.67,4,negative
194.1,33,19.31,15.3,4.13,1,negative
115.7,19.67,10.86,9.3,2.51,1,negative
157.2,26.72,16.69,8.4,2.27,3,negative
269.7,45.85,17.65,4.5,1.22,3,positive
246.4,41.89,19.39,9.1,2.46,0,negative
227.4,38.66,22.82,13,3.51,1,negative
189.8,32.27,9.82,12.2,3.29,0,negative
188.9,32.11,13.68,11.5,3.11,4,negative
0,0,16.33,7.2,1.94,1,negative
110.5,18.79,19.36,11,2.97,1,negative
167.6,28.49,18.63,11.7,3.16,4,negative
132,22.44,16.79,0,0,3,negative
167.8,28.53,21.07,11.9,3.21,0,negative
213.4,36.28,17.4,5.7,1.54,1,negative
175.4,29.82,8.36,10.6,2.86,0,negative
82.6,14.04,19.07,9.5,2.57,3,negative
143.2,24.34,7.49,8.8,2.38,4,positive
125.5,21.34,22.93,8.9,2.4,1,negative
82.3,13.99,21.77,11.8,3.19,6,positive
165.6,28.15,16.65,11.8,3.19,1,negative
183.1,31.13,19.77,8.4,2.27,0,negative
162.1,27.56,18.03,12.2,3.29,1,negative
166.6,28.32,16.35,7.7,2.08,1,negative
135.9,23.1,19.82,9.4,2.54,1,negative
165.7,28.17,18.33,9.8,2.65,0,negative
176.1,29.94,14.87,9.7,2.62,1,negative
142.3,24.19,17.38,9.1,2.46,0,negative
177.6,30.19,25.23,7.6,2.05,3,negative
83.2,14.14,16.2,10.7,2.89,1,negative
235,39.95,15.58,5.7,1.54,2,negative
105.7,17.97,12.05,6.6,1.78,2,negative
149.4,25.4,14.61,17.9,4.83,3,positive
264.7,45,18.4,10.4,2.81,0,negative
160.3,27.25,18.83,5.6,1.51,1,negative
95.9,16.3,13.56,10.4,2.81,1,negative
140.7,23.92,16.59,11.7,3.16,0,negative
119.7,20.35,19.7,4.6,1.24,2,negative
99.9,16.98,22.4,9.8,2.65,2,negative
250.9,42.65,14.57,9.6,2.59,2,negative
200.6,34.1,24.61,11.2,3.02,2,negative
209.8,35.67,16.71,7,1.89,1,negative
198,33.66,23.26,7.6,2.05,1,negative
239.8,40.77,10.96,11.3,3.05,1,negative
164.5,27.97,12.57,11.2,3.02,0,negative
220.9,37.55,16.34,12.2,3.29,1,negative
112.8,19.18,20.73,13.2,3.56,2,negative
112.6,19.14,22.24,11.1,3,0,positive
226.4,38.49,19.95,10.8,2.92,1,negative
244.9,41.63,18.67,9.7,2.62,4,negative
203.2,34.54,20.04,15.1,4.08,2,negative
136.7,23.24,20.66,8.6,2.32,0,negative
152.6,25.94,17.76,5,1.35,1,negative
274.9,46.73,15.86,8.8,2.38,1,negative
195.7,33.27,17.77,8.3,2.24,1,positive
204.3,34.73,16.05,9.2,2.48,1,negative
222.3,37.79,12.43,8.9,2.4,3,negative
222.5,37.83,14.58,9.7,2.62,1,negative
128.8,21.9,13.37,10.3,2.78,2,negative
174.3,29.63,14.56,8.3,2.24,0,negative
242.5,41.23,13.8,7.8,2.11,4,negative
221.6,37.67,24.24,12.7,3.43,4,negative
114.3,19.43,18.79,10.9,2.94,0,negative
219.7,37.35,15.88,9.5,2.57,2,negative
144.9,24.63,12.86,12.3,3.32,2,negative
236.5,40.21,9.95,8.1,2.19,2,negative
174,29.58,17.8,14.1,3.81,2,positive
109.5,18.62,28.23,6.6,1.78,1,negative
81.6,13.87,20.03,9.9,2.67,1,negative
133.4,22.68,10.29,5.9,1.59,1,negative
137.1,23.31,17.83,8.6,2.32,1,negative
197,33.49,16.18,16.1,4.35,0,negative
198.1,33.68,13.32,9.3,2.51,3,negative
39.5,6.72,22.47,10,2.7,0,negative
199.5,33.92,17.64,8.1,2.19,2,negative
156.8,26.66,18.34,7.6,2.05,1,negative
183.4,31.18,20.2,9,2.43,3,negative
132.4,22.51,10.34,8.6,2.32,1,negative
63.2,10.74,18.72,5.1,1.38,0,negative
181.1,30.79,18.35,16.9,4.56,0,positive
117.5,19.98,17.58,4.2,1.13,3,negative
218.7,37.18,13.89,15,4.05,0,negative
207.3,35.24,11.67,5.9,1.59,1,negative
150.6,25.6,25.63,8.1,2.19,0,negative
273.3,46.46,22.41,12,3.24,1,positive
266.1,45.24,15.47,10.3,2.78,1,negative
112.8,19.18,13.32,16.3,4.4,0,negative
104.7,17.8,6.99,15.8,4.27,3,negative
193.8,32.95,16.8,5.9,1.59,0,negative
168.6,28.66,25.33,9.8,2.65,1,negative
253.2,43.04,17.09,9.7,2.62,2,negative
174.7,29.7,19.73,8.9,2.4,1,negative
87,14.79,16.46,11,2.97,0,negative
204.5,34.77,11.29,14.8,4,2,negative
226.5,38.51,12.93,9.4,2.54,3,negative
234.1,39.8,13.86,10,2.7,1,negative
133.3,22.66,15.55,12.9,3.48,3,positive
133.9,22.76,14.14,15.4,4.16,1,negative
160.2,27.23,11.81,9.7,2.62,0,negative
230.6,39.2,19.05,11.1,3,0,negative
227.4,38.66,14.96,6.3,1.7,2,negative
72.8,12.38,22.7,11.8,3.19,2,negative
196.1,33.34,25.2,7,1.89,1,negative
197.1,33.51,14.1,12.8,3.46,1,negative
219.6,37.33,25.78,9.7,2.62,1,negative
153.4,26.08,12.87,12.8,3.46,4,positive
216,36.72,15.89,4.9,1.32,2,negative
222.9,37.89,22.27,10.8,2.92,0,negative
115.9,19.7,20.11,11.7,3.16,3,negative
189.8,32.27,12.55,10.6,2.86,1,negative
154.7,26.3,25.33,11.1,3,0,negative
136.4,23.19,17.21,11.5,3.11,3,negative
170.5,28.99,23.59,12.2,3.29,1,negative
272.4,46.31,9.17,12.7,3.43,0,negative
210,35.7,19.78,5.9,1.59,8,negative
236.5,40.21,13.86,12.2,3.29,2,negative
153.9,26.16,18.71,8.5,2.3,2,negative
223,37.91,19.3,8.8,2.38,1,negative
252.4,42.91,14.27,10.7,2.89,2,negative
197.9,33.64,14.29,12,3.24,1,negative
152.4,25.91,23.34,6.6,1.78,3,negative
237.4,40.36,14.95,9.2,2.48,3,negative
265.6,45.15,15.36,8.6,2.32,1,negative
197.3,33.54,25.99,6.7,1.81,1,negative
199.1,33.85,18.85,4.2,1.13,1,negative
233.7,39.73,17.67,12,3.24,2,negative
183.1,31.13,13.61,7,1.89,1,negative
139.4,23.7,12.19,10,2.7,2,negative
213.9,36.36,22.14,8.4,2.27,1,positive
207.1,35.21,17.01,12.4,3.35,1,negative
139.7,23.75,17.22,11.3,3.05,2,negative
177.2,30.12,19.44,8.9,2.4,2,negative
169.8,28.87,14.76,9.5,2.57,2,negative
173.5,29.5,20.77,9.7,2.62,3,negative
159.9,27.18,14.64,5.6,1.51,1,negative
115.1,19.57,16.73,11.4,3.08,2,negative
136.8,23.26,15.26,12.5,3.38,2,negative
92.2,15.67,17.95,13.1,3.54,1,negative
243.9,41.46,11.31,13.4,3.62,2,negative
117.1,19.91,20.01,9,2.43,0,negative
223.3,37.96,14.2,4.5,1.22,0,positive
154.8,26.32,14.58,10.6,2.86,3,negative
261.4,44.44,18.33,8,2.16,1,positive
46.5,7.91,15.81,9.6,2.59,4,positive
149.9,25.48,14.53,11.5,3.11,0,positive
242.2,41.17,19.22,13.9,3.75,2,positive
259.4,44.1,14.68,10.7,2.89,1,positive
222.4,37.81,15.79,12,3.24,2,negative
69.4,11.8,16.22,8.9,2.4,0,negative
156.5,26.61,17.78,11.1,3,4,positive
61.2,10.4,7.85,13.7,3.7,5,positive
245.2,41.68,8.63,10.7,2.89,0,negative
102.3,17.39,11.49,15.7,4.24,3,negative
230.9,39.25,14.25,7.6,2.05,3,negative
227.4,38.66,17.98,11.9,3.21,0,negative
192.8,32.78,13.43,12.7,3.43,1,negative
162.6,27.64,17.53,8.2,2.21,1,negative
219.4,37.3,15.34,11,2.97,2,negative
137.2,23.32,14.1,14.3,3.86,1,negative
87.7,14.91,23.65,10.5,2.84,1,negative
271.1,46.09,14.62,10.3,2.78,1,negative
103.4,17.58,16.09,14.4,3.89,1,negative
52.2,8.87,18.71,11.4,3.08,2,negative
165.4,28.12,23.26,8.7,2.35,0,positive
147.5,25.08,16.29,16.4,4.43,2,negative
217.8,37.03,18.25,11.3,3.05,0,negative
235.7,40.07,11.64,13.3,3.59,1,negative
204.5,34.77,11.87,8.6,2.32,2,negative
178.4,30.33,21,9.6,2.59,0,negative
130.1,22.12,21.01,13.5,3.65,2,negative
103.7,17.63,20.09,14.8,4,2,negative
239.9,40.78,15.05,5.9,1.59,2,negative
148.4,25.23,22.7,8.9,2.4,0,negative
148.6,25.26,17.92,10,2.7,2,negative
191.1,32.49,10.98,12.9,3.48,0,negative
218.5,37.15,9.58,7.3,1.97,1,negative
97.5,16.58,16.64,0,0,1,negative
128.7,21.88,10,10.8,2.92,0,negative
236.6,40.22,16.79,9.5,2.57,2,negative
85.9,14.6,19.27,15.6,4.21,0,negative
141.2,24,14.25,11.4,3.08,1,negative
194.4,33.05,14.96,11.5,3.11,0,negative
167.6,28.49,13.13,17.3,4.67,2,negative
234.5,39.87,13.96,6.1,1.65,1,negative
154.2,26.21,16.72,10.1,2.73,1,negative
143.2,24.34,14.44,11.6,3.13,1,negative
216.4,36.79,21.22,12.7,3.43,1,negative
161.9,27.52,12.85,8.5,2.3,1,negative
118.7,20.18,17.43,10.4,2.81,3,negative
179.1,30.45,16.71,10.2,2.75,1,negative
147.9,25.14,17.79,8.8,2.38,2,negative
209.2,35.56,9.91,16.5,4.46,2,negative
244.3,41.53,27.4,10.6,2.86,0,negative
175.3,29.8,22.3,5.6,1.51,1,negative
150.5,25.59,10.23,9,2.43,1,negative
197.4,33.56,25.13,13.2,3.56,0,negative
163.5,27.8,12.21,12.6,3.4,1,negative
236.9,40.27,16.8,11.4,3.08,2,positive
82.3,13.99,14.21,7.2,1.94,1,negative
216,36.72,13.06,12.7,3.43,1,negative
180,30.6,16.9,12.4,3.35,1,negative
143.7,24.43,14.71,5.8,1.57,1,negative
198.2,33.69,23.83,11.3,3.05,1,negative
185.6,31.55,18.67,11.1,3,2,negative
137.6,23.39,13.77,5.8,1.57,3,negative
273.9,46.56,23.68,10.9,2.94,1,positive
125.3,21.3,12,6.3,1.7,3,negative
178.8,30.4,14.27,8.6,2.32,3,negative
214.9,36.53,16.85,8.2,2.21,0,negative
163,27.71,17.33,15.1,4.08,2,negative
163.8,27.85,11.47,8.8,2.38,2,negative
189.5,32.22,17.42,13.4,3.62,1,negative
155.2,26.38,19.63,4.5,1.22,0,negative
242.3,41.19,29.83,11.3,3.05,0,positive
254.1,43.2,15.32,8.7,2.35,3,negative
112,19.04,17.68,11.3,3.05,2,negative
115.5,19.64,22.72,13.3,3.59,3,negative
137.1,23.31,17.92,11.1,3,1,negative
198.4,33.73,20.05,10.1,2.73,0,negative
132.7,22.56,17.39,12.9,3.48,3,negative
219.6,37.33,17.88,13.8,3.73,2,negative
169.6,28.83,19.95,11.2,3.02,0,negative
160.4,27.27,24.98,12.6,3.4,4,negative
95,16.15,14.27,11.2,3.02,0,negative
160.1,27.22,21.82,7,1.89,2,negative
194.6,33.08,19.79,3.8,1.03,3,negative
236.4,40.19,24.42,13.8,3.73,1,positive
157.1,26.71,18.11,7.6,2.05,2,negative
179.8,30.57,14.72,10.9,2.94,0,negative
148.2,25.19,13.75,11,2.97,0,negative
183.2,31.14,17.8,11.9,3.21,1,negative
119.2,20.26,14.31,12.2,3.29,4,positive
224,38.08,16.32,9.6,2.59,0,negative
19.5,3.32,11.98,7.9,2.13,0,negative
184.8,31.42,21.13,9.6,2.59,1,negative
176.3,29.97,17.09,11.3,3.05,1,negative
241.7,41.09,14.32,11.1,3,2,negative
224.7,38.2,24.99,9.8,2.65,0,negative
207.3,35.24,16.86,8.6,2.32,1,negative
196.8,33.46,14.28,12.7,3.43,2,negative
110.9,18.85,9.83,15.8,4.27,1,negative
122.5,20.83,23.23,8,2.16,2,negative
226.9,38.57,17.14,13.2,3.56,2,negative
187,31.79,12.02,10,2.7,2,negative
170.5,28.99,16.42,11.2,3.02,0,negative
204.8,34.82,13.69,9.5,2.57,0,negative
165.9,28.2,20.05,12,3.24,2,negative
154,26.18,16.91,9.5,2.57,4,positive
158.1,26.88,27.39,8.9,2.4,1,negative
225.2,38.28,18.28,9.1,2.46,2,negative
159.4,27.1,15.26,9.7,2.62,6,positive
172.7,29.36,11.82,11.7,3.16,2,negative
222.8,37.88,14.94,11,2.97,3,negative
214.1,36.4,20.44,10.1,2.73,1,negative
54.8,9.32,14.71,7.5,2.03,1,negative
134,22.78,14.83,7.3,1.97,3,negative
184.8,31.42,14.88,10.5,2.84,1,negative
283.1,48.13,24.33,11.3,3.05,3,negative
291.8,49.61,18.22,9.9,2.67,0,positive
222.7,37.86,8.99,13.5,3.65,1,negative
174.5,29.67,20.13,8.5,2.3,0,negative
68.4,11.63,16.43,10.4,2.81,0,negative
273,46.41,18.32,9.6,2.59,1,negative
225.3,38.3,9.2,17.3,4.67,1,positive
283.2,48.14,13.82,7.2,1.94,1,negative
131.4,22.34,18.67,11.1,3,1,positive
89.7,15.25,11.78,10.7,2.89,1,negative
127.1,21.61,21.05,5,1.35,3,negative
105.9,18,19.69,10.7,2.89,1,negative
142.3,24.19,13.43,6,1.62,2,negative
191.3,32.52,11.77,6.4,1.73,2,negative
201.9,34.32,13.29,13.7,3.7,0,negative
247.3,42.04,15.53,14.7,3.97,3,negative
242.2,41.17,13.57,8.9,2.4,1,negative
127.3,21.64,18.9,13.7,3.7,5,positive
162,27.54,20.5,10.9,2.94,1,negative
179.1,30.45,20.26,10.6,2.86,2,negative
197.4,33.56,10.49,12.3,3.32,3,negative
148.2,25.19,26.24,6.4,1.73,2,negative
193.1,32.83,14.63,10.2,2.75,0,negative
171.7,29.19,14.86,7.8,2.11,1,negative
198.5,33.75,23,8.1,2.19,1,negative
121.7,20.69,15.64,12.7,3.43,1,negative
130.2,22.13,23.63,14,3.78,2,negative
203.4,34.58,14.33,13.7,3.7,2,negative
174.7,29.7,23.87,10.5,2.84,5,negative
241,40.97,19.7,9.9,2.67,1,positive
141.7,24.09,18.79,10.2,2.75,0,negative
134.8,22.92,14.21,7.7,2.08,2,negative
163.1,27.73,21.2,9,2.43,1,negative
145.5,24.74,19.41,8.9,2.4,1,negative
329.8,56.07,17.71,10.6,2.86,0,positive
194.5,33.07,15.84,12.7,3.43,2,negative
131.9,22.42,23.18,7.1,1.92,1,negative
150,25.5,13.55,8.5,2.3,1,negative
196.6,33.42,20.52,12.9,3.48,2,negative
99.7,16.95,12.33,14.1,3.81,2,negative
143.6,24.41,12.05,10.8,2.92,3,negative
231.9,39.42,18,12.3,3.32,2,negative
37.8,6.43,13.2,14.2,3.83,3,negative
72.8,12.38,15.84,10.5,2.84,3,negative
94.8,16.12,18.62,11.4,3.08,1,negative
221.8,37.71,17.9,12.4,3.35,1,negative
269,45.73,19.86,7.3,1.97,2,positive
268.3,45.61,15.77,6.3,1.7,1,positive
198.7,33.78,21.17,12.5,3.38,1,negative
115.5,19.64,18.54,11.5,3.11,7,positive
202.1,34.36,16.63,13.3,3.59,2,negative
215.6,36.65,17.05,12.4,3.35,1,negative
169.9,28.88,17.8,11.5,3.11,1,negative
201.7,34.29,14.4,6,1.62,0,negative
221.1,37.59,13.62,8.4,2.27,4,negative
218.7,37.18,9.78,9.4,2.54,2,negative
293.7,49.93,23.16,11,2.97,2,positive
120.3,20.45,20.43,7.7,2.08,4,positive
175.8,29.89,17.56,11.1,3,2,negative
278.5,47.35,20.46,11.6,3.13,1,positive
