Day_Mins,Day_Charge,Intl_Mins,Intl_Charge,CustServ_Calls,Class
169.7,28.85,12.8,3.46,3,negative
227.2,38.62,14.9,4.02,0,negative
217.8,37.03,10.3,2.78,1,positive
124.2,21.11,13.1,3.54,2,negative
206.2,35.05,13.6,3.67,1,negative
132.9,22.59,9.9,2.67,3,negative
104.9,17.83,7.7,2.08,3,negative
245,41.65,13.7,3.7,1,positive
184.5,31.37,11.6,3.13,1,negative
89.5,15.22,12.3,3.32,3,negative
235.6,40.05,8.6,2.32,1,negative
186,31.62,11.5,3.11,4,negative
223.9,38.06,7.3,1.97,1,negative
179.5,30.52,6.6,1.78,1,negative
169.4,28.8,8.9,2.4,1,negative
118.1,20.08,8.2,2.21,1,negative
112,19.04,4.1,1.11,4,positive
168.4,28.63,8.5,2.3,0,negative
214.3,36.43,11.3,3.05,0,negative
245.7,41.77,4.2,1.13,4,positive
156.6,26.62,13.4,3.62,1,negative
142.8,24.28,8.9,2.4,1,negative
202.4,34.41,10.2,2.75,3,negative
116.8,19.86,12,3.24,1,negative
155.7,26.47,11,2.97,1,negative
236.1,40.14,9.1,2.46,2,negative
138.1,23.48,8.2,2.21,2,negative
51.9,8.82,10.1,2.73,3,negative
81.3,13.82,8.9,2.4,0,negative
171.5,29.16,7.1,1.92,0,negative
126,21.42,7.6,2.05,1,negative
197.2,33.52,9.9,2.67,4,negative
194.1,33,15.3,4.13,1,negative
115.7,19.67,9.3,2.51,1,negative
157.2,26.72,8.4,2.27,3,negative
269.7,45.85,4.5,1.22,3,positive
246.4,41.89,9.1,2.46,0,negative
227.4,38.66,13,3.51,1,negative
189.8,32.27,12.2,3.29,0,negative
188.9,32.11,11.5,3.11,4,negative
0,0,7.2,1.94,1,negative
110.5,18.79,11,2.97,1,negative
167.6,28.49,11.7,3.16,4,negative
132,22.44,0,0,3,negative
167.8,28.53,11.9,3.21,0,negative
213.4,36.28,5.7,1.54,1,negative
175.4,29.82,10.6,2.86,0,negative
82.6,14.04,9.5,2.57,3,negative
143.2,24.34,8.8,2.38,4,positive
125.5,21.34,8.9,2.4,1,negative
82.3,13.99,11.8,3.19,6,positive
165.6,28.15,11.8,3.19,1,negative
183.1,31.13,8.4,2.27,0,negative
162.1,27.56,12.2,3.29,1,negative
166.6,28.32,7.7,2.08,1,negative
135.9,23.1,9.4,2.54,1,negative
165.7,28.17,9.8,2.65,0,negative
176.1,29.94,9.7,2.62,1,negative
142.3,24.19,9.1,2.46,0,negative
177.6,30.19,7.6,2.05,3,negative
83.2,14.14,10.7,2.89,1,negative
235,39.95,5.7,1.54,2,negative
105.7,17.97,6.6,1.78,2,negative
149.4,25.4,17.9,4.83,3,positive
264.7,45,10.4,2.81,0,negative
160.3,27.25,5.6,1.51,1,negative
95.9,16.3,10.4,2.81,1,negative
140.7,23.92,11.7,3.16,0,negative
119.7,20.35,4.6,1.24,2,negative
99.9,16.98,9.8,2.65,2,negative
250.9,42.65,9.6,2.59,2,negative
200.6,34.1,11.2,3.02,2,negative
209.8,35.67,7,1.89,1,negative
198,33.66,7.6,2.05,1,negative
239.8,40.77,11.3,3.05,1,negative
164.5,27.97,11.2,3.02,0,negative
220.9,37.55,12.2,3.29,1,negative
112.8,19.18,13.2,3.56,2,negative
112.6,19.14,11.1,3,0,positive
226.4,38.49,10.8,2.92,1,negative
244.9,41.63,9.7,2.62,4,negative
203.2,34.54,15.1,4.08,2,negative
136.7,23.24,8.6,2.32,0,negative
152.6,25.94,5,1.35,1,negative
274.9,46.73,8.8,2.38,1,negative
195.7,33.27,8.3,2.24,1,positive
204.3,34.73,9.2,2.48,1,negative
222.3,37.79,8.9,2.4,3,negative
222.5,37.83,9.7,2.62,1,negative
128.8,21.9,10.3,2.78,2,negative
174.3,29.63,8.3,2.24,0,negative
242.5,41.23,7.8,2.11,4,negative
221.6,37.67,12.7,3.43,4,negative
114.3,19.43,10.9,2.94,0,negative
219.7,37.35,9.5,2.57,2,negative
144.9,24.63,12.3,3.32,2,negative
236.5,40.21,8.1,2.19,2,negative
174,29.58,14.1,3.81,2,positive
109.5,18.62,6.6,1.78,1,negative
81.6,13.87,9.9,2.67,1,negative
133.4,22.68,5.9,1.59,1,negative
137.1,23.31,8.6,2.32,1,negative
197,33.49,16.1,4.35,0,negative
198.1,33.68,9.3,2.51,3,negative
39.5,6.72,10,2.7,0,negative
199.5,33.92,8.1,2.19,2,negative
156.8,26.66,7.6,2.05,1,negative
183.4,31.18,9,2.43,3,negative
132.4,22.51,8.6,2.32,1,negative
63.2,10.74,5.1,1.38,0,negative
181.1,30.79,16.9,4.56,0,positive
117.5,19.98,4.2,1.13,3,negative
218.7,37.18,15,4.05,0,negative
207.3,35.24,5.9,1.59,1,negative
150.6,25.6,8.1,2.19,0,negative
273.3,46.46,12,3.24,1,positive
266.1,45.24,10.3,2.78,1,negative
112.8,19.18,16.3,4.4,0,negative
104.7,17.8,15.8,4.27,3,negative
193.8,32.95,5.9,1.59,0,negative
168.6,28.66,9.8,2.65,1,negative
253.2,43.04,9.7,2.62,2,negative
174.7,29.7,8.9,2.4,1,negative
87,14.79,11,2.97,0,negative
204.5,34.77,14.8,4,2,negative
226.5,38.51,9.4,2.54,3,negative
234.1,39.8,10,2.7,1,negative
133.3,22.66,12.9,3.48,3,positive
133.9,22.76,15.4,4.16,1,negative
160.2,27.23,9.7,2.62,0,negative
230.6,39.2,11.1,3,0,negative
227.4,38.66,6.3,1.7,2,negative
72.8,12.38,11.8,3.19,2,negative
196.1,33.34,7,1.89,1,negative
197.1,33.51,12.8,3.46,1,negative
219.6,37.33,9.7,2.62,1,negative
153.4,26.08,12.8,3.46,4,positive
216,36.72,4.9,1.32,2,negative
222.9,37.89,10.8,2.92,0,negative
115.9,19.7,11.7,3.16,3,negative
189.8,32.27,10.6,2.86,1,negative
154.7,26.3,11.1,3,0,negative
136.4,23.19,11.5,3.11,3,negative
170.5,28.99,12.2,3.29,1,negative
272.4,46.31,12.7,3.43,0,negative
210,35.7,5.9,1.59,8,negative
236.5,40.21,12.2,3.29,2,negative
153.9,26.16,8.5,2.3,2,negative
223,37.91,8.8,2.38,1,negative
252.4,42.91,10.7,2.89,2,negative
197.9,33.64,12,3.24,1,negative
152.4,25.91,6.6,1.78,3,negative
237.4,40.36,9.2,2.48,3,negative
265.6,45.15,8.6,2.32,1,negative
197.3,33.54,6.7,1.81,1,negative
199.1,33.85,4.2,1.13,1,negative
233.7,39.73,12,3.24,2,negative
183.1,31.13,7,1.89,1,negative
139.4,23.7,10,2.7,2,negative
213.9,36.36,8.4,2.27,1,positive
207.1,35.21,12.4,3.35,1,negative
139.7,23.75,11.3,3.05,2,negative
177.2,30.12,8.9,2.4,2,negative
169.8,28.87,9.5,2.57,2,negative
173.5,29.5,9.7,2.62,3,negative
159.9,27.18,5.6,1.51,1,negative
115.1,19.57,11.4,3.08,2,negative
136.8,23.26,12.5,3.38,2,negative
92.2,15.67,13.1,3.54,1,negative
243.9,41.46,13.4,3.62,2,negative
117.1,19.91,9,2.43,0,negative
223.3,37.96,4.5,1.22,0,positive
154.8,26.32,10.6,2.86,3,negative
261.4,44.44,8,2.16,1,positive
46.5,7.91,9.6,2.59,4,positive
149.9,25.48,11.5,3.11,0,positive
242.2,41.17,13.9,3.75,2,positive
259.4,44.1,10.7,2.89,1,positive
222.4,37.81,12,3.24,2,negative
69.4,11.8,8.9,2.4,0,negative
156.5,26.61,11.1,3,4,positive
61.2,10.4,13.7,3.7,5,positive
245.2,41.68,10.7,2.89,0,negative
102.3,17.39,15.7,4.24,3,negative
230.9,39.25,7.6,2.05,3,negative
227.4,38.66,11.9,3.21,0,negative
192.8,32.78,12.7,3.43,1,negative
162.6,27.64,8.2,2.21,1,negative
219.4,37.3,11,2.97,2,negative
137.2,23.32,14.3,3.86,1,negative
87.7,14.91,10.5,2.84,1,negative
271.1,46.09,10.3,2.78,1,negative
103.4,17.58,14.4,3.89,1,negative
52.2,8.87,11.4,3.08,2,negative
165.4,28.12,8.7,2.35,0,positive
147.5,25.08,16.4,4.43,2,negative
217.8,37.03,11.3,3.05,0,negative
235.7,40.07,13.3,3.59,1,negative
204.5,34.77,8.6,2.32,2,negative
178.4,30.33,9.6,2.59,0,negative
130.1,22.12,13.5,3.65,2,negative
103.7,17.63,14.8,4,2,negative
239.9,40.78,5.9,1.59,2,negative
148.4,25.23,8.9,2.4,0,negative
148.6,25.26,10,2.7,2,negative
191.1,32.49,12.9,3.48,0,negative
218.5,37.15,7.3,1.97,1,negative
97.5,16.58,0,0,1,negative
128.7,21.88,10.8,2.92,0,negative
236.6,40.22,9.5,2.57,2,negative
85.9,14.6,15.6,4.21,0,negative
141.2,24,11.4,3.08,1,negative
194.4,33.05,11.5,3.11,0,negative
167.6,28.49,17.3,4.67,2,negative
234.5,39.87,6.1,1.65,1,negative
154.2,26.21,10.1,2.73,1,negative
143.2,24.34,11.6,3.13,1,negative
216.4,36.79,12.7,3.43,1,negative
161.9,27.52,8.5,2.3,1,negative
118.7,20.18,10.4,2.81,3,negative
179.1,30.45,10.2,2.75,1,negative
147.9,25.14,8.8,2.38,2,negative
209.2,35.56,16.5,4.46,2,negative
244.3,41.53,10.6,2.86,0,negative
175.3,29.8,5.6,1.51,1,negative
150.5,25.59,9,2.43,1,negative
197.4,33.56,13.2,3.56,0,negative
163.5,27.8,12.6,3.4,1,negative
236.9,40.27,11.4,3.08,2,positive
82.3,13.99,7.2,1.94,1,negative
216,36.72,12.7,3.43,1,negative
180,30.6,12.4,3.35,1,negative
143.7,24.43,5.8,1.57,1,negative
198.2,33.69,11.3,3.05,1,negative
185.6,31.55,11.1,3,2,negative
137.6,23.39,5.8,1.57,3,negative
273.9,46.56,10.9,2.94,1,positive
125.3,21.3,6.3,1.7,3,negative
178.8,30.4,8.6,2.32,3,negative
214.9,36.53,8.2,2.21,0,negative
163,27.71,15.1,4.08,2,negative
163.8,27.85,8.8,2.38,2,negative
189.5,32.22,13.4,3.62,1,negative
155.2,26.38,4.5,1.22,0,negative
242.3,41.19,11.3,3.05,0,positive
254.1,43.2,8.7,2.35,3,negative
112,19.04,11.3,3.05,2,negative
115.5,19.64,13.3,3.59,3,negative
137.1,23.31,11.1,3,1,negative
198.4,33.73,10.1,2.73,0,negative
132.7,22.56,12.9,3.48,3,negative
219.6,37.33,13.8,3.73,2,negative
169.6,28.83,11.2,3.02,0,negative
160.4,27.27,12.6,3.4,4,negative
95,16.15,11.2,3.02,0,negative
160.1,27.22,7,1.89,2,negative
194.6,33.08,3.8,1.03,3,negative
236.4,40.19,13.8,3.73,1,positive
157.1,26.71,7.6,2.05,2,negative
179.8,30.57,10.9,2.94,0,negative
148.2,25.19,11,2.97,0,negative
183.2,31.14,11.9,3.21,1,negative
119.2,20.26,12.2,3.29,4,positive
224,38.08,9.6,2.59,0,negative
19.5,3.32,7.9,2.13,0,negative
184.8,31.42,9.6,2.59,1,negative
176.3,29.97,11.3,3.05,1,negative
241.7,41.09,11.1,3,2,negative
224.7,38.2,9.8,2.65,0,negative
207.3,35.24,8.6,2.32,1,negative
196.8,33.46,12.7,3.43,2,negative
110.9,18.85,15.8,4.27,1,negative
122.5,20.83,8,2.16,2,negative
226.9,38.57,13.2,3.56,2,negative
187,31.79,10,2.7,2,negative
170.5,28.99,11.2,3.02,0,negative
204.8,34.82,9.5,2.57,0,negative
165.9,28.2,12,3.24,2,negative
154,26.18,9.5,2.57,4,positive
158.1,26.88,8.9,2.4,1,negative
225.2,38.28,9.1,2.46,2,negative
159.4,27.1,9.7,2.62,6,positive
172.7,29.36,11.7,3.16,2,negative
222.8,37.88,11,2.97,3,negative
214.1,36.4,10.1,2.73,1,negative
54.8,9.32,7.5,2.03,1,negative
134,22.78,7.3,1.97,3,negative
184.8,31.42,10.5,2.84,1,negative
283.1,48.13,11.3,3.05,3,negative
291.8,49.61,9.9,2.67,0,positive
222.7,37.86,13.5,3.65,1,negative
174.5,29.67,8.5,2.3,0,negative
68.4,11.63,10.4,2.81,0,negative
273,46.41,9.6,2.59,1,negative
225.3,38.3,17.3,4.67,1,positive
283.2,48.14,7.2,1.94,1,negative
131.4,22.34,11.1,3,1,positive
89.7,15.25,10.7,2.89,1,negative
127.1,21.61,5,1.35,3,negative
105.9,18,10.7,2.89,1,negative
142.3,24.19,6,1.62,2,negative
191.3,32.52,6.4,1.73,2,negative
201.9,34.32,13.7,3.7,0,negative
247.3,42.04,14.7,3.97,3,negative
242.2,41.17,8.9,2.4,1,negative
127.3,21.64,13.7,3.7,5,positive
162,27.54,10.9,2.94,1,negative
179.1,30.45,10.6,2.86,2,negative
197.4,33.56,12.3,3.32,3,negative
148.2,25.19,6.4,1.73,2,negative
193.1,32.83,10.2,2.75,0,negative
171.7,29.19,7.8,2.11,1,negative
198.5,33.75,8.1,2.19,1,negative
121.7,20.69,12.7,3.43,1,negative
130.2,22.13,14,3.78,2,negative
203.4,34.58,13.7,3.7,2,negative
174.7,29.7,10.5,2.84,5,negative
241,40.97,9.9,2.67,1,positive
141.7,24.09,10.2,2.75,0,negative
134.8,22.92,7.7,2.08,2,negative
163.1,27.73,9,2.43,1,negative
145.5,24.74,8.9,2.4,1,negative
329.8,56.07,10.6,2.86,0,positive
194.5,33.07,12.7,3.43,2,negative
131.9,22.42,7.1,1.92,1,negative
150,25.5,8.5,2.3,1,negative
196.6,33.42,12.9,3.48,2,negative
99.7,16.95,14.1,3.81,2,negative
143.6,24.41,10.8,2.92,3,negative
231.9,39.42,12.3,3.32,2,negative
37.8,6.43,14.2,3.83,3,negative
72.8,12.38,10.5,2.84,3,negative
94.8,16.12,11.4,3.08,1,negative
221.8,37.71,12.4,3.35,1,negative
269,45.73,7.3,1.97,2,positive
268.3,45.61,6.3,1.7,1,positive
198.7,33.78,12.5,3.38,1,negative
115.5,19.64,11.5,3.11,7,positive
202.1,34.36,13.3,3.59,2,negative
215.6,36.65,12.4,3.35,1,negative
169.9,28.88,11.5,3.11,1,negative
201.7,34.29,6,1.62,0,negative
221.1,37.59,8.4,2.27,4,negative
218.7,37.18,9.4,2.54,2,negative
293.7,49.93,11,2.97,2,positive
120.3,20.45,7.7,2.08,4,positive
175.8,29.89,11.1,3,2,negative
278.5,47.35,11.6,3.13,1,positive
236.3,40.17,7.2,1.94,3,negative
273.8,46.55,11.7,3.16,1,negative
131.1,22.29,5.6,1.51,5,positive
167.4,28.46,11.2,3.02,4,negative
197.7,33.61,10.5,2.84,3,negative
169.5,28.82,9,2.43,2,negative
225.2,38.28,11.7,3.16,0,negative
174.5,29.67,10.3,2.78,4,negative
129.7,22.05,7.5,2.03,5,positive
200,34,11.4,3.08,3,negative
95.9,16.3,13.3,3.59,0,negative
152.8,25.98,9.1,2.46,1,negative
129.9,22.08,14.3,3.86,1,negative
268.4,45.63,9.7,2.62,2,positive
188.5,32.05,15.2,4.1,2,negative
170.6,29,6.1,1.65,1,negative
191.4,32.54,8.2,2.21,1,negative
75.3,12.8,12.3,3.32,1,negative
149.8,25.47,10.9,2.94,2,negative
115.9,19.7,7.1,1.92,1,negative
128.8,21.9,14.1,3.81,2,negative
131.7,22.39,11,2.97,1,negative
101.4,17.24,12.2,3.29,1,negative
149,25.33,9.5,2.57,4,negative
96.8,16.46,13.4,3.62,2,negative
107.5,18.28,12.6,3.4,2,negative
232.8,39.58,12.9,3.48,0,positive
121.1,20.59,8.3,2.24,3,negative
124.3,21.13,3.5,0.95,0,negative
157.7,26.81,13.8,3.73,1,negative
124.3,21.13,14.8,4,0,negative
286.4,48.69,6.9,1.86,1,positive
141.7,24.09,8.8,2.38,0,negative
173,29.41,4.8,1.3,0,negative
268.7,45.68,5.8,1.57,2,positive
218.5,37.15,9.4,2.54,0,negative
255.3,43.4,3.7,1,3,negative
41.9,7.12,11.4,3.08,1,negative
260.8,44.34,5.8,1.57,1,negative
239.4,40.7,7.7,2.08,0,negative
226.7,38.54,10.2,2.75,0,negative
179.3,30.48,13.5,3.65,1,positive
158,26.86,10,2.7,1,negative
175.7,29.87,14.1,3.81,1,negative
157.4,26.76,8.8,2.38,3,negative
113.1,19.23,6.9,1.86,1,positive
182.7,31.06,8.8,2.38,1,negative
161.3,27.42,14.1,3.81,0,positive
142.5,24.23,7.5,2.03,2,negative
190.5,32.39,9.7,2.62,2,positive
159.3,27.08,11.9,3.21,1,negative
153.8,26.15,9.2,2.48,1,negative
180.7,30.72,12,3.24,2,negative
202.7,34.46,12.1,3.27,0,negative
190.8,32.44,8.9,2.4,0,negative
205.1,34.87,9.2,2.48,2,negative
235.6,40.05,7.7,2.08,1,negative
189.3,32.18,7.4,2,0,negative
166.9,28.37,11.5,3.11,1,negative
245.2,41.68,7.5,2.03,0,positive
132.6,22.54,12.7,3.43,4,positive
182.3,30.99,11.6,3.13,2,negative
192.3,32.69,10.5,2.84,2,negative
122,20.74,10.8,2.92,2,positive
193,32.81,9.6,2.59,2,negative
158.6,26.96,9.1,2.46,0,negative
91.5,15.56,12.7,3.43,2,negative
153.6,26.11,12.5,3.38,1,negative
221.6,37.67,11.5,3.11,1,negative
244.7,41.6,6.6,1.78,1,negative
239.8,40.77,9.5,2.57,0,negative
172.4,29.31,11,2.97,0,negative
242.5,41.23,10,2.7,3,positive
117.6,19.99,11.3,3.05,2,negative
174.5,29.67,11.3,3.05,1,negative
157.3,26.74,12,3.24,1,negative
192,32.64,15.1,4.08,1,negative
218.2,37.09,8,2.16,1,negative
144.6,24.58,10.9,2.94,1,negative
153.6,26.11,14.1,3.81,0,positive
135.8,23.09,7.9,2.13,2,negative
160.7,27.32,8.2,2.21,0,negative
202.5,34.43,7.8,2.11,1,negative
152.2,25.87,12.3,3.32,1,negative
227.4,38.66,4.7,1.27,0,negative
191.6,32.57,9.2,2.48,2,negative
138.9,23.61,10.8,2.92,1,negative
127,21.59,6.1,1.65,0,negative
168.6,28.66,7.3,1.97,1,negative
286.6,48.72,11.5,3.11,1,positive
164.6,27.98,15.2,4.1,1,negative
144,24.48,13,3.51,1,negative
141.6,24.07,10.2,2.75,0,negative
204.3,34.73,12,3.24,1,negative
163.2,27.74,6.2,1.67,1,negative
225,38.25,10.7,2.89,0,negative
176.1,29.94,8.5,2.3,2,negative
254.2,43.21,13.8,3.73,5,negative
174.9,29.73,8.5,2.3,1,negative
187.3,31.84,9.6,2.59,0,positive
211.8,36.01,10.7,2.89,3,negative
241.9,41.12,11.7,3.16,0,negative
196.1,33.34,12.9,3.48,3,negative
231.3,39.32,12.4,3.35,3,negative
161.6,27.47,13.8,3.73,1,negative
194,32.98,11.9,3.21,0,negative
109.7,18.65,15.4,4.16,3,negative
277,47.09,8.3,2.24,1,negative
192.1,32.66,6.1,1.65,0,negative
198.4,33.73,13.1,3.54,0,negative
209.2,35.56,9.5,2.57,0,negative
184.8,31.42,18.4,4.97,2,negative
167.8,28.53,7.3,1.97,2,negative
139.2,23.66,11.8,3.19,3,negative
221.3,37.62,4.4,1.19,0,negative
121.6,20.67,8.9,2.4,1,negative
270.4,45.97,15.4,4.16,1,negative
139.6,23.73,8.8,2.38,2,negative
253,43.01,11.8,3.19,2,negative
183.9,31.26,15,4.05,1,negative
203.3,34.56,7.8,2.11,3,negative
200.6,34.1,7.7,2.08,3,negative
167.6,28.49,13.4,3.62,2,negative
156.5,26.61,9.9,2.67,2,negative
215.1,36.57,10.6,2.86,1,negative
301.7,51.29,10.5,2.84,1,negative
152.3,25.89,11.3,3.05,7,negative
195.4,33.22,15.1,4.08,1,negative
208.7,35.48,8,2.16,2,negative
190.1,32.32,14.2,3.83,0,negative
185.4,31.52,8,2.16,4,negative
183.2,31.14,9.7,2.62,0,negative
54.2,9.21,8.6,2.32,1,positive
208,35.36,8.1,2.19,1,negative
230.3,39.15,13.2,3.56,1,negative
240.8,40.94,7.1,1.92,2,negative
195.7,33.27,5.3,1.43,2,negative
276.1,46.94,8.9,2.4,0,positive
166.1,28.24,16.2,4.37,2,negative
135.9,23.1,11.5,3.11,4,positive
189.1,32.15,13.9,3.75,2,positive
177.9,30.24,11.5,3.11,1,negative
143.9,24.46,12.5,3.38,2,negative
148.2,25.19,8.6,2.32,2,negative
287.1,48.81,13.9,3.75,2,positive
179.7,30.55,9.3,2.51,1,positive
165.8,28.19,10.9,2.94,5,positive
144.1,24.5,14.5,3.92,1,negative
172.5,29.33,5.9,1.59,0,negative
199.8,33.97,5.5,1.49,1,negative
109.1,18.55,10.9,2.94,2,negative
171.8,29.21,9.7,2.62,1,negative
222.3,37.79,12.1,3.27,1,positive
245.8,41.79,11.2,3.02,0,negative
164.6,27.98,8,2.16,0,negative
211.7,35.99,7.4,2,0,negative
147.2,25.02,7.7,2.08,0,positive
254.7,43.3,8,2.16,0,positive
170.1,28.92,8.7,2.35,1,negative
195.1,33.17,11.4,3.08,0,negative
149.3,25.38,7.9,2.13,7,positive
81.9,13.92,8.9,2.4,2,positive
191.1,32.49,9.8,2.65,0,negative
206.9,35.17,8.3,2.24,3,negative
239,40.63,13.5,3.65,1,positive
179.3,30.48,8,2.16,0,negative
185.3,31.5,5.5,1.49,0,negative
141.4,24.04,8.1,2.19,2,negative
248.6,42.26,12,3.24,1,negative
152.5,25.93,4.9,1.32,2,negative
145.6,24.75,11.4,3.08,1,negative
164.2,27.91,8.1,2.19,1,negative
221,37.57,9.7,2.62,1,negative
295.4,50.22,11.5,3.11,1,positive
139.8,23.77,9.4,2.54,2,negative
162.3,27.59,14.8,4,4,positive
272.7,46.36,7.7,2.08,0,positive
200.3,34.05,12.9,3.48,2,negative
157.1,26.71,11.1,3,1,negative
135.8,23.09,12.3,3.32,2,negative
236.7,40.24,12.7,3.43,1,negative
111.4,18.94,5.5,1.49,3,negative
156.1,26.54,14.7,3.97,0,positive
191.1,32.49,12,3.24,2,negative
153,26.01,10.3,2.78,1,positive
218.8,37.2,10.3,2.78,4,negative
205.4,34.92,10.3,2.78,3,negative
225.2,38.28,9.9,2.67,0,positive
249.9,42.48,8.9,2.4,2,positive
131.6,22.37,10.2,2.75,3,negative
197.9,33.64,10.1,2.73,0,negative
166.5,28.31,9.9,2.67,1,negative
225.4,38.32,12.9,3.48,1,negative
275.8,46.89,7.4,2,2,positive
142.9,24.29,10.8,2.92,1,negative
207.2,35.22,9.9,2.67,1,negative
206.2,35.05,10.2,2.75,1,negative
210.3,35.75,11.2,3.02,1,negative
225.7,38.37,14,3.78,1,positive
167.8,28.53,14.5,3.92,4,positive
197.7,33.61,7,1.89,2,negative
169.8,28.87,10.9,2.94,1,negative
190.6,32.4,9.8,2.65,2,negative
80.3,13.65,12.8,3.46,2,negative
231.7,39.39,12.1,3.27,0,negative
69.1,11.75,6.5,1.76,0,negative
188.8,32.1,8.2,2.21,4,negative
150.6,25.6,10.4,2.81,8,positive
192,32.64,5.5,1.49,2,negative
163.7,27.83,9.9,2.67,3,negative
211.7,35.99,6.5,1.76,1,negative
175.5,29.84,11.8,3.19,1,negative
150.1,25.52,11,2.97,2,negative
189.5,32.22,14.2,3.83,1,negative
70.8,12.04,9.5,2.57,6,positive
215.5,36.64,8.6,2.32,1,negative
101.7,17.29,9.4,2.54,3,negative
258.4,43.93,9.7,2.62,4,negative
242.4,41.21,11.8,3.19,1,negative
131.8,22.41,11.3,3.05,1,negative
190.2,32.33,9.8,2.65,2,negative
154.1,26.2,9.8,2.65,2,negative
188,31.96,15.3,4.13,3,negative
103.1,17.53,11.2,3.02,1,negative
175.4,29.82,11.6,3.13,0,negative
145.4,24.72,10.9,2.94,1,negative
250.6,42.6,7.8,2.11,1,negative
161.5,27.46,8.6,2.32,1,negative
260.1,44.22,10,2.7,1,positive
281.3,47.82,8.7,2.35,0,positive
130.1,22.12,13.6,3.67,3,positive
102,17.34,11.4,3.08,2,negative
218.7,37.18,12.1,3.27,1,negative
128.5,21.85,6.8,1.84,1,negative
128.7,21.88,9.2,2.48,2,positive
172.2,29.27,8.7,2.35,1,negative
199.2,33.86,7.6,2.05,1,negative
184.5,31.37,8.8,2.38,2,negative
168.6,28.66,10.9,2.94,0,negative
174,29.58,6.7,1.81,1,negative
230.4,39.17,8.5,2.3,1,negative
198.2,33.69,5.1,1.38,1,negative
186.1,31.64,8,2.16,0,negative
148.5,25.25,6.8,1.84,1,negative
157.1,26.71,10,2.7,0,negative
155,26.35,7,1.89,4,positive
129.3,21.98,9.6,2.59,1,negative
188.5,32.05,6.1,1.65,1,negative
208.8,35.5,11.1,3,0,negative
238,40.46,11.8,3.19,0,positive
211.1,35.89,5.6,1.51,0,negative
198.9,33.81,12.6,3.4,3,negative
212.8,36.18,10.2,2.75,1,negative
137.4,23.36,12.4,3.35,3,negative
191.8,32.61,12.8,3.46,2,negative
149,25.33,13.9,3.75,0,negative
117.1,19.91,11.1,3,3,negative
108,18.36,10.4,2.81,3,negative
112.8,19.18,10.1,2.73,0,negative
175.9,29.9,11,2.97,1,negative
236.6,40.22,11.1,3,1,positive
169.4,28.8,2,0.54,1,negative
129.6,22.03,9.4,2.54,3,negative
177.1,30.11,8,2.16,1,negative
133.3,22.66,13.5,3.65,1,negative
167.8,28.53,13,3.51,5,negative
174.6,29.68,9,2.43,1,negative
150.3,25.55,12.5,3.38,2,negative
283.2,48.14,6.3,1.7,5,negative
157.8,26.83,8.7,2.35,5,positive
141.2,24,7,1.89,2,negative
230.2,39.13,10.4,2.81,1,negative
237.8,40.43,15.6,4.21,2,positive
204,34.68,13.3,3.59,3,positive
221.1,37.59,7.4,2,1,negative
177.2,30.12,12.7,3.43,4,negative
118,20.06,5.3,1.43,1,negative
163.8,27.85,15.7,4.24,0,negative
141.3,24.02,9.4,2.54,3,negative
272.5,46.33,16.4,4.43,3,positive
118.9,20.21,8.2,2.21,2,negative
7.9,1.34,12.1,3.27,0,negative
159.5,27.12,10.2,2.75,0,negative
150.2,25.53,12.1,3.27,1,negative
144.5,24.57,12,3.24,2,negative
140.7,23.92,12.4,3.35,2,negative
169.2,28.76,12.6,3.4,1,negative
220.8,37.54,7.6,2.05,2,negative
216.3,36.77,4.5,1.22,0,negative
169.5,28.82,10.6,2.86,0,negative
256.3,43.57,11.7,3.16,1,negative
179.7,30.55,7.6,2.05,1,negative
266,45.22,13.1,3.54,3,negative
96.7,16.44,9.7,2.62,2,negative
82.7,14.06,10.9,2.94,0,negative
168.2,28.59,10.1,2.73,3,negative
286.4,48.69,10.7,2.89,1,positive
174.3,29.63,12.9,3.48,3,negative
190.6,32.4,13,3.51,1,negative
175.5,29.84,17.8,4.81,4,negative
133.4,22.68,11.1,3,1,negative
204.6,34.78,6.6,1.78,3,negative
242.2,41.17,6.2,1.67,3,negative
253.1,43.03,11.9,3.21,3,negative
130,22.1,8.3,2.24,0,negative
105.9,18,12.7,3.43,0,negative
194.2,33.01,9.3,2.51,3,negative
183.8,31.25,6.1,1.65,1,negative
196.5,33.41,10.8,2.92,2,negative
184.5,31.37,13.7,3.7,3,negative
261.9,44.52,13.8,3.73,0,negative
202.4,34.41,9.2,2.48,3,negative
167.4,28.46,9.5,2.57,3,negative
167.7,28.51,7.5,2.03,1,negative
191.7,32.59,11.1,3,1,negative
240.2,40.83,5.2,1.4,2,negative
189.1,32.15,11.1,3,1,negative
127.7,21.71,10.6,2.86,1,negative
205.2,34.88,13.4,3.62,1,negative
153.6,26.11,12.6,3.4,2,negative
154.5,26.27,13.4,3.62,2,negative
153.7,26.13,14.1,3.81,1,negative
171.2,29.1,10.8,2.92,1,negative
328.1,55.78,8.7,2.35,1,positive
145.9,24.8,14.4,3.89,0,positive
201.2,34.2,11.8,3.19,1,negative
139.1,23.65,11.4,3.08,5,negative
118.9,20.21,13.2,3.56,2,negative
217.6,36.99,10.4,2.81,2,positive
145,24.65,14.6,3.94,1,negative
203.5,34.6,8.7,2.35,3,negative
240.1,40.82,8,2.16,3,negative
